TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-25,2026-02-25,FO,NSE,STO,106413,,HINDALCO,,2026-03-30,2026-03-30,1020.00,PE,HINDALCO26MAR1020PE,79.25,85.65,76.80,82.50,83.10,102.00,937.40,82.50,55300,35700,95,73176040.00,88,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,106395,,HINDALCO,,2026-03-30,2026-03-30,940.00,PE,HINDALCO26MAR940PE,32.75,32.90,25.30,27.95,28.40,36.10,937.40,27.95,357000,172200,1756,1190254485.00,1489,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,106334,,HINDALCO,,2026-03-30,2026-03-30,840.00,PE,HINDALCO26MAR840PE,5.30,5.30,3.35,3.50,3.50,5.30,937.40,3.50,75600,-29400,170,100403905.00,127,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,117676,,HINDALCO,,2026-04-28,2026-04-28,1080.00,CE,HINDALCO26APR1080CE,0.00,0.00,0.00,26.35,0.00,26.35,937.40,8.50,0,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,108984,,HINDALCO,,2026-04-28,2026-04-28,970.00,CE,HINDALCO26APR970CE,0.00,0.00,0.00,38.65,0.00,38.65,937.40,35.10,0,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,108982,,HINDALCO,,2026-04-28,2026-04-28,950.00,CE,HINDALCO26APR950CE,0.00,0.00,0.00,46.50,0.00,46.50,937.40,43.60,0,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,117638,,HINDALCO,,2026-04-28,2026-04-28,900.00,CE,HINDALCO26APR900CE,0.00,0.00,0.00,55.00,55.00,55.00,937.40,70.85,700,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,117439,,HINDALCO,,2026-03-30,2026-03-30,1010.00,PE,HINDALCO26MAR1010PE,0.00,0.00,0.00,72.80,0.00,72.80,937.40,78.15,0,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,117414,,HINDALCO,,2026-03-30,2026-03-30,970.00,CE,HINDALCO26MAR970CE,17.10,23.10,16.40,18.65,18.20,15.35,937.40,18.65,135100,43400,912,631845690.00,812,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,117438,,HINDALCO,,2026-03-30,2026-03-30,1010.00,CE,HINDALCO26MAR1010CE,8.50,11.05,7.35,8.40,8.30,7.00,937.40,8.40,121100,31500,966,689285240.00,589,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,106420,,HINDALCO,,2026-03-30,2026-03-30,1100.00,CE,HINDALCO26MAR1100CE,1.70,1.85,1.20,1.35,1.25,1.50,937.40,1.35,267400,88900,451,347746420.00,374,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,109403,,HINDALCO,,2026-05-26,2026-05-26,1040.00,PE,HINDALCO26MAY1040PE,0.00,0.00,0.00,129.50,0.00,129.50,937.40,112.05,0,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,117622,,HINDALCO,,2026-04-28,2026-04-28,820.00,PE,HINDALCO26APR820PE,0.00,0.00,0.00,9.95,0.00,9.95,937.40,6.20,0,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,117594,,HINDALCO,,2026-04-28,2026-04-28,760.00,PE,HINDALCO26APR760PE,0.00,0.00,0.00,3.50,0.00,3.50,937.40,1.45,0,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,106423,,HINDALCO,,2026-03-30,2026-03-30,1100.00,PE,HINDALCO26MAR1100PE,0.00,0.00,0.00,167.50,167.50,167.50,937.40,158.60,32900,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,106415,,HINDALCO,,2026-03-30,2026-03-30,1040.00,PE,HINDALCO26MAR1040PE,0.00,0.00,0.00,87.00,87.00,87.00,937.40,103.20,6300,0,0,0.00,0,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,106408,,HINDALCO,,2026-03-30,2026-03-30,980.00,PE,HINDALCO26MAR980PE,55.95,55.95,47.70,51.55,52.15,62.20,937.40,51.55,34300,4900,81,58410660.00,79,F1,700,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,117337,,HINDALCO,,2026-03-30,2026-03-30,790.00,PE,HINDALCO26MAR790PE,0.95,1.40,0.95,1.15,1.15,2.15,937.40,1.15,74900,60900,126,69781460.00,37,F1,700,,,,,
