TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-25,2026-02-25,FO,NSE,STO,134308,,MANAPPURAM,,2026-03-30,2026-03-30,265.00,CE,MANAPPURAM26MAR265CE,41.05,41.75,37.20,37.20,37.20,54.90,296.60,34.95,3000,3000,4,3663150.00,3,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126442,,MANAPPURAM,,2026-05-26,2026-05-26,295.00,PE,MANAPPURAM26MAY295PE,0.00,0.00,0.00,18.15,0.00,18.15,296.60,17.95,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134327,,MANAPPURAM,,2026-03-30,2026-03-30,295.00,PE,MANAPPURAM26MAR295PE,7.35,11.10,7.35,10.65,10.80,7.20,296.60,10.65,138000,63000,75,68568450.00,69,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138689,,MANAPPURAM,,2026-03-30,2026-03-30,292.50,PE,MANAPPURAM26MAR292.5PE,0.00,0.00,0.00,6.20,6.30,6.20,296.60,9.90,21000,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138663,,MANAPPURAM,,2026-03-30,2026-03-30,242.50,PE,MANAPPURAM26MAR242.5PE,0.00,0.00,0.00,2.65,0.00,2.65,296.60,0.30,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126445,,MANAPPURAM,,2026-05-26,2026-05-26,305.00,CE,MANAPPURAM26MAY305CE,0.00,0.00,0.00,28.15,0.00,28.15,296.60,18.90,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138973,,MANAPPURAM,,2026-04-28,2026-04-28,345.00,CE,MANAPPURAM26APR345CE,0.00,0.00,0.00,10.05,0.00,10.05,296.60,4.10,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126135,,MANAPPURAM,,2026-04-28,2026-04-28,307.50,PE,MANAPPURAM26APR307.5PE,0.00,0.00,0.00,20.65,0.00,20.65,296.60,21.85,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126140,,MANAPPURAM,,2026-04-28,2026-04-28,312.50,PE,MANAPPURAM26APR312.5PE,0.00,0.00,0.00,23.35,0.00,23.35,296.60,24.90,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126432,,MANAPPURAM,,2026-05-26,2026-05-26,270.00,PE,MANAPPURAM26MAY270PE,0.00,0.00,0.00,9.15,0.00,9.15,296.60,8.20,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138957,,MANAPPURAM,,2026-04-28,2026-04-28,340.00,CE,MANAPPURAM26APR340CE,0.00,0.00,0.00,11.15,0.00,11.15,296.60,4.90,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126448,,MANAPPURAM,,2026-05-26,2026-05-26,310.00,PE,MANAPPURAM26MAY310PE,0.00,0.00,0.00,25.40,0.00,25.40,296.60,26.05,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126450,,MANAPPURAM,,2026-05-26,2026-05-26,315.00,PE,MANAPPURAM26MAY315PE,0.00,0.00,0.00,28.15,0.00,28.15,296.60,29.15,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138847,,MANAPPURAM,,2026-04-28,2026-04-28,255.00,CE,MANAPPURAM26APR255CE,0.00,0.00,0.00,51.30,0.00,51.30,296.60,46.70,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138762,,MANAPPURAM,,2026-03-30,2026-03-30,312.50,CE,MANAPPURAM26MAR312.5CE,8.40,8.55,5.85,6.10,6.00,9.35,296.60,6.10,69000,12000,43,41193300.00,42,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138680,,MANAPPURAM,,2026-03-30,2026-03-30,272.50,CE,MANAPPURAM26MAR272.5CE,0.00,0.00,0.00,34.85,0.00,34.85,296.60,28.85,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138844,,MANAPPURAM,,2026-04-28,2026-04-28,245.00,PE,MANAPPURAM26APR245PE,0.00,0.00,0.00,5.10,0.00,5.10,296.60,1.55,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138863,,MANAPPURAM,,2026-04-28,2026-04-28,275.00,PE,MANAPPURAM26APR275PE,0.00,0.00,0.00,13.50,0.00,13.50,296.60,7.20,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138901,,MANAPPURAM,,2026-04-28,2026-04-28,280.00,PE,MANAPPURAM26APR280PE,0.00,0.00,0.00,15.45,0.00,15.45,296.60,8.85,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126133,,MANAPPURAM,,2026-04-28,2026-04-28,302.50,PE,MANAPPURAM26APR302.5PE,0.00,0.00,0.00,18.15,0.00,18.15,296.60,18.95,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138840,,MANAPPURAM,,2026-04-28,2026-04-28,235.00,PE,MANAPPURAM26APR235PE,0.00,0.00,0.00,3.40,0.00,3.40,296.60,0.80,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134367,,MANAPPURAM,,2026-03-30,2026-03-30,350.00,PE,MANAPPURAM26MAR350PE,0.00,0.00,0.00,47.70,0.00,47.70,296.60,52.65,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138934,,MANAPPURAM,,2026-04-28,2026-04-28,300.00,CE,MANAPPURAM26APR300CE,0.00,0.00,0.00,24.60,0.00,24.60,296.60,17.00,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126095,,MANAPPURAM,,2026-04-28,2026-04-28,287.50,CE,MANAPPURAM26APR287.5CE,0.00,0.00,0.00,32.85,0.00,32.85,296.60,23.45,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126091,,MANAPPURAM,,2026-04-28,2026-04-28,277.50,CE,MANAPPURAM26APR277.5CE,0.00,0.00,0.00,39.40,0.00,39.40,296.60,29.70,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134328,,MANAPPURAM,,2026-03-30,2026-03-30,300.00,CE,MANAPPURAM26MAR300CE,16.60,16.60,10.40,10.85,10.70,15.35,296.60,10.85,1839000,549000,652,610125750.00,524,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134330,,MANAPPURAM,,2026-03-30,2026-03-30,305.00,CE,MANAPPURAM26MAR305CE,13.55,13.55,8.30,8.65,8.50,13.10,296.60,8.65,756000,405000,351,332449350.00,301,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134334,,MANAPPURAM,,2026-03-30,2026-03-30,315.00,CE,MANAPPURAM26MAR315CE,8.35,8.35,5.00,5.20,5.20,8.40,296.60,5.20,183000,69000,109,105054300.00,103,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138771,,MANAPPURAM,,2026-03-30,2026-03-30,322.50,CE,MANAPPURAM26MAR322.5CE,0.00,0.00,0.00,5.75,5.75,5.75,296.60,4.40,12000,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134368,,MANAPPURAM,,2026-03-30,2026-03-30,355.00,CE,MANAPPURAM26MAR355CE,0.00,0.00,0.00,1.05,1.05,1.05,296.60,0.75,153000,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138841,,MANAPPURAM,,2026-04-28,2026-04-28,240.00,CE,MANAPPURAM26APR240CE,0.00,0.00,0.00,62.95,0.00,62.95,296.60,59.95,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138843,,MANAPPURAM,,2026-04-28,2026-04-28,245.00,CE,MANAPPURAM26APR245CE,0.00,0.00,0.00,58.95,0.00,58.95,296.60,55.40,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138954,,MANAPPURAM,,2026-04-28,2026-04-28,330.00,PE,MANAPPURAM26APR330PE,0.00,0.00,0.00,43.60,0.00,43.60,296.60,37.20,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134364,,MANAPPURAM,,2026-03-30,2026-03-30,345.00,PE,MANAPPURAM26MAR345PE,0.00,0.00,0.00,44.10,0.00,44.10,296.60,48.00,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134339,,MANAPPURAM,,2026-03-30,2026-03-30,325.00,PE,MANAPPURAM26MAR325PE,0.00,0.00,0.00,31.10,0.00,31.10,296.60,30.70,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138931,,MANAPPURAM,,2026-04-28,2026-04-28,290.00,PE,MANAPPURAM26APR290PE,0.00,0.00,0.00,19.85,0.00,19.85,296.60,12.75,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134288,,MANAPPURAM,,2026-03-30,2026-03-30,230.00,CE,MANAPPURAM26MAR230CE,0.00,0.00,0.00,84.40,0.00,84.40,296.60,67.80,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138668,,MANAPPURAM,,2026-03-30,2026-03-30,257.50,CE,MANAPPURAM26MAR257.5CE,0.00,0.00,0.00,45.60,0.00,45.60,296.60,41.50,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138686,,MANAPPURAM,,2026-03-30,2026-03-30,287.50,CE,MANAPPURAM26MAR287.5CE,22.30,22.90,18.75,20.15,20.15,25.80,296.60,18.35,6000,6000,5,4631700.00,4,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138862,,MANAPPURAM,,2026-04-28,2026-04-28,275.00,CE,MANAPPURAM26APR275CE,0.00,0.00,0.00,37.85,0.00,37.85,296.60,31.35,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126449,,MANAPPURAM,,2026-05-26,2026-05-26,315.00,CE,MANAPPURAM26MAY315CE,0.00,0.00,0.00,23.65,0.00,23.65,296.60,14.95,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134324,,MANAPPURAM,,2026-03-30,2026-03-30,290.00,CE,MANAPPURAM26MAR290CE,20.05,21.00,15.80,16.10,15.85,21.60,296.60,16.10,276000,12000,26,23983950.00,26,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126452,,MANAPPURAM,,2026-05-26,2026-05-26,320.00,PE,MANAPPURAM26MAY320PE,0.00,0.00,0.00,31.00,0.00,31.00,296.60,32.35,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138952,,MANAPPURAM,,2026-04-28,2026-04-28,325.00,PE,MANAPPURAM26APR325PE,0.00,0.00,0.00,40.15,0.00,40.15,296.60,33.45,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126142,,MANAPPURAM,,2026-04-28,2026-04-28,317.50,PE,MANAPPURAM26APR317.5PE,0.00,0.00,0.00,26.20,0.00,26.20,296.60,28.20,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138935,,MANAPPURAM,,2026-04-28,2026-04-28,300.00,PE,MANAPPURAM26APR300PE,0.00,0.00,0.00,24.90,0.00,24.90,296.60,17.60,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138676,,MANAPPURAM,,2026-03-30,2026-03-30,262.50,CE,MANAPPURAM26MAR262.5CE,0.00,0.00,0.00,41.85,0.00,41.85,296.60,37.10,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138666,,MANAPPURAM,,2026-03-30,2026-03-30,252.50,CE,MANAPPURAM26MAR252.5CE,0.00,0.00,0.00,49.50,0.00,49.50,296.60,46.10,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STF,66274,,MANAPPURAM,,2026-05-26,2026-05-26,,,MANAPPURAM26MAYFUT,0.00,0.00,0.00,310.45,0.00,310.45,296.60,300.65,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134345,,MANAPPURAM,,2026-03-30,2026-03-30,335.00,CE,MANAPPURAM26MAR335CE,2.70,2.85,1.65,1.75,1.75,2.85,296.60,1.75,324000,6000,63,63690300.00,63,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126098,,MANAPPURAM,,2026-04-28,2026-04-28,292.50,PE,MANAPPURAM26APR292.5PE,0.00,0.00,0.00,13.70,0.00,13.70,296.60,13.90,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138685,,MANAPPURAM,,2026-03-30,2026-03-30,282.50,PE,MANAPPURAM26MAR282.5PE,0.00,0.00,0.00,4.95,4.95,4.95,296.60,6.05,9000,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134289,,MANAPPURAM,,2026-03-30,2026-03-30,230.00,PE,MANAPPURAM26MAR230PE,0.00,0.00,0.00,1.45,0.00,1.45,296.60,0.05,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138905,,MANAPPURAM,,2026-04-28,2026-04-28,290.00,CE,MANAPPURAM26APR290CE,0.00,0.00,0.00,29.40,0.00,29.40,296.60,22.05,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138902,,MANAPPURAM,,2026-04-28,2026-04-28,285.00,CE,MANAPPURAM26APR285CE,0.00,0.00,0.00,32.05,0.00,32.05,296.60,24.95,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126093,,MANAPPURAM,,2026-04-28,2026-04-28,282.50,CE,MANAPPURAM26APR282.5CE,0.00,0.00,0.00,36.00,0.00,36.00,296.60,26.45,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134348,,MANAPPURAM,,2026-03-30,2026-03-30,340.00,CE,MANAPPURAM26MAR340CE,2.10,2.10,1.25,1.35,1.40,2.15,296.60,1.35,564000,9000,128,131146350.00,116,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138682,,MANAPPURAM,,2026-03-30,2026-03-30,277.50,CE,MANAPPURAM26MAR277.5CE,0.00,0.00,0.00,31.65,0.00,31.65,296.60,25.05,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,134347,,MANAPPURAM,,2026-03-30,2026-03-30,335.00,PE,MANAPPURAM26MAR335PE,0.00,0.00,0.00,37.30,0.00,37.30,296.60,39.05,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,138778,,MANAPPURAM,,2026-03-30,2026-03-30,337.50,PE,MANAPPURAM26MAR337.5PE,0.00,0.00,0.00,46.50,0.00,46.50,296.60,41.25,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126434,,MANAPPURAM,,2026-05-26,2026-05-26,275.00,PE,MANAPPURAM26MAY275PE,0.00,0.00,0.00,10.65,0.00,10.65,296.60,9.75,0,0,0,0.00,0,F1,3000,,,,,
2026-02-25,2026-02-25,FO,NSE,STO,126446,,MANAPPURAM,,2026-05-26,2026-05-26,305.00,PE,MANAPPURAM26MAY305PE,0.00,0.00,0.00,22.85,0.00,22.85,296.60,23.20,0,0,0,0.00,0,F1,3000,,,,,
