TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-26,2026-02-26,FO,NSE,STO,86736,,BAJAJHLDNG,,2026-03-30,2026-03-30,12100.00,CE,BAJAJHLDNG26MAR12100CE,0.00,0.00,0.00,94.25,94.25,94.25,10951.15,83.70,300,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,84436,,BAJAJHLDNG,,2026-04-28,2026-04-28,10900.00,CE,BAJAJHLDNG26APR10900CE,0.00,0.00,0.00,995.55,0.00,995.55,10951.15,631.55,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,86664,,BAJAJHLDNG,,2026-03-30,2026-03-30,10700.00,PE,BAJAJHLDNG26MAR10700PE,180.00,245.00,180.00,220.05,227.20,175.80,10951.15,220.05,2200,350,67,36567872.50,62,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,84682,,BAJAJHLDNG,,2026-05-26,2026-05-26,12000.00,CE,BAJAJHLDNG26MAY12000CE,0.00,0.00,0.00,642.65,0.00,642.65,10951.15,342.75,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,84761,,BAJAJHLDNG,,2026-05-26,2026-05-26,12800.00,PE,BAJAJHLDNG26MAY12800PE,0.00,0.00,0.00,1654.95,0.00,1654.95,10951.15,1851.50,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,84629,,BAJAJHLDNG,,2026-05-26,2026-05-26,9600.00,PE,BAJAJHLDNG26MAY9600PE,0.00,0.00,0.00,167.20,0.00,167.20,10951.15,145.50,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,84448,,BAJAJHLDNG,,2026-04-28,2026-04-28,11900.00,PE,BAJAJHLDNG26APR11900PE,0.00,0.00,0.00,951.15,0.00,951.15,10951.15,1092.30,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,87044,,BAJAJHLDNG,,2026-04-28,2026-04-28,10200.00,PE,BAJAJHLDNG26APR10200PE,0.00,0.00,0.00,534.60,0.00,534.60,10951.15,215.40,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,74683,,BAJAJHLDNG,,2026-03-30,2026-03-30,12000.00,PE,BAJAJHLDNG26MAR12000PE,0.00,0.00,0.00,900.00,900.00,900.00,10951.15,1089.90,250,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STF,66720,,BAJAJHLDNG,,2026-04-28,2026-04-28,,,BAJAJHLDNG26APRFUT,11249.00,11249.00,11012.00,11095.00,11090.00,11288.00,10951.15,11095.00,2050,200,25,13873650.00,23,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,87068,,BAJAJHLDNG,,2026-04-28,2026-04-28,12200.00,CE,BAJAJHLDNG26APR12200CE,0.00,0.00,0.00,334.00,0.00,334.00,10951.15,184.10,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,84628,,BAJAJHLDNG,,2026-05-26,2026-05-26,9600.00,CE,BAJAJHLDNG26MAY9600CE,0.00,0.00,0.00,2055.30,0.00,2055.30,10951.15,1624.55,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,86713,,BAJAJHLDNG,,2026-03-30,2026-03-30,10900.00,PE,BAJAJHLDNG26MAR10900PE,272.00,330.00,238.95,296.35,300.00,147.60,10951.15,296.35,1050,900,95,53210647.50,90,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,84439,,BAJAJHLDNG,,2026-04-28,2026-04-28,11100.00,PE,BAJAJHLDNG26APR11100PE,0.00,0.00,0.00,525.10,0.00,525.10,10951.15,581.85,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,87059,,BAJAJHLDNG,,2026-04-28,2026-04-28,11400.00,PE,BAJAJHLDNG26APR11400PE,0.00,0.00,0.00,1174.25,0.00,1174.25,10951.15,754.30,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,87063,,BAJAJHLDNG,,2026-04-28,2026-04-28,11800.00,PE,BAJAJHLDNG26APR11800PE,0.00,0.00,0.00,1444.05,0.00,1444.05,10951.15,1020.05,0,0,0,0.00,0,F1,50,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,84633,,BAJAJHLDNG,,2026-05-26,2026-05-26,10000.00,PE,BAJAJHLDNG26MAY10000PE,0.00,0.00,0.00,253.55,0.00,253.55,10951.15,237.40,0,0,0,0.00,0,F1,50,,,,,
