TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-26,2026-02-26,FO,NSE,STO,152249,,SHREECEM,,2026-04-28,2026-04-28,25750.00,CE,SHREECEM26APR25750CE,0.00,0.00,0.00,1646.50,0.00,1646.50,26744.75,1601.10,0,0,0,0.00,0,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,152391,,SHREECEM,,2026-05-26,2026-05-26,26500.00,CE,SHREECEM26MAY26500CE,0.00,0.00,0.00,1489.60,0.00,1489.60,26744.75,1362.50,0,0,0,0.00,0,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,167443,,SHREECEM,,2026-03-30,2026-03-30,28250.00,PE,SHREECEM26MAR28250PE,0.00,0.00,0.00,1653.25,1653.25,1653.25,26744.75,1547.80,600,0,0,0.00,0,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,158416,,SHREECEM,,2026-03-30,2026-03-30,27000.00,CE,SHREECEM26MAR27000CE,550.00,649.85,489.60,548.90,528.20,583.85,26744.75,548.90,5850,1075,438,301860487.50,384,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,158404,,SHREECEM,,2026-03-30,2026-03-30,24000.00,CE,SHREECEM26MAR24000CE,0.00,0.00,0.00,2997.80,0.00,2997.80,26744.75,2875.85,0,0,0,0.00,0,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STF,52031,,SHREECEM,,2026-03-30,2026-03-30,,,SHREECEM26MARFUT,26905.00,26990.00,26635.00,26800.00,26790.00,26815.00,26744.75,26800.00,311850,-2300,1228,822887625.00,1123,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,158425,,SHREECEM,,2026-03-30,2026-03-30,29000.00,PE,SHREECEM26MAR29000PE,0.00,0.00,0.00,2670.25,2670.25,2670.25,26744.75,2191.50,75,0,0,0.00,0,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,152384,,SHREECEM,,2026-05-26,2026-05-26,24500.00,PE,SHREECEM26MAY24500PE,0.00,0.00,0.00,356.00,0.00,356.00,26744.75,196.95,0,0,0,0.00,0,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,152382,,SHREECEM,,2026-05-26,2026-05-26,24000.00,PE,SHREECEM26MAY24000PE,0.00,0.00,0.00,256.65,0.00,256.65,26744.75,128.05,0,0,0,0.00,0,F1,25,,,,,
2026-02-26,2026-02-26,FO,NSE,STO,167525,,SHREECEM,,2026-04-28,2026-04-28,28500.00,PE,SHREECEM26APR28500PE,0.00,0.00,0.00,1781.25,0.00,1781.25,26744.75,1831.25,0,0,0,0.00,0,F1,25,,,,,
