TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-27,2026-02-27,FO,NSE,STO,144441,,POLYCAB,,2026-04-28,2026-04-28,9100.00,PE,POLYCAB26APR9100PE,0.00,0.00,0.00,1098.05,0.00,1098.05,8610.50,698.90,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144433,,POLYCAB,,2026-04-28,2026-04-28,8300.00,PE,POLYCAB26APR8300PE,0.00,0.00,0.00,571.40,0.00,571.40,8610.50,279.65,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155875,,POLYCAB,,2026-03-30,2026-03-30,8400.00,PE,POLYCAB26MAR8400PE,220.00,220.00,145.00,170.00,169.75,205.60,8610.50,170.00,61875,22750,1483,1589034350.00,1227,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155867,,POLYCAB,,2026-03-30,2026-03-30,7600.00,PE,POLYCAB26MAR7600PE,34.00,36.10,28.20,32.15,31.50,35.20,8610.50,32.15,12375,1625,159,151678875.00,139,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152197,,POLYCAB,,2026-03-30,2026-03-30,7500.00,PE,POLYCAB26MAR7500PE,29.00,29.65,23.70,26.25,27.30,28.35,8610.50,26.25,76000,-6250,595,559765818.75,465,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152192,,POLYCAB,,2026-03-30,2026-03-30,7100.00,CE,POLYCAB26MAR7100CE,0.00,0.00,0.00,930.00,930.00,930.00,8610.50,1548.85,2000,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STF,52012,,POLYCAB,,2026-03-30,2026-03-30,,,POLYCAB26MARFUT,8547.00,8742.50,8500.00,8634.00,8632.00,8530.50,8610.50,8634.00,2361875,-186000,7777,8391721125.00,6957,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155887,,POLYCAB,,2026-03-30,2026-03-30,9600.00,PE,POLYCAB26MAR9600PE,0.00,0.00,0.00,2048.90,0.00,2048.90,8610.50,1005.45,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144946,,POLYCAB,,2026-05-26,2026-05-26,9200.00,PE,POLYCAB26MAY9200PE,0.00,0.00,0.00,1230.70,0.00,1230.70,8610.50,832.00,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152315,,POLYCAB,,2026-03-30,2026-03-30,8700.00,PE,POLYCAB26MAR8700PE,315.00,315.00,255.00,300.90,300.00,1879.00,8610.50,300.90,25375,25375,969,1087228837.50,816,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152210,,POLYCAB,,2026-03-30,2026-03-30,8300.00,PE,POLYCAB26MAR8300PE,175.00,176.20,119.50,140.40,139.45,168.05,8610.50,140.40,54625,15625,851,898223493.75,767,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155869,,POLYCAB,,2026-03-30,2026-03-30,7800.00,PE,POLYCAB26MAR7800PE,56.25,58.45,43.00,47.50,48.75,55.20,8610.50,47.50,52000,6000,614,602460412.50,448,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144522,,POLYCAB,,2026-05-26,2026-05-26,7600.00,CE,POLYCAB26MAY7600CE,0.00,0.00,0.00,982.40,0.00,982.40,8610.50,1250.65,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155879,,POLYCAB,,2026-03-30,2026-03-30,8800.00,PE,POLYCAB26MAR8800PE,360.00,376.15,305.30,356.10,354.75,1371.85,8610.50,356.10,31125,31125,751,858689312.50,498,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152209,,POLYCAB,,2026-03-30,2026-03-30,8300.00,CE,POLYCAB26MAR8300CE,395.25,555.00,385.75,471.30,470.70,392.30,8610.50,471.30,21125,-250,169,184953581.25,167,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152203,,POLYCAB,,2026-03-30,2026-03-30,8100.00,CE,POLYCAB26MAR8100CE,580.00,710.00,526.35,625.75,622.60,530.30,8610.50,625.75,43000,-125,141,153457875.00,107,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155868,,POLYCAB,,2026-03-30,2026-03-30,7800.00,CE,POLYCAB26MAR7800CE,752.05,954.80,752.00,912.70,912.70,772.00,8610.50,902.20,42125,-1500,49,53235281.25,41,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144945,,POLYCAB,,2026-05-26,2026-05-26,9200.00,CE,POLYCAB26MAY9200CE,0.00,0.00,0.00,302.70,0.00,302.70,8610.50,363.70,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144813,,POLYCAB,,2026-05-26,2026-05-26,9000.00,CE,POLYCAB26MAY9000CE,0.00,0.00,0.00,356.90,0.00,356.90,8610.50,436.00,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144518,,POLYCAB,,2026-05-26,2026-05-26,7200.00,CE,POLYCAB26MAY7200CE,0.00,0.00,0.00,1249.75,0.00,1249.75,8610.50,1576.80,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,39250,,POLYCAB,,2026-03-30,2026-03-30,9100.00,CE,POLYCAB26MAR9100CE,136.40,136.40,93.50,100.40,103.00,30.55,8610.50,100.40,10125,10125,172,197966518.75,157,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152366,,POLYCAB,,2026-04-28,2026-04-28,7800.00,CE,POLYCAB26APR7800CE,0.00,0.00,0.00,217.15,0.00,217.15,8610.50,1008.25,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152408,,POLYCAB,,2026-04-28,2026-04-28,8800.00,CE,POLYCAB26APR8800CE,272.55,352.00,272.55,310.05,310.05,72.00,8610.50,310.05,250,250,4,4550893.75,4,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144428,,POLYCAB,,2026-04-28,2026-04-28,7900.00,CE,POLYCAB26APR7900CE,0.00,0.00,0.00,685.45,0.00,685.45,8610.50,933.25,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144531,,POLYCAB,,2026-05-26,2026-05-26,8200.00,PE,POLYCAB26MAY8200PE,0.00,0.00,0.00,601.45,0.00,601.45,8610.50,315.85,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152414,,POLYCAB,,2026-04-28,2026-04-28,9600.00,CE,POLYCAB26APR9600CE,0.00,0.00,0.00,27.20,0.00,27.20,8610.50,157.55,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,144436,,POLYCAB,,2026-04-28,2026-04-28,8700.00,CE,POLYCAB26APR8700CE,0.00,0.00,0.00,334.20,0.00,334.20,8610.50,451.05,0,0,0,0.00,0,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155884,,POLYCAB,,2026-03-30,2026-03-30,9400.00,CE,POLYCAB26MAR9400CE,72.50,72.50,45.75,50.85,50.70,108.75,8610.50,50.85,46500,46500,1505,1778780087.50,1230,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155880,,POLYCAB,,2026-03-30,2026-03-30,9000.00,CE,POLYCAB26MAR9000CE,98.80,160.80,92.80,123.40,126.45,99.10,8610.50,123.40,177750,66125,7763,8858370368.75,5814,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,155878,,POLYCAB,,2026-03-30,2026-03-30,8800.00,CE,POLYCAB26MAR8800CE,144.15,242.55,142.50,192.60,195.00,151.90,8610.50,192.60,62750,56625,3630,4086354281.25,2796,F1,125,,,,,
2026-02-27,2026-02-27,FO,NSE,STO,152200,,POLYCAB,,2026-03-30,2026-03-30,7900.00,CE,POLYCAB26MAR7900CE,710.00,868.85,698.30,817.00,817.00,699.25,8610.50,819.25,16125,-1250,60,65117700.00,50,F1,125,,,,,
