TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-02,2026-03-02,FO,NSE,STO,107639,,ETERNAL,,2026-03-30,2026-03-30,255.00,CE,ETERNAL26MAR255CE,6.15,6.15,3.83,5.51,5.44,6.95,242.85,5.51,7502950,-4850,2355,1485209704.25,2064,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,107745,,ETERNAL,,2026-03-30,2026-03-30,315.00,CE,ETERNAL26MAR315CE,0.30,0.35,0.28,0.33,0.34,0.45,242.85,0.33,822075,41225,177,135340535.25,171,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,107784,,ETERNAL,,2026-04-28,2026-04-28,230.00,CE,ETERNAL26APR230CE,20.60,20.60,20.60,20.60,20.60,26.95,242.85,22.57,4850,2425,1,607705.00,1,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,100518,,ETERNAL,,2026-04-28,2026-04-28,255.00,CE,ETERNAL26APR255CE,0.00,0.00,0.00,19.90,0.00,19.90,242.85,10.22,0,0,0,0.00,0,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,107530,,ETERNAL,,2026-03-30,2026-03-30,235.00,PE,ETERNAL26MAR235PE,7.40,9.65,5.70,6.36,6.40,5.40,242.85,6.36,1561700,412250,1554,912345600.75,1269,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,95243,,ETERNAL,,2026-03-30,2026-03-30,340.00,PE,ETERNAL26MAR340PE,96.33,96.33,94.69,96.01,96.01,87.95,242.85,95.72,657175,-2425,8,8448821.25,7,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,100515,,ETERNAL,,2026-04-28,2026-04-28,235.00,PE,ETERNAL26APR235PE,0.00,0.00,0.00,9.35,0.00,9.35,242.85,9.70,0,0,0,0.00,0,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,107647,,ETERNAL,,2026-03-30,2026-03-30,275.00,CE,ETERNAL26MAR275CE,1.95,2.09,1.28,1.85,1.83,2.45,242.85,1.85,3307700,261900,1356,909995848.50,1104,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,107783,,ETERNAL,,2026-04-28,2026-04-28,220.00,PE,ETERNAL26APR220PE,0.00,0.00,0.00,7.15,0.00,7.15,242.85,4.69,0,0,0,0.00,0,F1,2425,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,107781,,ETERNAL,,2026-04-28,2026-04-28,210.00,PE,ETERNAL26APR210PE,0.00,0.00,0.00,4.80,0.00,4.80,242.85,2.59,0,0,0,0.00,0,F1,2425,,,,,
