TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-02,2026-03-02,FO,NSE,STO,97042,,FORTIS,,2026-03-30,2026-03-30,1100.00,CE,FORTIS26MAR1100CE,2.00,2.00,0.90,0.90,0.90,2.20,932.50,0.65,13950,-1550,8,6827401.25,6,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102141,,FORTIS,,2026-05-26,2026-05-26,860.00,PE,FORTIS26MAY860PE,0.00,0.00,0.00,30.40,0.00,30.40,932.50,18.60,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102153,,FORTIS,,2026-05-26,2026-05-26,940.00,PE,FORTIS26MAY940PE,0.00,0.00,0.00,65.45,0.00,65.45,932.50,49.60,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102157,,FORTIS,,2026-05-26,2026-05-26,980.00,PE,FORTIS26MAY980PE,0.00,0.00,0.00,88.80,0.00,88.80,932.50,72.25,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102159,,FORTIS,,2026-05-26,2026-05-26,1000.00,PE,FORTIS26MAY1000PE,0.00,0.00,0.00,101.85,0.00,101.85,932.50,85.20,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102161,,FORTIS,,2026-05-26,2026-05-26,1020.00,PE,FORTIS26MAY1020PE,0.00,0.00,0.00,115.70,0.00,115.70,932.50,99.20,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102130,,FORTIS,,2026-05-26,2026-05-26,800.00,PE,FORTIS26MAY800PE,0.00,0.00,0.00,14.35,0.00,14.35,932.50,6.85,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109567,,FORTIS,,2026-04-28,2026-04-28,860.00,PE,FORTIS26APR860PE,0.00,0.00,0.00,62.65,0.00,62.65,932.50,12.65,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109533,,FORTIS,,2026-04-28,2026-04-28,840.00,PE,FORTIS26APR840PE,0.00,0.00,0.00,52.20,0.00,52.20,932.50,8.60,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109378,,FORTIS,,2026-03-30,2026-03-30,930.00,PE,FORTIS26MAR930PE,31.00,34.00,25.00,27.80,27.50,24.05,932.50,27.80,78275,20925,286,212648646.25,261,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97019,,FORTIS,,2026-03-30,2026-03-30,920.00,PE,FORTIS26MAR920PE,26.50,29.00,20.40,23.45,23.20,19.65,932.50,23.45,213900,-8525,398,291380508.75,345,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102069,,FORTIS,,2026-04-28,2026-04-28,1010.00,CE,FORTIS26APR1010CE,0.00,0.00,0.00,23.85,0.00,23.85,932.50,17.95,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109644,,FORTIS,,2026-04-28,2026-04-28,980.00,CE,FORTIS26APR980CE,23.20,23.20,23.20,23.20,23.20,35.60,932.50,26.65,0,-775,1,777480.00,1,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97028,,FORTIS,,2026-03-30,2026-03-30,1000.00,CE,FORTIS26MAR1000CE,9.55,11.00,6.50,9.40,9.45,13.20,932.50,9.40,496775,-82925,813,636197538.75,553,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109369,,FORTIS,,2026-03-30,2026-03-30,870.00,CE,FORTIS26MAR870CE,77.00,78.50,76.20,78.40,78.40,86.50,932.50,73.15,3875,3875,7,5137940.00,6,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97004,,FORTIS,,2026-03-30,2026-03-30,820.00,CE,FORTIS26MAR820CE,0.00,0.00,0.00,100.65,0.00,100.65,932.50,117.35,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102163,,FORTIS,,2026-05-26,2026-05-26,1040.00,PE,FORTIS26MAY1040PE,0.00,0.00,0.00,130.35,0.00,130.35,932.50,114.10,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102155,,FORTIS,,2026-05-26,2026-05-26,960.00,PE,FORTIS26MAY960PE,0.00,0.00,0.00,76.65,0.00,76.65,932.50,60.35,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109346,,FORTIS,,2026-03-30,2026-03-30,750.00,PE,FORTIS26MAR750PE,0.00,0.00,0.00,1.25,1.25,1.25,932.50,0.05,2325,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102137,,FORTIS,,2026-05-26,2026-05-26,860.00,CE,FORTIS26MAY860CE,0.00,0.00,0.00,104.10,0.00,104.10,932.50,102.05,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102135,,FORTIS,,2026-05-26,2026-05-26,840.00,CE,FORTIS26MAY840CE,0.00,0.00,0.00,117.55,0.00,117.55,932.50,116.95,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109377,,FORTIS,,2026-03-30,2026-03-30,930.00,CE,FORTIS26MAR930CE,30.50,36.85,28.95,34.05,34.50,40.20,932.50,34.05,72075,30225,274,204526801.25,257,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97012,,FORTIS,,2026-03-30,2026-03-30,880.00,CE,FORTIS26MAR880CE,66.95,70.50,65.00,70.50,70.50,91.00,932.50,65.30,11625,3875,8,5880273.75,7,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STF,66161,,FORTIS,,2026-05-26,2026-05-26,,,FORTIS26MAYFUT,953.00,953.00,936.75,936.75,936.75,968.40,932.50,944.50,10075,-775,3,2202046.25,3,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,40157,,FORTIS,,2026-04-28,2026-04-28,1100.00,PE,FORTIS26APR1100PE,162.10,162.10,162.10,162.10,162.10,237.75,932.50,162.60,2325,2325,3,2934382.50,1,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109657,,FORTIS,,2026-04-28,2026-04-28,1080.00,PE,FORTIS26APR1080PE,143.60,154.65,143.60,154.65,154.65,231.50,932.50,144.55,3100,3100,4,3801723.75,4,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109653,,FORTIS,,2026-04-28,2026-04-28,1040.00,PE,FORTIS26APR1040PE,0.00,0.00,0.00,195.60,0.00,195.60,932.50,110.30,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102070,,FORTIS,,2026-04-28,2026-04-28,1010.00,PE,FORTIS26APR1010PE,0.00,0.00,0.00,102.75,0.00,102.75,932.50,86.80,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109630,,FORTIS,,2026-04-28,2026-04-28,920.00,PE,FORTIS26APR920PE,0.00,0.00,0.00,100.00,0.00,100.00,932.50,32.65,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102148,,FORTIS,,2026-05-26,2026-05-26,900.00,CE,FORTIS26MAY900CE,0.00,0.00,0.00,80.30,0.00,80.30,932.50,75.65,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97017,,FORTIS,,2026-03-30,2026-03-30,900.00,PE,FORTIS26MAR900PE,18.95,21.35,13.75,16.85,16.30,13.30,932.50,16.85,348750,-17050,356,252959031.25,322,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109531,,FORTIS,,2026-04-28,2026-04-28,820.00,PE,FORTIS26APR820PE,0.00,0.00,0.00,42.80,0.00,42.80,932.50,5.60,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97024,,FORTIS,,2026-03-30,2026-03-30,960.00,CE,FORTIS26MAR960CE,18.10,23.00,15.00,20.60,20.45,26.40,932.50,20.60,747875,-35650,859,652508460.00,806,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102059,,FORTIS,,2026-04-28,2026-04-28,930.00,PE,FORTIS26APR930PE,0.00,0.00,0.00,52.15,0.00,52.15,932.50,37.25,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109643,,FORTIS,,2026-04-28,2026-04-28,960.00,PE,FORTIS26APR960PE,0.00,0.00,0.00,39.65,39.65,39.65,932.50,53.30,775,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109645,,FORTIS,,2026-04-28,2026-04-28,980.00,PE,FORTIS26APR980PE,0.00,0.00,0.00,145.05,0.00,145.05,932.50,65.75,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97032,,FORTIS,,2026-03-30,2026-03-30,1020.00,CE,FORTIS26MAR1020CE,8.50,8.50,5.15,6.40,6.15,9.40,932.50,6.40,151900,-21700,105,83515627.50,100,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97034,,FORTIS,,2026-03-30,2026-03-30,1040.00,CE,FORTIS26MAR1040CE,4.20,4.80,3.50,4.35,4.35,7.00,932.50,4.35,135625,-25575,126,101954195.00,116,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,97040,,FORTIS,,2026-03-30,2026-03-30,1080.00,CE,FORTIS26MAR1080CE,2.15,2.35,1.75,2.15,2.15,3.40,932.50,2.15,217775,-6200,50,41929515.00,43,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102042,,FORTIS,,2026-04-28,2026-04-28,850.00,CE,FORTIS26APR850CE,0.00,0.00,0.00,99.30,0.00,99.30,932.50,100.25,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102046,,FORTIS,,2026-04-28,2026-04-28,870.00,CE,FORTIS26APR870CE,0.00,0.00,0.00,85.75,0.00,85.75,932.50,85.05,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,102058,,FORTIS,,2026-04-28,2026-04-28,930.00,CE,FORTIS26APR930CE,0.00,0.00,0.00,52.30,0.00,52.30,932.50,47.70,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109636,,FORTIS,,2026-04-28,2026-04-28,940.00,PE,FORTIS26APR940PE,0.00,0.00,0.00,114.25,0.00,114.25,932.50,42.25,0,0,0,0.00,0,F1,775,,,,,
2026-03-02,2026-03-02,FO,NSE,STO,109532,,FORTIS,,2026-04-28,2026-04-28,840.00,CE,FORTIS26APR840CE,0.00,0.00,0.00,63.50,0.00,63.50,932.50,108.25,0,0,0,0.00,0,F1,775,,,,,
