TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-04,2026-03-04,FO,NSE,STO,79563,,ANGELONE,,2026-04-28,2026-04-28,195.00,CE,ANGELONE26APR195CE,0.00,0.00,0.00,566.30,0.00,566.30,221.75,31.69,0,0,0,0.00,0,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,79583,,ANGELONE,,2026-04-28,2026-04-28,275.00,CE,ANGELONE26APR275CE,0.00,0.00,0.00,123.45,0.00,123.45,221.75,1.61,0,0,0,0.00,0,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,80790,,ANGELONE,,2026-04-28,2026-04-28,290.00,CE,ANGELONE26APR290CE,0.00,0.00,0.00,151.95,0.00,151.95,221.75,0.76,0,0,0,0.00,0,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,79609,,ANGELONE,,2026-05-26,2026-05-26,220.00,CE,ANGELONE26MAY220CE,0.00,0.00,0.00,422.40,0.00,422.40,221.75,19.00,0,0,0,0.00,0,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,65538,,ANGELONE,,2026-03-30,2026-03-30,200.00,PE,ANGELONE26MAR200PE,3.70,4.72,3.23,3.59,3.53,2.57,221.75,3.59,952500,55000,624,318205125.00,434,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,80657,,ANGELONE,,2026-03-30,2026-03-30,215.00,PE,ANGELONE26MAR215PE,8.00,10.04,7.24,7.81,7.74,6.06,221.75,7.81,520000,292500,435,243693175.00,286,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,65588,,ANGELONE,,2026-03-30,2026-03-30,280.00,PE,ANGELONE26MAR280PE,60.50,60.66,60.50,60.66,60.66,46.95,221.75,57.30,187500,-12500,5,4256650.00,2,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,79572,,ANGELONE,,2026-04-28,2026-04-28,215.00,PE,ANGELONE26APR215PE,0.00,0.00,0.00,78.50,0.00,78.50,221.75,9.61,0,0,0,0.00,0,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,79574,,ANGELONE,,2026-04-28,2026-04-28,225.00,PE,ANGELONE26APR225PE,0.00,0.00,0.00,110.95,0.00,110.95,221.75,14.46,0,0,0,0.00,0,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,79580,,ANGELONE,,2026-04-28,2026-04-28,255.00,PE,ANGELONE26APR255PE,0.00,0.00,0.00,252.95,0.00,252.95,221.75,35.20,0,0,0,0.00,0,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,80652,,ANGELONE,,2026-03-30,2026-03-30,195.00,CE,ANGELONE26MAR195CE,0.00,0.00,0.00,636.40,0.00,636.40,221.75,28.65,0,0,0,0.00,0,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,80664,,ANGELONE,,2026-03-30,2026-03-30,255.00,CE,ANGELONE26MAR255CE,1.80,2.00,1.62,1.78,1.72,2.61,221.75,1.78,1510000,10000,375,240704950.00,247,F1,2500,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,80690,,ANGELONE,,2026-04-28,2026-04-28,200.00,CE,ANGELONE26APR200CE,0.00,0.00,0.00,624.70,0.00,624.70,221.75,27.90,0,0,0,0.00,0,F1,2500,,,,,
