TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-04,2026-03-04,FO,NSE,STO,108769,,FEDERALBNK,,2026-03-30,2026-03-30,292.50,CE,FEDERALBNK26MAR292.5CE,8.00,8.40,4.85,5.85,5.95,9.65,286.45,5.85,275000,95000,253,377434250.00,213,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,108778,,FEDERALBNK,,2026-03-30,2026-03-30,307.50,CE,FEDERALBNK26MAR307.5CE,2.90,2.90,1.55,1.85,1.90,3.40,286.45,1.85,650000,45000,98,151662000.00,94,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,109173,,FEDERALBNK,,2026-04-28,2026-04-28,285.00,CE,FEDERALBNK26APR285CE,0.00,0.00,0.00,19.60,0.00,19.60,286.45,13.05,0,0,0,0.00,0,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,101602,,FEDERALBNK,,2026-04-28,2026-04-28,292.50,CE,FEDERALBNK26APR292.5CE,0.00,0.00,0.00,18.00,0.00,18.00,286.45,9.45,0,0,0,0.00,0,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,109177,,FEDERALBNK,,2026-04-28,2026-04-28,295.00,CE,FEDERALBNK26APR295CE,8.00,8.00,8.00,8.00,8.00,15.05,286.45,8.00,10000,10000,2,3030000.00,2,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STF,51877,,FEDERALBNK,,2026-03-30,2026-03-30,,,FEDERALBNK26MARFUT,293.00,295.40,284.55,287.80,287.75,296.50,286.45,287.80,61815000,6890000,6560,9467076000.00,6058,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,108786,,FEDERALBNK,,2026-03-30,2026-03-30,327.50,CE,FEDERALBNK26MAR327.5CE,0.00,0.00,0.00,0.60,0.60,0.60,286.45,0.20,220000,0,0,0.00,0,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,109159,,FEDERALBNK,,2026-04-28,2026-04-28,255.00,CE,FEDERALBNK26APR255CE,0.00,0.00,0.00,38.65,0.00,38.65,286.45,34.80,0,0,0,0.00,0,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,109185,,FEDERALBNK,,2026-04-28,2026-04-28,310.00,CE,FEDERALBNK26APR310CE,4.55,4.55,3.40,3.50,3.50,5.65,286.45,3.95,80000,20000,4,6277750.00,4,F1,5000,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,109213,,FEDERALBNK,,2026-04-28,2026-04-28,330.00,CE,FEDERALBNK26APR330CE,0.00,0.00,0.00,5.15,0.00,5.15,286.45,1.15,0,0,0,0.00,0,F1,5000,,,,,
