TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-04,2026-03-04,FO,NSE,STO,153949,,RBLBANK,,2026-04-28,2026-04-28,290.00,PE,RBLBANK26APR290PE,0.00,0.00,0.00,21.00,0.00,21.00,306.05,8.90,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,153915,,RBLBANK,,2026-03-30,2026-03-30,345.00,PE,RBLBANK26MAR345PE,0.00,0.00,0.00,20.90,20.90,20.90,306.05,39.30,6350,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147556,,RBLBANK,,2026-05-26,2026-05-26,360.00,PE,RBLBANK26MAY360PE,0.00,0.00,0.00,45.25,0.00,45.25,306.05,55.40,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,153918,,RBLBANK,,2026-03-30,2026-03-30,365.00,CE,RBLBANK26MAR365CE,0.00,0.00,0.00,1.90,1.90,1.90,306.05,0.45,9525,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147546,,RBLBANK,,2026-05-26,2026-05-26,340.00,PE,RBLBANK26MAY340PE,0.00,0.00,0.00,32.65,0.00,32.65,306.05,39.90,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156803,,RBLBANK,,2026-03-30,2026-03-30,270.00,PE,RBLBANK26MAR270PE,2.00,2.00,1.15,1.30,1.35,1.20,306.05,1.30,190500,165100,108,93134497.50,94,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156805,,RBLBANK,,2026-03-30,2026-03-30,280.00,PE,RBLBANK26MAR280PE,2.60,3.30,2.00,2.35,2.30,2.05,306.05,2.35,2346325,1822450,1427,1281404917.50,758,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156820,,RBLBANK,,2026-03-30,2026-03-30,360.00,CE,RBLBANK26MAR360CE,0.95,1.00,0.60,0.65,0.65,1.10,306.05,0.65,1082675,31750,78,89345452.50,68,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STF,67001,,RBLBANK,,2026-04-28,2026-04-28,,,RBLBANK26APRFUT,310.25,313.70,307.35,309.60,309.65,316.85,306.05,309.60,901700,381000,304,299773975.00,284,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147349,,RBLBANK,,2026-04-28,2026-04-28,345.00,PE,RBLBANK26APR345PE,0.00,0.00,0.00,32.05,0.00,32.05,306.05,41.55,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,154041,,RBLBANK,,2026-04-28,2026-04-28,360.00,PE,RBLBANK26APR360PE,0.00,0.00,0.00,67.35,0.00,67.35,306.05,54.10,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147332,,RBLBANK,,2026-04-28,2026-04-28,285.00,PE,RBLBANK26APR285PE,0.00,0.00,0.00,6.35,0.00,6.35,306.05,7.25,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,153913,,RBLBANK,,2026-03-30,2026-03-30,335.00,PE,RBLBANK26MAR335PE,28.05,31.05,28.00,31.05,31.05,24.35,306.05,30.70,107950,9525,8,9267825.00,8,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STF,66353,,RBLBANK,,2026-05-26,2026-05-26,,,RBLBANK26MAYFUT,313.40,313.80,309.75,310.30,310.30,315.20,306.05,310.30,98425,44450,24,23746460.00,23,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,153916,,RBLBANK,,2026-03-30,2026-03-30,355.00,CE,RBLBANK26MAR355CE,0.95,1.35,0.75,0.85,0.85,1.55,306.05,0.85,222250,31750,71,80251458.75,51,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156807,,RBLBANK,,2026-03-30,2026-03-30,290.00,PE,RBLBANK26MAR290PE,4.50,5.65,3.50,4.30,4.35,3.45,306.05,4.30,1533525,1349375,962,900466512.50,604,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,153902,,RBLBANK,,2026-03-30,2026-03-30,285.00,CE,RBLBANK26MAR285CE,0.00,0.00,0.00,43.25,43.25,43.25,306.05,25.65,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147342,,RBLBANK,,2026-04-28,2026-04-28,315.00,CE,RBLBANK26APR315CE,0.00,0.00,0.00,30.75,0.00,30.75,306.05,14.20,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147344,,RBLBANK,,2026-04-28,2026-04-28,325.00,CE,RBLBANK26APR325CE,0.00,0.00,0.00,25.50,0.00,25.50,306.05,10.55,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147348,,RBLBANK,,2026-04-28,2026-04-28,345.00,CE,RBLBANK26APR345CE,0.00,0.00,0.00,17.00,0.00,17.00,306.05,5.45,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147537,,RBLBANK,,2026-05-26,2026-05-26,310.00,CE,RBLBANK26MAY310CE,0.00,0.00,0.00,38.85,0.00,38.85,306.05,20.85,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156815,,RBLBANK,,2026-03-30,2026-03-30,330.00,PE,RBLBANK26MAR330PE,25.00,27.65,22.40,26.00,26.00,20.30,306.05,26.00,463550,-22225,90,101710331.25,81,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147343,,RBLBANK,,2026-04-28,2026-04-28,315.00,PE,RBLBANK26APR315PE,0.00,0.00,0.00,16.15,0.00,16.15,306.05,20.55,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156821,,RBLBANK,,2026-03-30,2026-03-30,360.00,PE,RBLBANK26MAR360PE,0.00,0.00,0.00,56.75,0.00,56.75,306.05,53.20,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STF,52020,,RBLBANK,,2026-03-30,2026-03-30,,,RBLBANK26MARFUT,306.00,311.65,305.25,307.70,307.55,314.80,306.05,307.70,61598175,2390775,5782,5658601998.75,4680,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156810,,RBLBANK,,2026-03-30,2026-03-30,310.00,CE,RBLBANK26MAR310CE,11.85,12.85,9.30,10.20,9.95,14.30,306.05,10.20,863600,53975,1110,1131245038.75,965,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147534,,RBLBANK,,2026-05-26,2026-05-26,290.00,PE,RBLBANK26MAY290PE,0.00,0.00,0.00,10.65,0.00,10.65,306.05,11.90,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147347,,RBLBANK,,2026-04-28,2026-04-28,335.00,PE,RBLBANK26APR335PE,0.00,0.00,0.00,26.10,0.00,26.10,306.05,33.80,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156817,,RBLBANK,,2026-03-30,2026-03-30,340.00,PE,RBLBANK26MAR340PE,34.00,34.65,32.10,32.10,32.10,31.15,306.05,34.95,155575,6350,10,11870531.25,8,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147541,,RBLBANK,,2026-05-26,2026-05-26,330.00,CE,RBLBANK26MAY330CE,0.00,0.00,0.00,28.55,0.00,28.55,306.05,13.10,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,153952,,RBLBANK,,2026-04-28,2026-04-28,310.00,CE,RBLBANK26APR310CE,0.00,0.00,0.00,21.80,0.00,21.80,306.05,16.35,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,147533,,RBLBANK,,2026-05-26,2026-05-26,290.00,CE,RBLBANK26MAY290CE,0.00,0.00,0.00,51.45,0.00,51.45,306.05,31.55,0,0,0,0.00,0,F1,3175,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,156804,,RBLBANK,,2026-03-30,2026-03-30,280.00,CE,RBLBANK26MAR280CE,0.00,0.00,0.00,48.30,48.30,48.30,306.05,29.60,6350,0,0,0.00,0,F1,3175,,,,,
