TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-04,2026-03-04,FO,NSE,STO,150779,,SAIL,,2026-05-26,2026-05-26,140.00,PE,SAIL26MAY140PE,0.00,0.00,0.00,4.33,0.00,4.33,155.60,3.61,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,166787,,SAIL,,2026-04-28,2026-04-28,182.00,PE,SAIL26APR182PE,0.00,0.00,0.00,29.15,0.00,29.15,155.60,26.59,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,166783,,SAIL,,2026-04-28,2026-04-28,178.00,PE,SAIL26APR178PE,0.00,0.00,0.00,26.14,0.00,26.14,155.60,23.20,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,150416,,SAIL,,2026-04-28,2026-04-28,177.00,PE,SAIL26APR177PE,0.00,0.00,0.00,20.56,0.00,20.56,155.60,22.38,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,166771,,SAIL,,2026-04-28,2026-04-28,166.00,PE,SAIL26APR166PE,0.00,0.00,0.00,17.97,0.00,17.97,155.60,14.10,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,150398,,SAIL,,2026-04-28,2026-04-28,159.00,PE,SAIL26APR159PE,0.00,0.00,0.00,9.65,0.00,9.65,155.60,9.75,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,157675,,SAIL,,2026-03-30,2026-03-30,184.00,PE,SAIL26MAR184PE,0.00,0.00,0.00,42.22,0.00,42.22,155.60,27.96,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,166679,,SAIL,,2026-03-30,2026-03-30,175.00,PE,SAIL26MAR175PE,17.50,20.35,17.50,20.35,20.35,11.32,155.60,19.62,108100,0,5,4559940.00,3,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,157665,,SAIL,,2026-03-30,2026-03-30,172.00,PE,SAIL26MAR172PE,0.00,0.00,0.00,9.25,9.25,9.25,155.60,17.00,84600,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,166667,,SAIL,,2026-03-30,2026-03-30,163.00,PE,SAIL26MAR163PE,8.49,12.52,8.25,10.19,10.63,4.45,155.60,10.19,319600,-23500,52,42256760.00,51,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,166663,,SAIL,,2026-03-30,2026-03-30,159.00,PE,SAIL26MAR159PE,6.40,8.74,6.34,7.76,8.20,3.03,155.60,7.76,51700,4700,13,10166523.00,13,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,150796,,SAIL,,2026-05-26,2026-05-26,158.00,CE,SAIL26MAY158CE,0.00,0.00,0.00,15.77,0.00,15.77,155.60,10.37,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,150782,,SAIL,,2026-05-26,2026-05-26,144.00,CE,SAIL26MAY144CE,0.00,0.00,0.00,24.04,0.00,24.04,155.60,18.19,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,166784,,SAIL,,2026-04-28,2026-04-28,180.00,CE,SAIL26APR180CE,0.00,0.00,0.00,5.95,0.00,5.95,155.60,1.96,0,0,0,0.00,0,F1,4700,,,,,
2026-03-04,2026-03-04,FO,NSE,STO,166762,,SAIL,,2026-04-28,2026-04-28,158.00,CE,SAIL26APR158CE,0.00,0.00,0.00,13.32,0.00,13.32,155.60,8.11,0,0,0,0.00,0,F1,4700,,,,,
