TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-05,2026-03-05,FO,NSE,STO,130357,,JIOFIN,,2026-03-30,2026-03-30,252.50,PE,JIOFIN26MAR252.5PE,14.40,16.25,11.85,12.55,12.50,14.55,243.10,12.55,401850,-54050,47,29379935.00,44,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,130359,,JIOFIN,,2026-03-30,2026-03-30,257.50,PE,JIOFIN26MAR257.5PE,16.65,19.90,15.60,15.60,15.60,18.45,243.10,16.00,925900,-4700,8,5170470.00,8,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,130361,,JIOFIN,,2026-03-30,2026-03-30,262.50,PE,JIOFIN26MAR262.5PE,21.55,22.00,21.55,22.00,22.00,22.30,243.10,20.05,547550,-4700,3,2003610.00,3,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,121381,,JIOFIN,,2026-03-30,2026-03-30,265.00,PE,JIOFIN26MAR265PE,24.45,27.00,21.45,22.05,22.05,24.80,243.10,22.05,1330100,0,46,31275915.00,39,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,121383,,JIOFIN,,2026-03-30,2026-03-30,270.00,PE,JIOFIN26MAR270PE,29.50,31.00,26.75,26.75,26.75,29.00,243.10,26.75,1541600,-14100,29,20335960.00,27,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,130367,,JIOFIN,,2026-03-30,2026-03-30,277.50,PE,JIOFIN26MAR277.5PE,0.00,0.00,0.00,25.65,0.00,25.65,243.10,33.70,0,0,0,0.00,0,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,121442,,JIOFIN,,2026-03-30,2026-03-30,285.00,PE,JIOFIN26MAR285PE,0.00,0.00,0.00,43.90,43.90,43.90,243.10,40.95,629800,0,0,0.00,0,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,121446,,JIOFIN,,2026-03-30,2026-03-30,295.00,PE,JIOFIN26MAR295PE,0.00,0.00,0.00,36.20,36.20,36.20,243.10,50.85,101050,0,0,0.00,0,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,130375,,JIOFIN,,2026-03-30,2026-03-30,297.50,PE,JIOFIN26MAR297.5PE,0.00,0.00,0.00,27.00,27.00,27.00,243.10,53.30,4700,0,0,0.00,0,F1,2350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,121541,,JIOFIN,,2026-03-30,2026-03-30,300.00,PE,JIOFIN26MAR300PE,54.75,54.75,54.75,54.75,54.75,57.45,243.10,55.80,2540350,-2350,1,833662.50,1,F1,2350,,,,,
