TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-05,2026-03-05,FO,NSE,STO,146736,,OBEROIRLTY,,2026-04-28,2026-04-28,1240.00,PE,OBEROIRLTY26APR1240PE,0.00,0.00,0.00,21.05,0.00,21.05,1482.10,3.70,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,146738,,OBEROIRLTY,,2026-04-28,2026-04-28,1280.00,PE,OBEROIRLTY26APR1280PE,0.00,0.00,0.00,29.25,0.00,29.25,1482.10,6.95,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135217,,OBEROIRLTY,,2026-04-28,2026-04-28,1300.00,PE,OBEROIRLTY26APR1300PE,0.00,0.00,0.00,15.20,0.00,15.20,1482.10,9.25,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,146740,,OBEROIRLTY,,2026-04-28,2026-04-28,1320.00,PE,OBEROIRLTY26APR1320PE,0.00,0.00,0.00,39.50,0.00,39.50,1482.10,12.05,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,146742,,OBEROIRLTY,,2026-04-28,2026-04-28,1360.00,PE,OBEROIRLTY26APR1360PE,0.00,0.00,0.00,51.85,0.00,51.85,1482.10,19.70,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,146744,,OBEROIRLTY,,2026-04-28,2026-04-28,1400.00,PE,OBEROIRLTY26APR1400PE,0.00,0.00,0.00,66.55,0.00,66.55,1482.10,30.30,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,146751,,OBEROIRLTY,,2026-04-28,2026-04-28,1480.00,PE,OBEROIRLTY26APR1480PE,0.00,0.00,0.00,103.05,0.00,103.05,1482.10,61.95,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135373,,OBEROIRLTY,,2026-04-28,2026-04-28,1500.00,PE,OBEROIRLTY26APR1500PE,0.00,0.00,0.00,76.35,0.00,76.35,1482.10,72.15,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135375,,OBEROIRLTY,,2026-04-28,2026-04-28,1540.00,PE,OBEROIRLTY26APR1540PE,0.00,0.00,0.00,96.70,0.00,96.70,1482.10,95.20,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,146778,,OBEROIRLTY,,2026-04-28,2026-04-28,1600.00,PE,OBEROIRLTY26APR1600PE,0.00,0.00,0.00,174.50,0.00,174.50,1482.10,135.90,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135384,,OBEROIRLTY,,2026-04-28,2026-04-28,1620.00,PE,OBEROIRLTY26APR1620PE,0.00,0.00,0.00,145.20,0.00,145.20,1482.10,150.90,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,146801,,OBEROIRLTY,,2026-04-28,2026-04-28,1640.00,PE,OBEROIRLTY26APR1640PE,0.00,0.00,0.00,202.30,0.00,202.30,1482.10,166.55,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135386,,OBEROIRLTY,,2026-04-28,2026-04-28,1660.00,PE,OBEROIRLTY26APR1660PE,0.00,0.00,0.00,173.05,0.00,173.05,1482.10,182.75,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,146803,,OBEROIRLTY,,2026-04-28,2026-04-28,1680.00,PE,OBEROIRLTY26APR1680PE,0.00,0.00,0.00,231.90,0.00,231.90,1482.10,199.50,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135388,,OBEROIRLTY,,2026-04-28,2026-04-28,1700.00,PE,OBEROIRLTY26APR1700PE,0.00,0.00,0.00,203.10,0.00,203.10,1482.10,216.70,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135576,,OBEROIRLTY,,2026-05-26,2026-05-26,1200.00,PE,OBEROIRLTY26MAY1200PE,0.00,0.00,0.00,9.65,0.00,9.65,1482.10,4.95,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135582,,OBEROIRLTY,,2026-05-26,2026-05-26,1280.00,PE,OBEROIRLTY26MAY1280PE,0.00,0.00,0.00,20.55,0.00,20.55,1482.10,13.40,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135584,,OBEROIRLTY,,2026-05-26,2026-05-26,1320.00,PE,OBEROIRLTY26MAY1320PE,0.00,0.00,0.00,28.50,0.00,28.50,1482.10,20.45,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135586,,OBEROIRLTY,,2026-05-26,2026-05-26,1360.00,PE,OBEROIRLTY26MAY1360PE,0.00,0.00,0.00,38.50,0.00,38.50,1482.10,29.85,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135588,,OBEROIRLTY,,2026-05-26,2026-05-26,1400.00,PE,OBEROIRLTY26MAY1400PE,0.00,0.00,0.00,50.50,0.00,50.50,1482.10,41.95,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135590,,OBEROIRLTY,,2026-05-26,2026-05-26,1440.00,PE,OBEROIRLTY26MAY1440PE,0.00,0.00,0.00,64.85,0.00,64.85,1482.10,56.90,0,0,0,0.00,0,F1,350,,,,,
2026-03-05,2026-03-05,FO,NSE,STO,135598,,OBEROIRLTY,,2026-05-26,2026-05-26,1600.00,PE,OBEROIRLTY26MAY1600PE,0.00,0.00,0.00,145.15,0.00,145.15,1482.10,145.65,0,0,0,0.00,0,F1,350,,,,,
