TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-09,2026-03-09,FO,NSE,STO,119756,,JUBLFOOD,,2026-04-28,2026-04-28,435.00,CE,JUBLFOOD26APR435CE,0.00,0.00,0.00,91.35,0.00,91.35,488.65,59.35,0,0,0,0.00,0,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,120004,,JUBLFOOD,,2026-05-26,2026-05-26,490.00,CE,JUBLFOOD26MAY490CE,0.00,0.00,0.00,54.40,0.00,54.40,488.65,26.70,0,0,0,0.00,0,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,131873,,JUBLFOOD,,2026-03-30,2026-03-30,475.00,PE,JUBLFOOD26MAR475PE,13.85,14.35,8.65,9.40,8.65,8.05,488.65,9.40,137500,56250,107,65126812.50,84,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,123924,,JUBLFOOD,,2026-03-30,2026-03-30,540.00,PE,JUBLFOOD26MAR540PE,56.00,56.00,53.00,53.05,53.05,42.55,488.65,53.05,173750,-5000,10,7422312.50,10,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,123927,,JUBLFOOD,,2026-03-30,2026-03-30,560.00,CE,JUBLFOOD26MAR560CE,1.05,1.10,0.75,0.85,0.80,1.05,488.65,0.85,518750,2500,82,57487937.50,63,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,123941,,JUBLFOOD,,2026-03-30,2026-03-30,580.00,CE,JUBLFOOD26MAR580CE,0.40,0.40,0.25,0.35,0.35,0.40,488.65,0.05,277500,-7500,17,12331312.50,16,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,123945,,JUBLFOOD,,2026-03-30,2026-03-30,600.00,CE,JUBLFOOD26MAR600CE,0.15,0.25,0.15,0.20,0.25,0.25,488.65,0.20,832500,-61250,147,110282625.00,67,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,132085,,JUBLFOOD,,2026-04-28,2026-04-28,530.00,CE,JUBLFOOD26APR530CE,0.00,0.00,0.00,18.75,0.00,18.75,488.65,6.95,0,0,0,0.00,0,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,119820,,JUBLFOOD,,2026-04-28,2026-04-28,535.00,CE,JUBLFOOD26APR535CE,0.00,0.00,0.00,7.85,7.85,7.85,488.65,5.90,33750,0,0,0.00,0,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,120002,,JUBLFOOD,,2026-05-26,2026-05-26,480.00,CE,JUBLFOOD26MAY480CE,0.00,0.00,0.00,61.00,0.00,61.00,488.65,31.95,0,0,0,0.00,0,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,120048,,JUBLFOOD,,2026-05-26,2026-05-26,570.00,CE,JUBLFOOD26MAY570CE,0.00,0.00,0.00,18.20,0.00,18.20,488.65,4.25,0,0,0,0.00,0,F1,1250,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,123910,,JUBLFOOD,,2026-03-30,2026-03-30,470.00,PE,JUBLFOOD26MAR470PE,12.55,12.90,7.25,7.70,7.25,6.40,488.65,7.70,250000,28750,109,65428562.50,78,F1,1250,,,,,
