TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-09,2026-03-09,FO,NSE,STO,168991,,TATACONSUM,,2026-04-28,2026-04-28,940.00,PE,TATACONSUM26APR940PE,0.00,0.00,0.00,1.40,0.00,1.40,1102.50,0.80,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,154970,,TATACONSUM,,2026-04-28,2026-04-28,1130.00,PE,TATACONSUM26APR1130PE,0.00,0.00,0.00,21.40,21.40,21.40,1102.50,48.00,3850,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,169031,,TATACONSUM,,2026-04-28,2026-04-28,1340.00,PE,TATACONSUM26APR1340PE,0.00,0.00,0.00,151.00,0.00,151.00,1102.50,227.95,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,155634,,TATACONSUM,,2026-05-26,2026-05-26,1020.00,PE,TATACONSUM26MAY1020PE,0.00,0.00,0.00,8.65,0.00,8.65,1102.50,12.45,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,155696,,TATACONSUM,,2026-05-26,2026-05-26,1080.00,PE,TATACONSUM26MAY1080PE,0.00,0.00,0.00,19.60,0.00,19.60,1102.50,30.50,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,155830,,TATACONSUM,,2026-05-26,2026-05-26,1300.00,PE,TATACONSUM26MAY1300PE,0.00,0.00,0.00,128.65,0.00,128.65,1102.50,186.55,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,160742,,TATACONSUM,,2026-03-30,2026-03-30,940.00,CE,TATACONSUM26MAR940CE,0.00,0.00,0.00,254.45,0.00,254.45,1102.50,165.50,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,160756,,TATACONSUM,,2026-03-30,2026-03-30,1080.00,CE,TATACONSUM26MAR1080CE,34.00,41.00,32.70,40.80,40.80,56.40,1102.50,39.10,9900,4950,59,36198745.00,55,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,168916,,TATACONSUM,,2026-03-30,2026-03-30,1090.00,CE,TATACONSUM26MAR1090CE,29.10,36.20,27.55,34.70,33.25,46.50,1102.50,34.70,31350,19250,129,79512015.00,119,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,168922,,TATACONSUM,,2026-03-30,2026-03-30,1150.00,CE,TATACONSUM26MAR1150CE,13.50,13.50,7.00,9.45,8.90,14.00,1102.50,9.45,167200,24750,307,195714255.00,260,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,168994,,TATACONSUM,,2026-04-28,2026-04-28,980.00,CE,TATACONSUM26APR980CE,0.00,0.00,0.00,225.60,0.00,225.60,1102.50,132.60,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,168908,,TATACONSUM,,2026-03-30,2026-03-30,1010.00,CE,TATACONSUM26MAR1010CE,0.00,0.00,0.00,190.60,0.00,190.60,1102.50,96.90,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,160752,,TATACONSUM,,2026-03-30,2026-03-30,1040.00,CE,TATACONSUM26MAR1040CE,0.00,0.00,0.00,164.05,0.00,164.05,1102.50,69.70,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,168928,,TATACONSUM,,2026-03-30,2026-03-30,1210.00,CE,TATACONSUM26MAR1210CE,2.30,2.30,1.40,1.65,1.65,2.75,1102.50,1.65,84700,-1100,17,11329340.00,17,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,168932,,TATACONSUM,,2026-03-30,2026-03-30,1250.00,CE,TATACONSUM26MAR1250CE,0.60,0.60,0.60,0.60,0.60,1.25,1102.50,0.30,59950,-550,1,687830.00,1,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,160776,,TATACONSUM,,2026-03-30,2026-03-30,1280.00,CE,TATACONSUM26MAR1280CE,0.65,0.65,0.55,0.55,0.55,0.65,1102.50,0.55,27500,0,2,1408660.00,2,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,169030,,TATACONSUM,,2026-04-28,2026-04-28,1340.00,CE,TATACONSUM26APR1340CE,0.00,0.00,0.00,18.95,0.00,18.95,1102.50,0.50,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,155559,,TATACONSUM,,2026-05-26,2026-05-26,960.00,CE,TATACONSUM26MAY960CE,0.00,0.00,0.00,236.95,0.00,236.95,1102.50,157.60,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,160755,,TATACONSUM,,2026-03-30,2026-03-30,1060.00,PE,TATACONSUM26MAR1060PE,8.45,18.00,8.40,11.55,12.15,7.95,1102.50,11.55,85250,-11000,156,92199580.00,133,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,168927,,TATACONSUM,,2026-03-30,2026-03-30,1190.00,PE,TATACONSUM26MAR1190PE,0.00,0.00,0.00,38.30,38.30,38.30,1102.50,86.45,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,160777,,TATACONSUM,,2026-03-30,2026-03-30,1280.00,PE,TATACONSUM26MAR1280PE,0.00,0.00,0.00,111.50,0.00,111.50,1102.50,173.55,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,168999,,TATACONSUM,,2026-04-28,2026-04-28,1020.00,PE,TATACONSUM26APR1020PE,0.00,0.00,0.00,9.20,9.20,9.20,1102.50,7.45,1100,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,154962,,TATACONSUM,,2026-04-28,2026-04-28,1050.00,PE,TATACONSUM26APR1050PE,0.00,0.00,0.00,8.30,0.00,8.30,1102.50,13.85,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,154974,,TATACONSUM,,2026-04-28,2026-04-28,1170.00,PE,TATACONSUM26APR1170PE,0.00,0.00,0.00,42.65,0.00,42.65,1102.50,74.70,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,155636,,TATACONSUM,,2026-05-26,2026-05-26,1040.00,PE,TATACONSUM26MAY1040PE,0.00,0.00,0.00,11.55,0.00,11.55,1102.50,17.25,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,155826,,TATACONSUM,,2026-05-26,2026-05-26,1260.00,PE,TATACONSUM26MAY1260PE,0.00,0.00,0.00,100.60,0.00,100.60,1102.50,150.55,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,160744,,TATACONSUM,,2026-03-30,2026-03-30,960.00,CE,TATACONSUM26MAR960CE,0.00,0.00,0.00,235.55,0.00,235.55,1102.50,145.60,0,0,0,0.00,0,F1,550,,,,,
2026-03-09,2026-03-09,FO,NSE,STO,155701,,TATACONSUM,,2026-05-26,2026-05-26,1140.00,CE,TATACONSUM26MAY1140CE,0.00,0.00,0.00,94.75,0.00,94.75,1102.50,36.10,0,0,0,0.00,0,F1,550,,,,,
