TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-10,2026-03-10,FO,NSE,STO,121258,,ICICIGI,,2026-04-28,2026-04-28,2000.00,CE,ICICIGI26APR2000CE,0.00,0.00,0.00,41.65,0.00,41.65,1889.30,26.65,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,121264,,ICICIGI,,2026-04-28,2026-04-28,2120.00,CE,ICICIGI26APR2120CE,0.00,0.00,0.00,20.05,0.00,20.05,1889.30,7.25,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,111496,,ICICIGI,,2026-05-26,2026-05-26,2080.00,CE,ICICIGI26MAY2080CE,0.00,0.00,0.00,49.60,0.00,49.60,1889.30,23.45,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,111500,,ICICIGI,,2026-05-26,2026-05-26,2160.00,CE,ICICIGI26MAY2160CE,0.00,0.00,0.00,31.60,0.00,31.60,1889.30,11.90,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,109247,,ICICIGI,,2026-03-30,2026-03-30,1640.00,PE,ICICIGI26MAR1640PE,0.00,0.00,0.00,9.40,0.00,9.40,1889.30,0.10,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,109279,,ICICIGI,,2026-03-30,2026-03-30,1720.00,PE,ICICIGI26MAR1720PE,0.00,0.00,0.00,4.40,4.40,4.40,1889.30,1.20,7150,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,120967,,ICICIGI,,2026-03-30,2026-03-30,1740.00,CE,ICICIGI26MAR1740CE,0.00,0.00,0.00,179.25,179.25,179.25,1889.30,156.60,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,121014,,ICICIGI,,2026-03-30,2026-03-30,2100.00,CE,ICICIGI26MAR2100CE,0.00,0.00,0.00,1.15,1.15,1.15,1889.30,1.00,12025,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,111482,,ICICIGI,,2026-05-26,2026-05-26,1800.00,CE,ICICIGI26MAY1800CE,0.00,0.00,0.00,179.20,0.00,179.20,1889.30,142.75,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,111474,,ICICIGI,,2026-05-26,2026-05-26,1640.00,CE,ICICIGI26MAY1640CE,0.00,0.00,0.00,303.25,0.00,303.25,1889.30,273.65,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,111468,,ICICIGI,,2026-05-26,2026-05-26,1520.00,CE,ICICIGI26MAY1520CE,0.00,0.00,0.00,412.20,0.00,412.20,1889.30,387.60,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,111375,,ICICIGI,,2026-04-28,2026-04-28,2100.00,CE,ICICIGI26APR2100CE,0.00,0.00,0.00,27.95,0.00,27.95,1889.30,9.20,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,109308,,ICICIGI,,2026-03-30,2026-03-30,2240.00,CE,ICICIGI26MAR2240CE,0.00,0.00,0.00,29.95,0.00,29.95,1889.30,0.05,0,0,0,0.00,0,F1,325,,,,,
2026-03-10,2026-03-10,FO,NSE,STO,109290,,ICICIGI,,2026-03-30,2026-03-30,1920.00,CE,ICICIGI26MAR1920CE,34.00,34.90,26.35,28.25,28.85,30.15,1889.30,28.25,45175,7475,120,76053136.25,85,F1,325,,,,,
