TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-11,2026-03-11,FO,NSE,STO,89680,,BOSCHLTD,,2026-05-26,2026-05-26,28500.00,PE,BOSCHLTD26MAY28500PE,0.00,0.00,0.00,101.65,0.00,101.65,31714.90,292.60,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89676,,BOSCHLTD,,2026-05-26,2026-05-26,27500.00,PE,BOSCHLTD26MAY27500PE,0.00,0.00,0.00,54.00,0.00,54.00,31714.90,156.15,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,93472,,BOSCHLTD,,2026-04-28,2026-04-28,42000.00,PE,BOSCHLTD26APR42000PE,0.00,0.00,0.00,6416.25,0.00,6416.25,31714.90,9984.15,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,93378,,BOSCHLTD,,2026-04-28,2026-04-28,31000.00,PE,BOSCHLTD26APR31000PE,0.00,0.00,0.00,451.65,451.65,451.65,31714.90,759.50,50,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89406,,BOSCHLTD,,2026-04-28,2026-04-28,29250.00,PE,BOSCHLTD26APR29250PE,0.00,0.00,0.00,334.75,334.75,334.75,31714.90,265.85,75,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89440,,BOSCHLTD,,2026-04-28,2026-04-28,34250.00,CE,BOSCHLTD26APR34250CE,0.00,0.00,0.00,2484.35,0.00,2484.35,31714.90,409.30,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,57788,,BOSCHLTD,,2026-03-30,2026-03-30,26500.00,CE,BOSCHLTD26MAR26500CE,0.00,0.00,0.00,9386.70,0.00,9386.70,31714.90,5291.15,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,80894,,BOSCHLTD,,2026-03-30,2026-03-30,28500.00,CE,BOSCHLTD26MAR28500CE,0.00,0.00,0.00,3570.15,3570.15,3570.15,31714.90,3318.15,125,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,80898,,BOSCHLTD,,2026-03-30,2026-03-30,29500.00,CE,BOSCHLTD26MAR29500CE,0.00,0.00,0.00,2550.00,2550.00,2550.00,31714.90,2385.85,125,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,80913,,BOSCHLTD,,2026-03-30,2026-03-30,32500.00,CE,BOSCHLTD26MAR32500CE,825.90,916.05,594.35,638.45,649.65,825.90,31714.90,638.45,1375,-575,140,116230208.75,131,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,93271,,BOSCHLTD,,2026-03-30,2026-03-30,33750.00,CE,BOSCHLTD26MAR33750CE,412.05,414.90,262.50,270.65,270.65,392.45,31714.90,159.15,1475,-125,39,33214203.75,38,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,93299,,BOSCHLTD,,2026-03-30,2026-03-30,40750.00,CE,BOSCHLTD26MAR40750CE,0.00,0.00,0.00,8.75,8.75,8.75,31714.90,0.05,1425,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89436,,BOSCHLTD,,2026-04-28,2026-04-28,33250.00,CE,BOSCHLTD26APR33250CE,0.00,0.00,0.00,3140.85,0.00,3140.85,31714.90,671.90,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,93417,,BOSCHLTD,,2026-04-28,2026-04-28,33500.00,CE,BOSCHLTD26APR33500CE,0.00,0.00,0.00,798.20,798.20,798.20,31714.90,596.45,50,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89699,,BOSCHLTD,,2026-05-26,2026-05-26,32500.00,PE,BOSCHLTD26MAY32500PE,0.00,0.00,0.00,691.45,0.00,691.45,31714.90,1719.55,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89678,,BOSCHLTD,,2026-05-26,2026-05-26,28000.00,PE,BOSCHLTD26MAY28000PE,0.00,0.00,0.00,74.75,0.00,74.75,31714.90,216.15,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89674,,BOSCHLTD,,2026-05-26,2026-05-26,27000.00,PE,BOSCHLTD26MAY27000PE,0.00,0.00,0.00,38.25,0.00,38.25,31714.90,110.10,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,93455,,BOSCHLTD,,2026-04-28,2026-04-28,39000.00,PE,BOSCHLTD26APR39000PE,0.00,0.00,0.00,3995.35,0.00,3995.35,31714.90,7023.80,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89485,,BOSCHLTD,,2026-04-28,2026-04-28,37750.00,PE,BOSCHLTD26APR37750PE,0.00,0.00,0.00,2900.30,0.00,2900.30,31714.90,5811.65,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,93422,,BOSCHLTD,,2026-04-28,2026-04-28,34500.00,PE,BOSCHLTD26APR34500PE,0.00,0.00,0.00,1373.70,0.00,1373.70,31714.90,2895.20,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89410,,BOSCHLTD,,2026-04-28,2026-04-28,30250.00,PE,BOSCHLTD26APR30250PE,0.00,0.00,0.00,143.25,0.00,143.25,31714.90,503.50,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,93364,,BOSCHLTD,,2026-04-28,2026-04-28,30000.00,PE,BOSCHLTD26APR30000PE,582.40,582.40,582.30,582.30,582.30,500.00,31714.90,433.60,650,50,2,1529117.50,2,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,41611,,BOSCHLTD,,2026-04-28,2026-04-28,27250.00,PE,BOSCHLTD26APR27250PE,0.00,0.00,0.00,10.20,0.00,10.20,31714.90,50.95,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,80945,,BOSCHLTD,,2026-03-30,2026-03-30,38500.00,PE,BOSCHLTD26MAR38500PE,0.00,0.00,0.00,3365.10,0.00,3365.10,31714.90,6675.35,0,0,0,0.00,0,F1,25,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,89805,,BOSCHLTD,,2026-05-26,2026-05-26,39500.00,CE,BOSCHLTD26MAY39500CE,0.00,0.00,0.00,809.10,0.00,809.10,31714.90,65.15,0,0,0,0.00,0,F1,25,,,,,
