TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-11,2026-03-11,FO,NSE,STO,101458,,GRASIM,,2026-03-30,2026-03-30,3320.00,CE,GRASIM26MAR3320CE,0.00,0.00,0.00,0.30,0.30,0.30,2735.90,0.05,4750,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112636,,GRASIM,,2026-04-28,2026-04-28,2600.00,CE,GRASIM26APR2600CE,0.00,0.00,0.00,143.95,143.95,143.95,2735.90,181.95,2500,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,104879,,GRASIM,,2026-04-28,2026-04-28,2620.00,CE,GRASIM26APR2620CE,0.00,0.00,0.00,312.85,0.00,312.85,2735.90,167.20,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105290,,GRASIM,,2026-05-26,2026-05-26,2400.00,PE,GRASIM26MAY2400PE,0.00,0.00,0.00,8.20,0.00,8.20,2735.90,8.15,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105320,,GRASIM,,2026-05-26,2026-05-26,3000.00,PE,GRASIM26MAY3000PE,0.00,0.00,0.00,185.15,0.00,185.15,2735.90,262.20,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112490,,GRASIM,,2026-03-30,2026-03-30,3180.00,CE,GRASIM26MAR3180CE,0.00,0.00,0.00,1.20,1.20,1.20,2735.90,0.05,8500,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112457,,GRASIM,,2026-03-30,2026-03-30,2940.00,CE,GRASIM26MAR2940CE,9.00,9.55,7.50,7.50,7.50,7.05,2735.90,7.50,67250,0,46,33913962.50,27,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,101414,,GRASIM,,2026-03-30,2026-03-30,2720.00,CE,GRASIM26MAR2720CE,70.85,85.25,66.80,70.80,67.95,75.15,2735.90,70.80,18000,1250,128,89466587.50,126,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112343,,GRASIM,,2026-03-30,2026-03-30,2460.00,CE,GRASIM26MAR2460CE,0.00,0.00,0.00,429.30,0.00,429.30,2735.90,283.50,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,101279,,GRASIM,,2026-03-30,2026-03-30,2440.00,CE,GRASIM26MAR2440CE,0.00,0.00,0.00,451.45,0.00,451.45,2735.90,303.25,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112626,,GRASIM,,2026-04-28,2026-04-28,2400.00,CE,GRASIM26APR2400CE,0.00,0.00,0.00,502.45,0.00,502.45,2735.90,356.25,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,104867,,GRASIM,,2026-04-28,2026-04-28,2540.00,CE,GRASIM26APR2540CE,0.00,0.00,0.00,215.05,215.05,215.05,2735.90,229.80,250,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112642,,GRASIM,,2026-04-28,2026-04-28,2720.00,CE,GRASIM26APR2720CE,0.00,0.00,0.00,245.50,0.00,245.50,2735.90,103.45,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,104933,,GRASIM,,2026-04-28,2026-04-28,2980.00,CE,GRASIM26APR2980CE,15.60,21.10,15.60,21.00,21.00,91.60,2735.90,18.35,1500,1500,9,6746512.50,8,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105289,,GRASIM,,2026-05-26,2026-05-26,2400.00,CE,GRASIM26MAY2400CE,0.00,0.00,0.00,527.00,0.00,527.00,2735.90,371.40,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105295,,GRASIM,,2026-05-26,2026-05-26,2520.00,CE,GRASIM26MAY2520CE,0.00,0.00,0.00,420.30,0.00,420.30,2735.90,267.80,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105299,,GRASIM,,2026-05-26,2026-05-26,2600.00,CE,GRASIM26MAY2600CE,0.00,0.00,0.00,354.15,0.00,354.15,2735.90,206.85,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105313,,GRASIM,,2026-05-26,2026-05-26,2880.00,CE,GRASIM26MAY2880CE,0.00,0.00,0.00,168.35,0.00,168.35,2735.90,62.45,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105315,,GRASIM,,2026-05-26,2026-05-26,2920.00,CE,GRASIM26MAY2920CE,0.00,0.00,0.00,148.50,0.00,148.50,2735.90,50.60,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112458,,GRASIM,,2026-03-30,2026-03-30,2940.00,PE,GRASIM26MAR2940PE,0.00,0.00,0.00,259.35,259.35,259.35,2735.90,200.70,15250,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112623,,GRASIM,,2026-04-28,2026-04-28,2320.00,PE,GRASIM26APR2320PE,0.00,0.00,0.00,4.90,0.00,4.90,2735.90,0.95,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112625,,GRASIM,,2026-04-28,2026-04-28,2360.00,PE,GRASIM26APR2360PE,0.00,0.00,0.00,6.90,0.00,6.90,2735.90,1.75,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112631,,GRASIM,,2026-04-28,2026-04-28,2480.00,PE,GRASIM26APR2480PE,0.00,0.00,0.00,26.70,26.70,26.70,2735.90,8.20,500,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112643,,GRASIM,,2026-04-28,2026-04-28,2720.00,PE,GRASIM26APR2720PE,0.00,0.00,0.00,67.60,0.00,67.60,2735.90,67.95,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112661,,GRASIM,,2026-04-28,2026-04-28,2960.00,PE,GRASIM26APR2960PE,0.00,0.00,0.00,175.85,0.00,175.85,2735.90,224.25,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,101408,,GRASIM,,2026-03-30,2026-03-30,2640.00,PE,GRASIM26MAR2640PE,22.40,33.85,21.00,31.30,33.55,23.15,2735.90,31.30,44250,10250,300,199911937.50,276,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,101394,,GRASIM,,2026-03-30,2026-03-30,2600.00,PE,GRASIM26MAR2600PE,16.90,24.50,14.70,22.95,24.50,15.90,2735.90,22.95,64250,6000,354,231719400.00,286,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,112350,,GRASIM,,2026-03-30,2026-03-30,2500.00,PE,GRASIM26MAR2500PE,5.75,10.25,5.70,9.60,10.25,6.50,2735.90,9.60,126750,2500,271,169857312.50,210,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,101278,,GRASIM,,2026-03-30,2026-03-30,2400.00,PE,GRASIM26MAR2400PE,4.55,4.55,4.55,4.55,4.55,4.55,2735.90,4.55,11750,250,1,601137.50,1,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,101228,,GRASIM,,2026-03-30,2026-03-30,2240.00,PE,GRASIM26MAR2240PE,0.00,0.00,0.00,2.50,0.00,2.50,2735.90,0.05,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105293,,GRASIM,,2026-05-26,2026-05-26,2480.00,CE,GRASIM26MAY2480CE,0.00,0.00,0.00,455.00,0.00,455.00,2735.90,300.95,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105291,,GRASIM,,2026-05-26,2026-05-26,2440.00,CE,GRASIM26MAY2440CE,0.00,0.00,0.00,490.60,0.00,490.60,2735.90,335.55,0,0,0,0.00,0,F1,250,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,105285,,GRASIM,,2026-05-26,2026-05-26,2320.00,CE,GRASIM26MAY2320CE,0.00,0.00,0.00,601.70,0.00,601.70,2735.90,445.85,0,0,0,0.00,0,F1,250,,,,,
