TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-11,2026-03-11,FO,NSE,STO,113745,,HAVELLS,,2026-03-30,2026-03-30,1250.00,PE,HAVELLS26MAR1250PE,4.00,7.05,3.50,6.70,7.05,6.40,1365.50,6.70,40000,-3000,130,81554650.00,110,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,102779,,HAVELLS,,2026-03-30,2026-03-30,1100.00,PE,HAVELLS26MAR1100PE,0.00,0.00,0.00,0.70,0.70,0.70,1365.50,0.05,5000,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,106192,,HAVELLS,,2026-05-26,2026-05-26,1220.00,CE,HAVELLS26MAY1220CE,0.00,0.00,0.00,215.50,0.00,215.50,1365.50,167.70,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,114103,,HAVELLS,,2026-04-28,2026-04-28,1460.00,CE,HAVELLS26APR1460CE,0.00,0.00,0.00,11.40,11.40,11.40,1365.50,17.00,1000,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,103145,,HAVELLS,,2026-03-30,2026-03-30,1660.00,CE,HAVELLS26MAR1660CE,0.40,0.40,0.40,0.40,0.40,0.40,1365.50,0.05,2500,0,4,3320800.00,4,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,103112,,HAVELLS,,2026-03-30,2026-03-30,1440.00,CE,HAVELLS26MAR1440CE,9.20,21.45,9.20,11.85,11.00,8.05,1365.50,11.85,145500,-66000,1066,776066950.00,863,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,113765,,HAVELLS,,2026-03-30,2026-03-30,1430.00,CE,HAVELLS26MAR1430CE,16.30,25.20,13.10,14.20,13.10,10.05,1365.50,14.20,71500,18500,294,213027350.00,277,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,113763,,HAVELLS,,2026-03-30,2026-03-30,1410.00,CE,HAVELLS26MAR1410CE,15.45,34.80,15.45,20.35,19.10,15.00,1365.50,20.35,76500,35000,667,479430675.00,607,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,103079,,HAVELLS,,2026-03-30,2026-03-30,1280.00,CE,HAVELLS26MAR1280CE,130.00,130.00,97.60,97.60,97.60,91.25,1365.50,97.60,23000,0,3,2098450.00,3,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,102780,,HAVELLS,,2026-03-30,2026-03-30,1120.00,CE,HAVELLS26MAR1120CE,0.00,0.00,0.00,311.55,0.00,311.55,1365.50,248.70,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,102776,,HAVELLS,,2026-03-30,2026-03-30,1100.00,CE,HAVELLS26MAR1100CE,0.00,0.00,0.00,330.65,0.00,330.65,1365.50,268.65,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,103124,,HAVELLS,,2026-03-30,2026-03-30,1500.00,PE,HAVELLS26MAR1500PE,107.00,123.15,107.00,123.15,123.15,195.00,1365.50,131.60,54000,0,2,1615075.00,2,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,106307,,HAVELLS,,2026-05-26,2026-05-26,1520.00,PE,HAVELLS26MAY1520PE,0.00,0.00,0.00,133.75,0.00,133.75,1365.50,152.65,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,106301,,HAVELLS,,2026-05-26,2026-05-26,1460.00,PE,HAVELLS26MAY1460PE,0.00,0.00,0.00,95.55,0.00,95.55,1365.50,106.65,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,106214,,HAVELLS,,2026-05-26,2026-05-26,1380.00,PE,HAVELLS26MAY1380PE,0.00,0.00,0.00,55.20,0.00,55.20,1365.50,57.55,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,106212,,HAVELLS,,2026-05-26,2026-05-26,1360.00,PE,HAVELLS26MAY1360PE,0.00,0.00,0.00,47.15,0.00,47.15,1365.50,47.85,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,114105,,HAVELLS,,2026-04-28,2026-04-28,1460.00,PE,HAVELLS26APR1460PE,0.00,0.00,0.00,172.80,0.00,172.80,1365.50,100.95,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,106097,,HAVELLS,,2026-04-28,2026-04-28,1450.00,PE,HAVELLS26APR1450PE,78.70,78.70,78.70,78.70,78.70,81.10,1365.50,93.40,1000,1000,2,1528700.00,1,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,103132,,HAVELLS,,2026-03-30,2026-03-30,1580.00,PE,HAVELLS26MAR1580PE,0.00,0.00,0.00,168.00,168.00,168.00,1365.50,210.05,3500,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,106211,,HAVELLS,,2026-05-26,2026-05-26,1360.00,CE,HAVELLS26MAY1360CE,0.00,0.00,0.00,113.35,0.00,113.35,1365.50,68.85,0,0,0,0.00,0,F1,500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,114142,,HAVELLS,,2026-04-28,2026-04-28,1620.00,CE,HAVELLS26APR1620CE,0.00,0.00,0.00,5.75,0.00,5.75,1365.50,1.30,0,0,0,0.00,0,F1,500,,,,,
