TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-11,2026-03-11,FO,NSE,STO,144196,,NBCC,,2026-03-30,2026-03-30,83.00,CE,NBCC26MAR83CE,6.51,6.51,5.85,5.99,5.99,6.28,86.16,5.14,390000,-6500,4,2315625.00,4,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144208,,NBCC,,2026-03-30,2026-03-30,95.00,CE,NBCC26MAR95CE,1.13,1.30,0.89,0.95,0.95,1.08,86.16,0.95,3289000,97500,389,242899995.00,354,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144220,,NBCC,,2026-03-30,2026-03-30,107.00,CE,NBCC26MAR107CE,0.00,0.00,0.00,0.25,0.25,0.25,86.16,0.03,188500,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142704,,NBCC,,2026-03-30,2026-03-30,116.00,CE,NBCC26MAR116CE,0.00,0.00,0.00,0.48,0.48,0.48,86.16,0.01,26000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131740,,NBCC,,2026-04-28,2026-04-28,73.00,CE,NBCC26APR73CE,0.00,0.00,0.00,23.10,0.00,23.10,86.16,14.39,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131744,,NBCC,,2026-04-28,2026-04-28,77.00,CE,NBCC26APR77CE,0.00,0.00,0.00,19.69,0.00,19.69,86.16,11.15,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131974,,NBCC,,2026-05-26,2026-05-26,86.00,CE,NBCC26MAY86CE,0.00,0.00,0.00,14.59,0.00,14.59,86.16,6.96,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142697,,NBCC,,2026-03-30,2026-03-30,108.00,PE,NBCC26MAR108PE,0.00,0.00,0.00,25.00,25.00,25.00,86.16,21.56,52000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142695,,NBCC,,2026-03-30,2026-03-30,106.00,PE,NBCC26MAR106PE,0.00,0.00,0.00,4.62,0.00,4.62,86.16,19.58,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144211,,NBCC,,2026-03-30,2026-03-30,97.00,PE,NBCC26MAR97PE,0.00,0.00,0.00,11.95,11.95,11.95,86.16,11.01,143000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144207,,NBCC,,2026-03-30,2026-03-30,93.00,PE,NBCC26MAR93PE,7.34,7.53,7.34,7.53,7.53,10.25,86.16,7.60,409500,-32500,6,3916055.00,6,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,132002,,NBCC,,2026-05-26,2026-05-26,94.00,CE,NBCC26MAY94CE,0.00,0.00,0.00,10.20,0.00,10.20,86.16,3.82,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131959,,NBCC,,2026-05-26,2026-05-26,72.00,CE,NBCC26MAY72CE,0.00,0.00,0.00,24.90,0.00,24.90,86.16,16.15,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131892,,NBCC,,2026-04-28,2026-04-28,103.00,CE,NBCC26APR103CE,0.00,0.00,0.00,4.85,0.00,4.85,86.16,0.86,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144473,,NBCC,,2026-04-28,2026-04-28,98.00,CE,NBCC26APR98CE,0.00,0.00,0.00,1.84,1.84,1.84,86.16,1.58,13000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144461,,NBCC,,2026-04-28,2026-04-28,86.00,CE,NBCC26APR86CE,0.00,0.00,0.00,16.33,0.00,16.33,86.16,5.48,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142710,,NBCC,,2026-03-30,2026-03-30,122.00,CE,NBCC26MAR122CE,0.00,0.00,0.00,0.21,0.21,0.21,86.16,0.01,104000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144202,,NBCC,,2026-03-30,2026-03-30,89.00,CE,NBCC26MAR89CE,2.85,2.85,2.53,2.53,2.53,2.82,86.16,2.53,169000,-19500,10,5963100.00,10,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144200,,NBCC,,2026-03-30,2026-03-30,87.00,CE,NBCC26MAR87CE,3.90,4.30,3.10,3.28,3.39,3.77,86.16,3.28,1527500,6500,136,80152345.00,130,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142526,,NBCC,,2026-03-30,2026-03-30,86.00,CE,NBCC26MAR86CE,4.53,4.60,3.72,3.72,3.72,4.30,86.16,3.72,669500,-136500,42,24645010.00,28,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142343,,NBCC,,2026-03-30,2026-03-30,76.00,CE,NBCC26MAR76CE,0.00,0.00,0.00,47.28,0.00,47.28,86.16,10.67,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,132201,,NBCC,,2026-05-26,2026-05-26,102.00,PE,NBCC26MAY102PE,0.00,0.00,0.00,12.66,0.00,12.66,86.16,16.62,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131956,,NBCC,,2026-05-26,2026-05-26,68.00,PE,NBCC26MAY68PE,0.00,0.00,0.00,0.69,0.00,0.69,86.16,0.61,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144476,,NBCC,,2026-04-28,2026-04-28,100.00,PE,NBCC26APR100PE,0.00,0.00,0.00,14.45,14.45,14.45,86.16,14.37,32500,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142707,,NBCC,,2026-03-30,2026-03-30,118.00,PE,NBCC26MAR118PE,0.00,0.00,0.00,30.64,30.64,30.64,86.16,31.50,26000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144246,,NBCC,,2026-03-30,2026-03-30,115.00,CE,NBCC26MAR115CE,0.10,0.10,0.10,0.10,0.10,0.10,86.16,0.01,435500,-13000,2,1496300.00,1,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144198,,NBCC,,2026-03-30,2026-03-30,85.00,CE,NBCC26MAR85CE,5.10,5.54,4.20,4.29,4.33,4.90,86.16,4.29,780000,-97500,52,30355780.00,46,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142639,,NBCC,,2026-03-30,2026-03-30,90.00,CE,NBCC26MAR90CE,2.48,2.84,1.97,2.09,2.15,2.41,86.16,2.09,2067000,39000,330,198135860.00,285,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144492,,NBCC,,2026-04-28,2026-04-28,106.00,PE,NBCC26APR106PE,0.00,0.00,0.00,14.17,0.00,14.17,86.16,19.66,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131781,,NBCC,,2026-04-28,2026-04-28,89.00,PE,NBCC26APR89PE,0.00,0.00,0.00,4.58,0.00,4.58,86.16,6.34,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144418,,NBCC,,2026-04-28,2026-04-28,72.00,PE,NBCC26APR72PE,0.00,0.00,0.00,1.00,1.00,1.00,86.16,0.58,6500,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142699,,NBCC,,2026-03-30,2026-03-30,110.00,PE,NBCC26MAR110PE,0.00,0.00,0.00,23.00,23.00,23.00,86.16,23.54,656500,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142709,,NBCC,,2026-03-30,2026-03-30,120.00,PE,NBCC26MAR120PE,0.00,0.00,0.00,26.00,26.00,26.00,86.16,33.50,572000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144412,,NBCC,,2026-04-28,2026-04-28,66.00,PE,NBCC26APR66PE,0.00,0.00,0.00,0.45,0.00,0.45,86.16,0.14,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131968,,NBCC,,2026-05-26,2026-05-26,80.00,PE,NBCC26MAY80PE,0.00,0.00,0.00,2.77,0.00,2.77,86.16,3.25,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131960,,NBCC,,2026-05-26,2026-05-26,72.00,PE,NBCC26MAY72PE,0.00,0.00,0.00,1.17,0.00,1.17,86.16,1.17,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131889,,NBCC,,2026-04-28,2026-04-28,99.00,PE,NBCC26APR99PE,0.00,0.00,0.00,9.59,0.00,9.59,86.16,13.53,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144466,,NBCC,,2026-04-28,2026-04-28,90.00,PE,NBCC26APR90PE,5.22,6.88,5.22,6.88,6.88,5.95,86.16,6.88,39000,13000,5,3112135.00,5,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,45196,,NBCC,,2026-03-30,2026-03-30,78.00,PE,NBCC26MAR78PE,0.00,0.00,0.00,1.64,1.64,1.64,86.16,0.53,78000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144187,,NBCC,,2026-03-30,2026-03-30,73.00,PE,NBCC26MAR73PE,0.00,0.00,0.00,0.45,0.45,0.45,86.16,0.10,143000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131961,,NBCC,,2026-05-26,2026-05-26,74.00,CE,NBCC26MAY74CE,0.00,0.00,0.00,23.24,0.00,23.24,86.16,14.56,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131894,,NBCC,,2026-04-28,2026-04-28,105.00,CE,NBCC26APR105CE,0.00,0.00,0.00,4.25,0.00,4.25,86.16,0.67,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131888,,NBCC,,2026-04-28,2026-04-28,99.00,CE,NBCC26APR99CE,0.00,0.00,0.00,1.37,1.37,1.37,86.16,1.41,19500,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131784,,NBCC,,2026-04-28,2026-04-28,93.00,CE,NBCC26APR93CE,0.00,0.00,0.00,2.63,2.63,2.63,86.16,2.76,19500,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142696,,NBCC,,2026-03-30,2026-03-30,108.00,CE,NBCC26MAR108CE,0.00,0.00,0.00,0.18,0.18,0.18,86.16,0.03,104000,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142653,,NBCC,,2026-03-30,2026-03-30,100.00,CE,NBCC26MAR100CE,0.57,0.90,0.45,0.46,0.46,0.49,86.16,0.46,6194500,65000,100,65340665.00,88,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STF,51985,,NBCC,,2026-03-30,2026-03-30,,,NBCC26MARFUT,86.75,88.70,86.12,86.44,86.40,87.45,86.16,86.44,82660500,-1072500,1232,698471150.00,1054,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142527,,NBCC,,2026-03-30,2026-03-30,86.00,PE,NBCC26MAR86PE,2.83,3.45,2.83,3.23,3.25,2.95,86.16,3.23,747500,-6500,35,20270900.00,35,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144420,,NBCC,,2026-04-28,2026-04-28,74.00,PE,NBCC26APR74PE,0.00,0.00,0.00,1.31,0.00,1.31,86.16,0.86,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144460,,NBCC,,2026-04-28,2026-04-28,84.00,PE,NBCC26APR84PE,0.00,0.00,0.00,3.54,0.00,3.54,86.16,3.76,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144528,,NBCC,,2026-04-28,2026-04-28,110.00,PE,NBCC26APR110PE,0.00,0.00,0.00,16.89,0.00,16.89,86.16,23.39,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,131981,,NBCC,,2026-05-26,2026-05-26,86.00,PE,NBCC26MAY86PE,0.00,0.00,0.00,4.63,0.00,4.63,86.16,5.82,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,132293,,NBCC,,2026-05-26,2026-05-26,112.00,PE,NBCC26MAY112PE,0.00,0.00,0.00,19.66,0.00,19.66,86.16,25.32,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142341,,NBCC,,2026-03-30,2026-03-30,72.00,CE,NBCC26MAR72CE,0.00,0.00,0.00,51.11,0.00,51.11,86.16,14.44,0,0,0,0.00,0,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,43726,,NBCC,,2026-03-30,2026-03-30,82.00,CE,NBCC26MAR82CE,6.90,7.74,6.01,6.31,6.01,7.10,86.16,6.31,208000,-117000,32,18434520.00,32,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144204,,NBCC,,2026-03-30,2026-03-30,91.00,CE,NBCC26MAR91CE,1.97,2.05,1.91,1.91,1.91,2.07,86.16,1.50,500500,-19500,5,3021525.00,5,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,144212,,NBCC,,2026-03-30,2026-03-30,99.00,CE,NBCC26MAR99CE,0.59,0.59,0.58,0.59,0.59,0.58,86.16,0.28,637000,-6500,3,1941940.00,3,F1,6500,,,,,
2026-03-11,2026-03-11,FO,NSE,STO,142690,,NBCC,,2026-03-30,2026-03-30,102.00,CE,NBCC26MAR102CE,0.00,0.00,0.00,0.38,0.39,0.38,86.16,0.13,240500,0,0,0.00,0,F1,6500,,,,,
