TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-12,2026-03-12,FO,NSE,STO,137827,,LTM,,2026-04-28,2026-04-28,4200.00,CE,LTM26APR4200CE,0.00,0.00,0.00,1808.25,0.00,1808.25,4323.60,260.75,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,124902,,LTM,,2026-04-28,2026-04-28,4150.00,CE,LTM26APR4150CE,0.00,0.00,0.00,496.05,0.00,496.05,4323.60,292.55,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,124842,,LTM,,2026-04-28,2026-04-28,3650.00,CE,LTM26APR3650CE,0.00,0.00,0.00,908.60,0.00,908.60,4323.60,706.35,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,132809,,LTM,,2026-03-30,2026-03-30,5700.00,CE,LTM26MAR5700CE,0.00,0.00,0.00,3.00,3.00,3.00,4323.60,0.05,10050,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,137703,,LTM,,2026-03-30,2026-03-30,5450.00,CE,LTM26MAR5450CE,0.00,0.00,0.00,11.20,11.20,11.20,4323.60,0.05,3450,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,53404,,LTM,,2026-03-30,2026-03-30,3750.00,CE,LTM26MAR3750CE,0.00,0.00,0.00,1844.40,0.00,1844.40,4323.60,584.70,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,132775,,LTM,,2026-03-30,2026-03-30,3800.00,CE,LTM26MAR3800CE,0.00,0.00,0.00,2330.45,0.00,2330.45,4323.60,535.65,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,137817,,LTM,,2026-04-28,2026-04-28,3400.00,CE,LTM26APR3400CE,0.00,0.00,0.00,2592.60,0.00,2592.60,4323.60,948.60,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,124896,,LTM,,2026-04-28,2026-04-28,3850.00,CE,LTM26APR3850CE,0.00,0.00,0.00,731.20,0.00,731.20,4323.60,524.05,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,50643,,LTM,,2026-04-28,2026-04-28,4100.00,CE,LTM26APR4100CE,0.00,0.00,0.00,1669.15,0.00,1669.15,4323.60,326.45,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,137831,,LTM,,2026-04-28,2026-04-28,4400.00,CE,LTM26APR4400CE,0.00,0.00,0.00,1615.70,0.00,1615.70,4323.60,155.80,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,137843,,LTM,,2026-04-28,2026-04-28,5000.00,CE,LTM26APR5000CE,34.00,37.10,34.00,37.10,37.10,34.00,4323.60,19.40,4350,450,11,8310345.00,9,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,137853,,LTM,,2026-04-28,2026-04-28,5500.00,CE,LTM26APR5500CE,0.00,0.00,0.00,685.35,0.00,685.35,4323.60,1.95,0,0,0,0.00,0,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,137598,,LTM,,2026-03-30,2026-03-30,3500.00,PE,LTM26MAR3500PE,6.95,6.95,4.40,4.40,4.40,4.35,4323.60,0.05,8250,-150,6,3154807.50,6,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,132782,,LTM,,2026-03-30,2026-03-30,4300.00,PE,LTM26MAR4300PE,190.00,190.05,106.60,136.65,146.35,172.75,4323.60,136.65,92100,22800,535,356053545.00,361,F1,150,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,132790,,LTM,,2026-03-30,2026-03-30,4700.00,PE,LTM26MAR4700PE,480.00,480.00,377.95,380.85,380.85,477.75,4323.60,377.40,26550,-4200,69,52631557.50,33,F1,150,,,,,
