TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-12,2026-03-12,FO,NSE,STO,159210,,SONACOMS,,2026-03-30,2026-03-30,490.00,CE,SONACOMS26MAR490CE,0.00,0.00,0.00,41.95,41.95,41.95,510.30,27.70,60025,0,0,0.00,0,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,153373,,SONACOMS,,2026-04-28,2026-04-28,535.00,PE,SONACOMS26APR535PE,0.00,0.00,0.00,32.10,32.10,32.10,510.30,36.15,1225,0,0,0.00,0,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,153387,,SONACOMS,,2026-04-28,2026-04-28,595.00,PE,SONACOMS26APR595PE,0.00,0.00,0.00,72.65,0.00,72.65,510.30,83.70,0,0,0,0.00,0,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,153491,,SONACOMS,,2026-05-26,2026-05-26,530.00,PE,SONACOMS26MAY530PE,0.00,0.00,0.00,36.55,0.00,36.55,510.30,37.80,0,0,0,0.00,0,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,153483,,SONACOMS,,2026-05-26,2026-05-26,490.00,PE,SONACOMS26MAY490PE,0.00,0.00,0.00,19.70,0.00,19.70,510.30,18.15,0,0,0,0.00,0,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,167990,,SONACOMS,,2026-03-30,2026-03-30,505.00,CE,SONACOMS26MAR505CE,19.25,21.35,17.50,20.50,20.65,25.45,510.30,20.50,69825,45325,81,52034202.50,76,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,167992,,SONACOMS,,2026-03-30,2026-03-30,515.00,CE,SONACOMS26MAR515CE,21.05,21.05,13.30,16.00,16.15,20.20,510.30,16.00,106575,47775,99,64290388.75,87,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,159218,,SONACOMS,,2026-03-30,2026-03-30,530.00,CE,SONACOMS26MAR530CE,9.80,12.00,7.95,9.75,10.00,13.25,510.30,9.75,367500,2450,252,166530358.75,230,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,159236,,SONACOMS,,2026-03-30,2026-03-30,620.00,CE,SONACOMS26MAR620CE,0.75,0.75,0.45,0.50,0.45,0.75,510.30,0.50,153125,-25725,43,32686675.00,38,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,153350,,SONACOMS,,2026-04-28,2026-04-28,425.00,CE,SONACOMS26APR425CE,0.00,0.00,0.00,111.90,0.00,111.90,510.30,89.50,0,0,0,0.00,0,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,168052,,SONACOMS,,2026-04-28,2026-04-28,430.00,CE,SONACOMS26APR430CE,0.00,0.00,0.00,76.60,0.00,76.60,510.30,84.85,0,0,0,0.00,0,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,153372,,SONACOMS,,2026-04-28,2026-04-28,535.00,CE,SONACOMS26APR535CE,0.00,0.00,0.00,34.25,0.00,34.25,510.30,15.20,0,0,0,0.00,0,F1,1225,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,168080,,SONACOMS,,2026-04-28,2026-04-28,570.00,CE,SONACOMS26APR570CE,0.00,0.00,0.00,6.50,6.50,6.50,510.30,6.45,3675,0,0,0.00,0,F1,1225,,,,,
