TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-12,2026-03-12,FO,NSE,STO,48579,,SUNPHARMA,,2026-04-28,2026-04-28,2060.00,CE,SUNPHARMA26APR2060CE,0.00,0.00,0.00,5.65,0.00,5.65,1825.30,2.75,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,154239,,SUNPHARMA,,2026-05-26,2026-05-26,2040.00,PE,SUNPHARMA26MAY2040PE,0.00,0.00,0.00,284.90,0.00,284.90,1825.30,202.20,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,154207,,SUNPHARMA,,2026-05-26,2026-05-26,1720.00,PE,SUNPHARMA26MAY1720PE,0.00,0.00,0.00,60.15,0.00,60.15,1825.30,18.05,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,168493,,SUNPHARMA,,2026-04-28,2026-04-28,1980.00,PE,SUNPHARMA26APR1980PE,0.00,0.00,0.00,316.75,0.00,316.75,1825.30,150.10,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,154053,,SUNPHARMA,,2026-04-28,2026-04-28,1930.00,PE,SUNPHARMA26APR1930PE,0.00,0.00,0.00,190.40,0.00,190.40,1825.30,109.30,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,154021,,SUNPHARMA,,2026-04-28,2026-04-28,1750.00,PE,SUNPHARMA26APR1750PE,23.85,26.65,20.50,20.50,20.50,21.50,1825.30,17.15,51800,3850,158,98038640.00,68,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,154019,,SUNPHARMA,,2026-04-28,2026-04-28,1730.00,PE,SUNPHARMA26APR1730PE,0.00,0.00,0.00,14.85,14.85,14.85,1825.30,12.70,2100,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,160021,,SUNPHARMA,,2026-03-30,2026-03-30,2020.00,PE,SUNPHARMA26MAR2020PE,0.00,0.00,0.00,279.80,0.00,279.80,1825.30,189.50,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,160003,,SUNPHARMA,,2026-03-30,2026-03-30,1840.00,PE,SUNPHARMA26MAR1840PE,34.05,46.35,29.40,34.50,34.00,36.80,1825.30,34.50,218050,18550,964,632472662.50,790,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,168369,,SUNPHARMA,,2026-03-30,2026-03-30,1750.00,PE,SUNPHARMA26MAR1750PE,8.70,11.75,7.10,8.30,8.35,9.20,1825.30,8.30,321650,11200,459,282509675.00,407,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,168361,,SUNPHARMA,,2026-03-30,2026-03-30,1670.00,PE,SUNPHARMA26MAR1670PE,4.00,4.60,3.60,3.60,3.60,4.00,1825.30,3.60,50400,-700,18,10547512.50,18,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,154196,,SUNPHARMA,,2026-05-26,2026-05-26,1620.00,CE,SUNPHARMA26MAY1620CE,0.00,0.00,0.00,164.75,0.00,164.75,1825.30,227.85,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,154190,,SUNPHARMA,,2026-05-26,2026-05-26,1560.00,CE,SUNPHARMA26MAY1560CE,0.00,0.00,0.00,211.70,0.00,211.70,1825.30,284.30,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,168495,,SUNPHARMA,,2026-04-28,2026-04-28,2000.00,PE,SUNPHARMA26APR2000PE,0.00,0.00,0.00,335.40,0.00,335.40,1825.30,167.60,0,0,0,0.00,0,F1,350,,,,,
2026-03-12,2026-03-12,FO,NSE,STO,154037,,SUNPHARMA,,2026-04-28,2026-04-28,1910.00,PE,SUNPHARMA26APR1910PE,0.00,0.00,0.00,173.75,0.00,173.75,1825.30,94.45,0,0,0,0.00,0,F1,350,,,,,
