TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-13,2026-03-13,FO,NSE,STO,116883,,IOC,,2026-03-30,2026-03-30,160.00,CE,IOC26MAR160CE,5.20,5.83,3.61,3.88,3.83,6.00,156.55,3.88,5455125,302250,1289,1033528665.00,1050,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,116855,,IOC,,2026-03-30,2026-03-30,158.00,CE,IOC26MAR158CE,6.90,6.90,4.50,4.80,4.82,7.16,156.55,4.80,555750,195000,189,150288450.00,155,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,116685,,IOC,,2026-03-30,2026-03-30,140.00,CE,IOC26MAR140CE,0.00,0.00,0.00,21.61,21.61,21.61,156.55,16.98,355875,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,116679,,IOC,,2026-03-30,2026-03-30,136.00,CE,IOC26MAR136CE,0.00,0.00,0.00,28.70,0.00,28.70,156.55,20.91,0,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STF,66226,,IOC,,2026-05-26,2026-05-26,,,IOC26MAYFUT,161.00,162.00,158.10,158.67,158.83,162.86,156.55,158.67,1067625,24375,55,42689790.00,55,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,128127,,IOC,,2026-04-28,2026-04-28,178.00,CE,IOC26APR178CE,0.00,0.00,0.00,3.87,0.00,3.87,156.55,0.74,0,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,128163,,IOC,,2026-04-28,2026-04-28,200.00,CE,IOC26APR200CE,0.50,0.50,0.50,0.50,0.50,0.81,156.55,0.50,209625,0,1,977437.50,1,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,51887,,IOC,,2026-04-28,2026-04-28,210.00,CE,IOC26APR210CE,0.00,0.00,0.00,0.50,0.50,0.50,156.55,0.01,4875,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,116603,,IOC,,2026-05-26,2026-05-26,168.00,CE,IOC26MAY168CE,0.00,0.00,0.00,19.55,0.00,19.55,156.55,3.84,0,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,116608,,IOC,,2026-05-26,2026-05-26,172.00,CE,IOC26MAY172CE,0.00,0.00,0.00,16.94,0.00,16.94,156.55,2.82,0,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,127312,,IOC,,2026-03-30,2026-03-30,159.00,PE,IOC26MAR159PE,5.25,6.97,4.81,6.21,6.21,4.78,156.55,6.21,575250,-307125,271,217911963.75,233,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,127322,,IOC,,2026-03-30,2026-03-30,169.00,PE,IOC26MAR169PE,13.18,14.17,12.07,13.38,13.38,9.11,156.55,12.45,697125,-160875,35,31116832.50,35,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,116898,,IOC,,2026-03-30,2026-03-30,172.00,PE,IOC26MAR172PE,14.65,16.70,14.65,16.30,16.30,11.38,156.55,15.23,2067000,0,10,9180258.75,9,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,127356,,IOC,,2026-03-30,2026-03-30,185.00,PE,IOC26MAR185PE,27.50,27.50,27.50,27.50,27.50,23.50,156.55,27.98,1311375,-9750,2,2071875.00,1,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,127360,,IOC,,2026-03-30,2026-03-30,189.00,PE,IOC26MAR189PE,0.00,0.00,0.00,29.07,0.00,29.07,156.55,31.97,0,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,127368,,IOC,,2026-03-30,2026-03-30,206.00,PE,IOC26MAR206PE,0.00,0.00,0.00,45.13,0.00,45.13,156.55,48.92,0,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,117010,,IOC,,2026-03-30,2026-03-30,212.00,PE,IOC26MAR212PE,0.00,0.00,0.00,47.78,0.00,47.78,156.55,54.91,0,0,0,0.00,0,F1,4875,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,46057,,IOC,,2026-04-28,2026-04-28,135.00,PE,IOC26APR135PE,1.98,1.98,1.47,1.65,1.65,1.42,156.55,0.29,209625,43875,32,21332658.75,19,F1,4875,,,,,
