TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-13,2026-03-13,FO,NSE,STO,162629,,TORNTPHARM,,2026-05-26,2026-05-26,4720.00,PE,TORNTPHARM26MAY4720PE,0.00,0.00,0.00,373.75,0.00,373.75,4389.95,344.80,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170753,,TORNTPHARM,,2026-03-30,2026-03-30,4460.00,PE,TORNTPHARM26MAR4460PE,93.00,149.90,93.00,136.50,139.00,103.50,4389.95,136.50,15000,0,68,77957075.00,66,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170745,,TORNTPHARM,,2026-03-30,2026-03-30,4300.00,PE,TORNTPHARM26MAR4300PE,46.90,73.05,46.90,61.60,63.00,44.85,4389.95,61.60,73250,33000,619,675031550.00,472,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170877,,TORNTPHARM,,2026-04-28,2026-04-28,4880.00,PE,TORNTPHARM26APR4880PE,0.00,0.00,0.00,826.45,0.00,826.45,4389.95,471.30,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170851,,TORNTPHARM,,2026-04-28,2026-04-28,4280.00,PE,TORNTPHARM26APR4280PE,0.00,0.00,0.00,334.75,0.00,334.75,4389.95,70.95,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,44399,,TORNTPHARM,,2026-03-30,2026-03-30,4680.00,PE,TORNTPHARM26MAR4680PE,0.00,0.00,0.00,568.05,0.00,568.05,4389.95,286.50,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162632,,TORNTPHARM,,2026-05-26,2026-05-26,4800.00,CE,TORNTPHARM26MAY4800CE,0.00,0.00,0.00,106.45,0.00,106.45,4389.95,49.90,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162640,,TORNTPHARM,,2026-05-26,2026-05-26,4960.00,CE,TORNTPHARM26MAY4960CE,0.00,0.00,0.00,70.60,0.00,70.60,4389.95,26.30,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162620,,TORNTPHARM,,2026-05-26,2026-05-26,4560.00,CE,TORNTPHARM26MAY4560CE,0.00,0.00,0.00,186.45,0.00,186.45,4389.95,115.30,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170872,,TORNTPHARM,,2026-04-28,2026-04-28,4720.00,CE,TORNTPHARM26APR4720CE,0.00,0.00,0.00,46.95,46.95,46.95,4389.95,35.55,500,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170866,,TORNTPHARM,,2026-04-28,2026-04-28,4600.00,CE,TORNTPHARM26APR4600CE,73.40,73.40,73.40,73.40,73.40,62.75,4389.95,62.95,250,-250,1,1168350.00,1,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,161956,,TORNTPHARM,,2026-04-28,2026-04-28,4500.00,CE,TORNTPHARM26APR4500CE,95.00,95.00,95.00,95.00,95.00,118.00,4389.95,95.00,2750,250,1,1148750.00,1,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,161952,,TORNTPHARM,,2026-04-28,2026-04-28,4420.00,CE,TORNTPHARM26APR4420CE,0.00,0.00,0.00,201.30,0.00,201.30,4389.95,131.20,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,161948,,TORNTPHARM,,2026-04-28,2026-04-28,4340.00,CE,TORNTPHARM26APR4340CE,0.00,0.00,0.00,243.75,0.00,243.75,4389.95,173.65,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,161946,,TORNTPHARM,,2026-04-28,2026-04-28,4300.00,CE,TORNTPHARM26APR4300CE,0.00,0.00,0.00,267.00,0.00,267.00,4389.95,197.75,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,163776,,TORNTPHARM,,2026-03-30,2026-03-30,4880.00,CE,TORNTPHARM26MAR4880CE,3.65,6.50,1.10,2.15,2.15,6.05,4389.95,0.85,12500,2500,47,57397325.00,40,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162615,,TORNTPHARM,,2026-05-26,2026-05-26,4440.00,PE,TORNTPHARM26MAY4440PE,0.00,0.00,0.00,209.15,0.00,209.15,4389.95,166.50,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170730,,TORNTPHARM,,2026-03-30,2026-03-30,4020.00,CE,TORNTPHARM26MAR4020CE,0.00,0.00,0.00,197.20,197.20,197.20,4389.95,381.90,1000,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170732,,TORNTPHARM,,2026-03-30,2026-03-30,4060.00,CE,TORNTPHARM26MAR4060CE,0.00,0.00,0.00,306.20,306.20,306.20,4389.95,343.25,3000,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170734,,TORNTPHARM,,2026-03-30,2026-03-30,4100.00,CE,TORNTPHARM26MAR4100CE,0.00,0.00,0.00,250.00,250.00,250.00,4389.95,305.35,14000,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170740,,TORNTPHARM,,2026-03-30,2026-03-30,4220.00,CE,TORNTPHARM26MAR4220CE,0.00,0.00,0.00,184.75,184.75,184.75,4389.95,199.50,1500,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170758,,TORNTPHARM,,2026-03-30,2026-03-30,4580.00,CE,TORNTPHARM26MAR4580CE,47.00,47.00,22.25,26.25,26.25,38.10,4389.95,21.40,2000,-2250,28,32307725.00,22,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162603,,TORNTPHARM,,2026-05-26,2026-05-26,4200.00,PE,TORNTPHARM26MAY4200PE,0.00,0.00,0.00,110.20,0.00,110.20,4389.95,70.10,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162597,,TORNTPHARM,,2026-05-26,2026-05-26,4080.00,PE,TORNTPHARM26MAY4080PE,0.00,0.00,0.00,75.45,0.00,75.45,4389.95,40.85,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162589,,TORNTPHARM,,2026-05-26,2026-05-26,3920.00,PE,TORNTPHARM26MAY3920PE,0.00,0.00,0.00,42.05,0.00,42.05,4389.95,17.40,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,161951,,TORNTPHARM,,2026-04-28,2026-04-28,4380.00,PE,TORNTPHARM26APR4380PE,0.00,0.00,0.00,153.90,0.00,153.90,4389.95,111.25,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,161939,,TORNTPHARM,,2026-04-28,2026-04-28,4140.00,PE,TORNTPHARM26APR4140PE,0.00,0.00,0.00,50.30,50.30,50.30,4389.95,33.30,750,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170751,,TORNTPHARM,,2026-03-30,2026-03-30,4420.00,PE,TORNTPHARM26MAR4420PE,84.00,131.15,77.05,114.50,112.75,83.40,4389.95,114.50,19500,-250,194,219776775.00,175,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170749,,TORNTPHARM,,2026-03-30,2026-03-30,4380.00,PE,TORNTPHARM26MAR4380PE,86.65,108.85,85.20,94.20,94.05,68.75,4389.95,94.20,14500,4250,227,253991237.50,215,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,170747,,TORNTPHARM,,2026-03-30,2026-03-30,4340.00,PE,TORNTPHARM26MAR4340PE,56.00,89.80,56.00,77.00,77.70,55.80,4389.95,77.00,13250,-250,101,111528362.50,100,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,163755,,TORNTPHARM,,2026-03-30,2026-03-30,4280.00,PE,TORNTPHARM26MAR4280PE,0.00,0.00,0.00,455.25,0.00,455.25,4389.95,32.45,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162641,,TORNTPHARM,,2026-05-26,2026-05-26,4960.00,PE,TORNTPHARM26MAY4960PE,0.00,0.00,0.00,551.00,0.00,551.00,4389.95,541.35,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162619,,TORNTPHARM,,2026-05-26,2026-05-26,4520.00,PE,TORNTPHARM26MAY4520PE,0.00,0.00,0.00,250.95,0.00,250.95,4389.95,210.60,0,0,0,0.00,0,F1,250,,,,,
2026-03-13,2026-03-13,FO,NSE,STO,162617,,TORNTPHARM,,2026-05-26,2026-05-26,4480.00,PE,TORNTPHARM26MAY4480PE,0.00,0.00,0.00,229.50,0.00,229.50,4389.95,187.85,0,0,0,0.00,0,F1,250,,,,,
