TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-16,2026-03-16,FO,NSE,STO,84510,,CGPOWER,,2026-03-30,2026-03-30,480.00,PE,CGPOWER26MAR480PE,0.80,0.80,0.45,0.45,0.45,0.50,698.65,0.05,21250,7650,9,3676632.50,9,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97189,,CGPOWER,,2026-03-30,2026-03-30,670.00,CE,CGPOWER26MAR670CE,36.70,46.50,32.45,42.35,40.25,52.35,698.65,42.35,192950,-26350,265,159356470.00,241,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97428,,CGPOWER,,2026-04-28,2026-04-28,700.00,CE,CGPOWER26APR700CE,44.85,44.85,32.00,39.80,39.70,49.75,698.65,39.80,52700,28050,66,41408982.50,42,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,36999,,CGPOWER,,2026-04-28,2026-04-28,780.00,CE,CGPOWER26APR780CE,0.00,0.00,0.00,11.70,11.70,11.70,698.65,9.55,2550,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84532,,CGPOWER,,2026-03-30,2026-03-30,620.00,PE,CGPOWER26MAR620PE,3.80,6.95,2.95,3.50,3.55,3.50,698.65,3.50,150450,34850,452,240264442.50,432,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,46665,,CGPOWER,,2026-04-28,2026-04-28,820.00,CE,CGPOWER26APR820CE,0.00,0.00,0.00,10.35,10.35,10.35,698.65,4.35,14450,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92368,,CGPOWER,,2026-05-26,2026-05-26,800.00,PE,CGPOWER26MAY800PE,0.00,0.00,0.00,98.45,0.00,98.45,698.65,106.50,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97513,,CGPOWER,,2026-04-28,2026-04-28,800.00,PE,CGPOWER26APR800PE,0.00,0.00,0.00,258.15,0.00,258.15,698.65,102.70,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92185,,CGPOWER,,2026-04-28,2026-04-28,710.00,PE,CGPOWER26APR710PE,0.00,0.00,0.00,47.00,47.00,47.00,698.65,37.20,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92182,,CGPOWER,,2026-04-28,2026-04-28,690.00,PE,CGPOWER26APR690PE,0.00,0.00,0.00,30.10,0.00,30.10,698.65,27.10,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97427,,CGPOWER,,2026-04-28,2026-04-28,680.00,PE,CGPOWER26APR680PE,0.00,0.00,0.00,145.75,0.00,145.75,698.65,22.75,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,37000,,CGPOWER,,2026-04-28,2026-04-28,780.00,PE,CGPOWER26APR780PE,0.00,0.00,0.00,184.20,0.00,184.20,698.65,85.85,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92212,,CGPOWER,,2026-04-28,2026-04-28,810.00,PE,CGPOWER26APR810PE,0.00,0.00,0.00,99.15,0.00,99.15,698.65,111.45,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84553,,CGPOWER,,2026-03-30,2026-03-30,820.00,CE,CGPOWER26MAR820CE,2.10,2.10,1.20,1.30,1.25,2.90,698.65,1.30,385050,-4250,494,344954055.00,421,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92187,,CGPOWER,,2026-04-28,2026-04-28,730.00,CE,CGPOWER26APR730CE,30.05,30.05,21.60,21.60,21.60,51.15,698.65,22.50,0,0,2,1284902.50,2,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92347,,CGPOWER,,2026-05-26,2026-05-26,600.00,CE,CGPOWER26MAY600CE,0.00,0.00,0.00,145.95,0.00,145.95,698.65,112.55,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84550,,CGPOWER,,2026-03-30,2026-03-30,780.00,PE,CGPOWER26MAR780PE,0.00,0.00,0.00,54.85,54.85,54.85,698.65,80.95,5100,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92193,,CGPOWER,,2026-04-28,2026-04-28,750.00,PE,CGPOWER26APR750PE,0.00,0.00,0.00,59.35,0.00,59.35,698.65,62.75,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97190,,CGPOWER,,2026-03-30,2026-03-30,670.00,PE,CGPOWER26MAR670PE,11.05,21.30,10.55,12.30,13.00,11.85,698.65,12.30,413950,84150,1466,856290000.00,1062,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92359,,CGPOWER,,2026-05-26,2026-05-26,720.00,CE,CGPOWER26MAY720CE,0.00,0.00,0.00,67.70,0.00,67.70,698.65,37.00,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97183,,CGPOWER,,2026-03-30,2026-03-30,610.00,CE,CGPOWER26MAR610CE,0.00,0.00,0.00,11.15,0.00,11.15,698.65,90.30,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84517,,CGPOWER,,2026-03-30,2026-03-30,560.00,CE,CGPOWER26MAR560CE,0.00,0.00,0.00,118.20,118.20,118.20,698.65,139.85,5100,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97182,,CGPOWER,,2026-03-30,2026-03-30,590.00,PE,CGPOWER26MAR590PE,0.00,0.00,0.00,0.45,0.45,0.45,698.65,0.10,2550,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92372,,CGPOWER,,2026-05-26,2026-05-26,840.00,PE,CGPOWER26MAY840PE,0.00,0.00,0.00,127.30,0.00,127.30,698.65,140.15,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97418,,CGPOWER,,2026-04-28,2026-04-28,620.00,PE,CGPOWER26APR620PE,0.00,0.00,0.00,95.45,0.00,95.45,698.65,6.05,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97131,,CGPOWER,,2026-03-30,2026-03-30,470.00,CE,CGPOWER26MAR470CE,0.00,0.00,0.00,253.00,253.00,253.00,698.65,229.65,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,35813,,CGPOWER,,2026-04-28,2026-04-28,740.00,PE,CGPOWER26APR740PE,0.00,0.00,0.00,155.95,0.00,155.95,698.65,55.75,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84531,,CGPOWER,,2026-03-30,2026-03-30,620.00,CE,CGPOWER26MAR620CE,0.00,0.00,0.00,95.00,95.00,95.00,698.65,80.65,2550,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97193,,CGPOWER,,2026-03-30,2026-03-30,710.00,CE,CGPOWER26MAR710CE,25.30,25.30,13.95,19.70,17.85,26.95,698.65,19.70,336600,99450,1169,723561225.00,958,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97514,,CGPOWER,,2026-04-28,2026-04-28,840.00,CE,CGPOWER26APR840CE,0.00,0.00,0.00,8.60,8.60,8.60,698.65,2.85,1700,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97166,,CGPOWER,,2026-03-30,2026-03-30,510.00,PE,CGPOWER26MAR510PE,0.00,0.00,0.00,0.85,0.85,0.85,698.65,0.05,1700,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,41886,,CGPOWER,,2026-03-30,2026-03-30,810.00,PE,CGPOWER26MAR810PE,126.85,126.85,108.45,108.45,108.45,206.70,698.65,109.95,2550,2550,6,4731015.00,3,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STF,66121,,CGPOWER,,2026-05-26,2026-05-26,,,CGPOWER26MAYFUT,697.00,710.10,690.00,709.25,708.65,718.80,698.65,709.25,22100,3400,35,20858022.50,32,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84546,,CGPOWER,,2026-03-30,2026-03-30,740.00,PE,CGPOWER26MAR740PE,54.75,63.85,48.70,49.10,49.75,44.55,698.65,49.10,165750,-28900,55,37089792.50,32,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97194,,CGPOWER,,2026-03-30,2026-03-30,710.00,PE,CGPOWER26MAR710PE,27.00,42.00,25.85,29.30,30.70,27.00,698.65,29.30,205700,6800,522,330460237.50,392,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84540,,CGPOWER,,2026-03-30,2026-03-30,680.00,PE,CGPOWER26MAR680PE,15.60,25.85,13.50,15.60,16.20,15.05,698.65,15.60,436900,84150,3656,2176757987.50,3304,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92371,,CGPOWER,,2026-05-26,2026-05-26,840.00,CE,CGPOWER26MAY840CE,0.00,0.00,0.00,25.65,0.00,25.65,698.65,7.75,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92349,,CGPOWER,,2026-05-26,2026-05-26,620.00,CE,CGPOWER26MAY620CE,0.00,0.00,0.00,130.40,0.00,130.40,698.65,96.55,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92207,,CGPOWER,,2026-04-28,2026-04-28,810.00,CE,CGPOWER26APR810CE,0.00,0.00,0.00,10.45,10.45,10.45,698.65,5.35,1700,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97512,,CGPOWER,,2026-04-28,2026-04-28,800.00,CE,CGPOWER26APR800CE,8.25,10.25,7.05,8.55,8.25,12.35,698.65,8.55,56100,5950,77,52919470.00,55,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92177,,CGPOWER,,2026-04-28,2026-04-28,650.00,CE,CGPOWER26APR650CE,65.00,65.00,65.00,65.00,65.00,98.90,698.65,65.35,850,850,1,607750.00,1,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97419,,CGPOWER,,2026-04-28,2026-04-28,640.00,CE,CGPOWER26APR640CE,0.00,0.00,0.00,11.90,0.00,11.90,698.65,72.75,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97415,,CGPOWER,,2026-04-28,2026-04-28,600.00,CE,CGPOWER26APR600CE,0.00,0.00,0.00,20.15,0.00,20.15,698.65,105.95,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97413,,CGPOWER,,2026-04-28,2026-04-28,580.00,CE,CGPOWER26APR580CE,0.00,0.00,0.00,25.85,0.00,25.85,698.65,124.15,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84549,,CGPOWER,,2026-03-30,2026-03-30,780.00,CE,CGPOWER26MAR780CE,7.00,7.00,2.45,3.30,2.95,6.35,698.65,3.30,439450,7650,710,472760905.00,634,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84524,,CGPOWER,,2026-03-30,2026-03-30,580.00,CE,CGPOWER26MAR580CE,0.00,0.00,0.00,130.80,130.80,130.80,698.65,119.90,3400,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92362,,CGPOWER,,2026-05-26,2026-05-26,740.00,PE,CGPOWER26MAY740PE,0.00,0.00,0.00,61.65,0.00,61.65,698.65,62.85,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92356,,CGPOWER,,2026-05-26,2026-05-26,680.00,PE,CGPOWER26MAY680PE,0.00,0.00,0.00,33.90,0.00,33.90,698.65,30.60,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92204,,CGPOWER,,2026-04-28,2026-04-28,790.00,PE,CGPOWER26APR790PE,0.00,0.00,0.00,84.80,0.00,84.80,698.65,94.15,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92180,,CGPOWER,,2026-04-28,2026-04-28,670.00,PE,CGPOWER26APR670PE,0.00,0.00,0.00,22.90,0.00,22.90,698.65,18.85,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84548,,CGPOWER,,2026-03-30,2026-03-30,760.00,PE,CGPOWER26MAR760PE,67.00,81.30,66.80,70.80,70.80,59.65,698.65,62.60,130900,-5950,10,7067027.50,9,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84509,,CGPOWER,,2026-03-30,2026-03-30,480.00,CE,CGPOWER26MAR480CE,0.00,0.00,0.00,239.95,239.95,239.95,698.65,219.65,4250,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STF,51843,,CGPOWER,,2026-03-30,2026-03-30,,,CGPOWER26MARFUT,708.90,710.80,680.75,700.25,696.60,709.90,698.65,700.25,17074800,-336600,4405,2594754837.50,3857,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92366,,CGPOWER,,2026-05-26,2026-05-26,780.00,PE,CGPOWER26MAY780PE,0.00,0.00,0.00,85.25,0.00,85.25,698.65,90.90,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,92348,,CGPOWER,,2026-05-26,2026-05-26,600.00,PE,CGPOWER26MAY600PE,0.00,0.00,0.00,11.55,0.00,11.55,698.65,7.50,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97414,,CGPOWER,,2026-04-28,2026-04-28,580.00,PE,CGPOWER26APR580PE,0.00,0.00,0.00,66.30,0.00,66.30,698.65,1.80,0,0,0,0.00,0,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,97188,,CGPOWER,,2026-03-30,2026-03-30,650.00,PE,CGPOWER26MAR650PE,7.60,13.80,6.30,7.50,7.95,7.40,698.65,7.50,504050,144500,1459,819384912.50,1355,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84536,,CGPOWER,,2026-03-30,2026-03-30,640.00,PE,CGPOWER26MAR640PE,7.00,11.00,5.00,5.80,6.00,5.80,698.65,5.80,157250,93500,596,328661680.00,541,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84516,,CGPOWER,,2026-03-30,2026-03-30,540.00,PE,CGPOWER26MAR540PE,0.75,0.75,0.70,0.75,0.75,0.75,698.65,0.05,2550,-17000,21,9652345.00,12,F1,850,,,,,
2026-03-16,2026-03-16,FO,NSE,STO,84533,,CGPOWER,,2026-03-30,2026-03-30,640.00,CE,CGPOWER26MAR640CE,0.00,0.00,0.00,80.00,80.00,80.00,698.65,62.05,3400,0,0,0.00,0,F1,850,,,,,
