TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-18,2026-03-18,FO,NSE,STO,142073,,MFSL,,2026-03-30,2026-03-30,1740.00,PE,MFSL26MAR1740PE,0.00,0.00,0.00,116.45,116.75,116.45,1668.70,76.15,18000,0,0,0.00,0,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STO,142052,,MFSL,,2026-03-30,2026-03-30,1580.00,PE,MFSL26MAR1580PE,8.00,9.50,7.15,8.20,8.10,23.00,1668.70,8.20,18400,1600,27,17151660.00,27,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STO,129648,,MFSL,,2026-05-26,2026-05-26,1800.00,CE,MFSL26MAY1800CE,0.00,0.00,0.00,145.70,0.00,145.70,1668.70,31.60,0,0,0,0.00,0,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STO,129634,,MFSL,,2026-05-26,2026-05-26,1520.00,CE,MFSL26MAY1520CE,0.00,0.00,0.00,355.65,0.00,355.65,1668.70,180.10,0,0,0,0.00,0,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STO,129628,,MFSL,,2026-05-26,2026-05-26,1440.00,CE,MFSL26MAY1440CE,0.00,0.00,0.00,429.20,0.00,429.20,1668.70,249.10,0,0,0,0.00,0,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STO,142446,,MFSL,,2026-04-28,2026-04-28,1840.00,CE,MFSL26APR1840CE,0.00,0.00,0.00,22.15,0.00,22.15,1668.70,10.20,0,0,0,0.00,0,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STO,139707,,MFSL,,2026-03-30,2026-03-30,1480.00,CE,MFSL26MAR1480CE,0.00,0.00,0.00,204.65,0.00,204.65,1668.70,191.45,0,0,0,0.00,0,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STF,66294,,MFSL,,2026-05-26,2026-05-26,,,MFSL26MAYFUT,1697.30,1703.30,1697.30,1703.30,1703.30,1635.00,1668.70,1686.10,3600,800,3,2039160.00,3,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STO,129577,,MFSL,,2026-04-28,2026-04-28,1660.00,PE,MFSL26APR1660PE,45.50,51.00,45.50,48.45,48.45,60.30,1668.70,46.55,19200,5600,16,10933040.00,7,F1,400,,,,,
2026-03-18,2026-03-18,FO,NSE,STO,142081,,MFSL,,2026-03-30,2026-03-30,1900.00,PE,MFSL26MAR1900PE,0.00,0.00,0.00,205.00,205.00,205.00,1668.70,227.90,8400,0,0,0.00,0,F1,400,,,,,
