TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-20,2026-03-20,FO,NSE,STO,77077,,ADANIENT,,2026-05-26,2026-05-26,2360.00,PE,ADANIENT26MAY2360PE,0.00,0.00,0.00,289.45,0.00,289.45,1927.10,431.40,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76659,,ADANIENT,,2026-04-28,2026-04-28,1900.00,PE,ADANIENT26APR1900PE,70.00,82.15,63.00,80.25,79.00,89.10,1927.10,80.25,67362,6489,60,36548550.90,54,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76978,,ADANIENT,,2026-04-28,2026-04-28,1880.00,CE,ADANIENT26APR1880CE,0.00,0.00,0.00,237.55,0.00,237.55,1927.10,128.75,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,58439,,ADANIENT,,2026-03-30,2026-03-30,2600.00,CE,ADANIENT26MAR2600CE,0.20,0.65,0.20,0.50,0.50,0.60,1927.10,0.50,162225,-12978,98,78749484.30,64,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,58413,,ADANIENT,,2026-03-30,2026-03-30,2360.00,CE,ADANIENT26MAR2360CE,1.00,1.05,1.00,1.05,1.05,1.05,1927.10,1.05,21321,0,7,5106920.25,4,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76656,,ADANIENT,,2026-04-28,2026-04-28,1860.00,CE,ADANIENT26APR1860CE,0.00,0.00,0.00,386.60,0.00,386.60,1927.10,140.40,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,77004,,ADANIENT,,2026-04-28,2026-04-28,2160.00,CE,ADANIENT26APR2160CE,0.00,0.00,0.00,118.85,0.00,118.85,1927.10,28.90,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76674,,ADANIENT,,2026-04-28,2026-04-28,2220.00,CE,ADANIENT26APR2220CE,20.90,20.90,14.25,15.60,15.60,166.90,1927.10,19.65,5253,5253,22,15199354.65,22,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,77053,,ADANIENT,,2026-04-28,2026-04-28,2440.00,CE,ADANIENT26APR2440CE,0.00,0.00,0.00,54.20,0.00,54.20,1927.10,4.00,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,77042,,ADANIENT,,2026-05-26,2026-05-26,2120.00,CE,ADANIENT26MAY2120CE,0.00,0.00,0.00,254.85,0.00,254.85,1927.10,65.80,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,77076,,ADANIENT,,2026-05-26,2026-05-26,2360.00,CE,ADANIENT26MAY2360CE,0.00,0.00,0.00,151.30,0.00,151.30,1927.10,22.20,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,77080,,ADANIENT,,2026-05-26,2026-05-26,2440.00,CE,ADANIENT26MAY2440CE,0.00,0.00,0.00,13.10,13.10,13.10,1927.10,14.90,618,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,58397,,ADANIENT,,2026-03-30,2026-03-30,2200.00,PE,ADANIENT26MAR2200PE,262.50,278.00,240.05,278.00,278.00,286.45,1927.10,278.00,756123,-8343,39,29534266.35,39,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76651,,ADANIENT,,2026-04-28,2026-04-28,1740.00,PE,ADANIENT26APR1740PE,0.00,0.00,0.00,34.35,34.35,34.35,1927.10,26.00,618,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,77050,,ADANIENT,,2026-04-28,2026-04-28,2360.00,PE,ADANIENT26APR2360PE,0.00,0.00,0.00,432.85,0.00,432.85,1927.10,426.40,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76942,,ADANIENT,,2026-05-26,2026-05-26,1800.00,PE,ADANIENT26MAY1800PE,0.00,0.00,0.00,48.65,0.00,48.65,1927.10,64.70,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,77016,,ADANIENT,,2026-05-26,2026-05-26,1920.00,PE,ADANIENT26MAY1920PE,0.00,0.00,0.00,80.15,0.00,80.15,1927.10,115.25,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,77020,,ADANIENT,,2026-05-26,2026-05-26,2000.00,PE,ADANIENT26MAY2000PE,0.00,0.00,0.00,107.05,0.00,107.05,1927.10,158.80,0,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STF,66077,,ADANIENT,,2026-05-26,2026-05-26,,,ADANIENT26MAYFUT,1954.10,1972.60,1938.00,1940.80,1942.70,1927.40,1927.10,1940.80,1111164,927,93,56245385.10,87,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76884,,ADANIENT,,2026-03-30,2026-03-30,1820.00,CE,ADANIENT26MAR1820CE,139.00,147.95,119.25,120.65,119.25,117.05,1927.10,120.65,6798,2472,16,9643812.75,16,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,58375,,ADANIENT,,2026-03-30,2026-03-30,1880.00,CE,ADANIENT26MAR1880CE,83.40,89.70,74.40,76.00,76.95,75.15,1927.10,76.00,42024,927,74,44784513.30,57,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76650,,ADANIENT,,2026-04-28,2026-04-28,1740.00,CE,ADANIENT26APR1740CE,0.00,0.00,0.00,238.00,238.00,238.00,1927.10,223.30,618,0,0,0.00,0,F1,309,,,,,
2026-03-20,2026-03-20,FO,NSE,STO,76976,,ADANIENT,,2026-04-28,2026-04-28,1840.00,CE,ADANIENT26APR1840CE,0.00,0.00,0.00,259.90,0.00,259.90,1927.10,152.65,0,0,0,0.00,0,F1,309,,,,,
