TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-23,2026-03-23,FO,NSE,STO,85393,,BANDHANBNK,,2026-04-28,2026-04-28,147.50,PE,BANDHANBNK26APR147.5PE,9.00,10.92,8.41,8.41,8.41,3.70,148.35,8.41,54000,10800,12,6806052.00,11,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,39704,,BANDHANBNK,,2026-04-28,2026-04-28,205.00,PE,BANDHANBNK26APR205PE,0.00,0.00,0.00,45.99,0.00,45.99,148.35,55.56,0,0,0,0.00,0,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,85689,,BANDHANBNK,,2026-05-26,2026-05-26,160.00,PE,BANDHANBNK26MAY160PE,0.00,0.00,0.00,5.16,0.00,5.16,148.35,15.26,0,0,0,0.00,0,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,88203,,BANDHANBNK,,2026-04-28,2026-04-28,170.00,CE,BANDHANBNK26APR170CE,5.72,5.72,2.83,3.16,3.08,5.52,148.35,3.16,705600,-273600,518,323364888.00,365,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,87799,,BANDHANBNK,,2026-03-30,2026-03-30,157.50,CE,BANDHANBNK26MAR157.5CE,3.16,3.29,1.14,1.25,1.17,4.98,148.35,1.25,698400,-68400,1033,591684804.00,933,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,88214,,BANDHANBNK,,2026-04-28,2026-04-28,190.00,PE,BANDHANBNK26APR190PE,37.00,42.74,37.00,42.74,42.74,31.50,148.35,40.74,363600,313200,114,94303332.00,34,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,85408,,BANDHANBNK,,2026-04-28,2026-04-28,172.50,PE,BANDHANBNK26APR172.5PE,0.00,0.00,0.00,7.79,7.79,7.79,148.35,24.11,0,0,0,0.00,0,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,88147,,BANDHANBNK,,2026-04-28,2026-04-28,145.00,PE,BANDHANBNK26APR145PE,5.95,10.12,5.95,8.57,8.80,3.95,148.35,8.57,280800,234000,121,66810528.00,84,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,61982,,BANDHANBNK,,2026-04-28,2026-04-28,127.50,PE,BANDHANBNK26APR127.5PE,0.00,0.00,0.00,0.38,0.00,0.38,148.35,0.62,0,0,0,0.00,0,F1,3600,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,87818,,BANDHANBNK,,2026-03-30,2026-03-30,192.50,PE,BANDHANBNK26MAR192.5PE,0.00,0.00,0.00,33.84,33.84,33.84,148.35,43.95,158400,0,0,0.00,0,F1,3600,,,,,
