TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-23,2026-03-23,FO,NSE,STO,87837,,COLPAL,,2026-03-30,2026-03-30,2600.00,PE,COLPAL26MAR2600PE,0.00,0.00,0.00,378.35,378.35,378.35,1849.20,748.05,225,0,0,0.00,0,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,100485,,COLPAL,,2026-04-28,2026-04-28,2600.00,CE,COLPAL26APR2600CE,0.00,0.00,0.00,14.40,0.00,14.40,1849.20,0.05,0,0,0,0.00,0,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,100355,,COLPAL,,2026-04-28,2026-04-28,1880.00,CE,COLPAL26APR1880CE,0.00,0.00,0.00,319.70,0.00,319.70,1849.20,45.70,0,0,0,0.00,0,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,87712,,COLPAL,,2026-03-30,2026-03-30,1960.00,CE,COLPAL26MAR1960CE,7.00,7.85,0.05,3.90,3.85,9.55,1849.20,3.90,90450,27450,664,293442547.50,441,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,99978,,COLPAL,,2026-03-30,2026-03-30,1940.00,CE,COLPAL26MAR1940CE,7.30,8.00,4.50,5.45,5.25,14.05,1849.20,5.45,77400,-6750,1202,526336267.50,1019,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,99976,,COLPAL,,2026-03-30,2026-03-30,1900.00,CE,COLPAL26MAR1900CE,23.00,25.00,9.35,11.45,10.55,28.80,1849.20,11.45,85725,21375,2401,1033635723.75,1992,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STF,66134,,COLPAL,,2026-05-26,2026-05-26,,,COLPAL26MAYFUT,1876.10,1879.00,1840.50,1855.00,1853.10,1906.10,1849.20,1855.00,96075,-4725,150,62652060.00,111,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,100438,,COLPAL,,2026-04-28,2026-04-28,2160.00,PE,COLPAL26APR2160PE,0.00,0.00,0.00,100.75,0.00,100.75,1849.20,300.35,0,0,0,0.00,0,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,100472,,COLPAL,,2026-04-28,2026-04-28,2320.00,PE,COLPAL26APR2320PE,439.65,439.65,439.65,439.65,439.65,194.50,1849.20,458.30,225,225,1,620921.25,1,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,100474,,COLPAL,,2026-04-28,2026-04-28,2360.00,PE,COLPAL26APR2360PE,0.00,0.00,0.00,164.00,164.00,164.00,1849.20,498.05,5625,0,0,0.00,0,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,100480,,COLPAL,,2026-04-28,2026-04-28,2480.00,PE,COLPAL26APR2480PE,605.00,615.00,605.00,615.00,615.00,565.00,1849.20,617.40,2700,1800,8,5562000.00,2,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,100484,,COLPAL,,2026-04-28,2026-04-28,2560.00,PE,COLPAL26APR2560PE,0.00,0.00,0.00,385.10,0.00,385.10,1849.20,696.95,0,0,0,0.00,0,F1,225,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,95231,,COLPAL,,2026-05-26,2026-05-26,2280.00,PE,COLPAL26MAY2280PE,0.00,0.00,0.00,120.35,0.00,120.35,1849.20,410.60,0,0,0,0.00,0,F1,225,,,,,
