TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-23,2026-03-23,FO,NSE,STO,141330,,MAZDOCK,,2026-04-28,2026-04-28,1840.00,CE,MAZDOCK26APR1840CE,0.00,0.00,0.00,572.40,0.00,572.40,2206.65,389.30,0,0,0,0.00,0,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,141274,,MAZDOCK,,2026-03-30,2026-03-30,2540.00,CE,MAZDOCK26MAR2540CE,5.35,5.70,3.15,3.40,3.35,9.75,2206.65,3.40,170000,1800,554,281919100.00,389,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,141272,,MAZDOCK,,2026-03-30,2026-03-30,2500.00,CE,MAZDOCK26MAR2500CE,13.00,13.05,4.05,4.40,4.10,13.85,2206.65,4.40,720600,47600,4792,2401522740.00,2836,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,141172,,MAZDOCK,,2026-03-30,2026-03-30,2180.00,CE,MAZDOCK26MAR2180CE,90.90,90.90,60.00,67.30,66.20,296.70,2206.65,67.30,13400,1200,49,22018540.00,44,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,141164,,MAZDOCK,,2026-03-30,2026-03-30,2020.00,CE,MAZDOCK26MAR2020CE,0.00,0.00,0.00,351.30,351.30,351.30,2206.65,193.40,200,0,0,0.00,0,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,141264,,MAZDOCK,,2026-03-30,2026-03-30,2340.00,CE,MAZDOCK26MAR2340CE,50.00,50.00,12.45,13.75,13.80,54.10,2206.65,13.75,72000,-3000,1360,641833070.00,1213,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,141168,,MAZDOCK,,2026-03-30,2026-03-30,2100.00,CE,MAZDOCK26MAR2100CE,180.00,180.00,120.45,126.10,123.50,247.00,2206.65,126.10,9800,-1600,35,15628070.00,34,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,138745,,MAZDOCK,,2026-03-30,2026-03-30,2560.00,CE,MAZDOCK26MAR2560CE,6.05,6.05,2.80,3.10,2.80,8.25,2206.65,3.10,95800,-7400,401,205634000.00,295,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,128751,,MAZDOCK,,2026-04-28,2026-04-28,1940.00,CE,MAZDOCK26APR1940CE,0.00,0.00,0.00,399.40,0.00,399.40,2206.65,304.50,0,0,0,0.00,0,F1,200,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,128771,,MAZDOCK,,2026-04-28,2026-04-28,2340.00,CE,MAZDOCK26APR2340CE,120.00,120.00,86.40,88.75,88.75,139.15,2206.65,77.40,1800,600,9,4376780.00,9,F1,200,,,,,
