TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-23,2026-03-23,FO,NSE,STO,147758,,PAGEIND,,2026-03-30,2026-03-30,28500.00,CE,PAGEIND26MAR28500CE,0.00,0.00,0.00,4490.35,0.00,4490.35,31344.15,2874.65,0,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147828,,PAGEIND,,2026-03-30,2026-03-30,34500.00,CE,PAGEIND26MAR34500CE,49.00,51.45,29.90,33.60,46.00,71.30,31344.15,33.60,2160,-30,75,38858169.75,45,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147838,,PAGEIND,,2026-03-30,2026-03-30,39500.00,CE,PAGEIND26MAR39500CE,0.00,0.00,0.00,7.00,7.00,7.00,31344.15,0.05,675,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147864,,PAGEIND,,2026-04-28,2026-04-28,26000.00,CE,PAGEIND26APR26000CE,0.00,0.00,0.00,6984.15,0.00,6984.15,31344.15,5487.90,0,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147872,,PAGEIND,,2026-04-28,2026-04-28,30000.00,CE,PAGEIND26APR30000CE,0.00,0.00,0.00,3590.30,0.00,3590.30,31344.15,1849.15,0,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,137630,,PAGEIND,,2026-05-26,2026-05-26,28000.00,CE,PAGEIND26MAY28000CE,0.00,0.00,0.00,5790.95,0.00,5790.95,31344.15,3762.80,0,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147628,,PAGEIND,,2026-03-30,2026-03-30,32000.00,PE,PAGEIND26MAR32000PE,581.00,973.05,581.00,887.45,931.55,555.10,31344.15,887.45,3225,-390,115,56558968.50,103,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147638,,PAGEIND,,2026-03-30,2026-03-30,37000.00,PE,PAGEIND26MAR37000PE,5450.00,5450.00,5450.00,5450.00,5450.00,5000.00,31344.15,5616.85,255,30,3,1910250.00,1,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,137316,,PAGEIND,,2026-04-28,2026-04-28,29500.00,PE,PAGEIND26APR29500PE,518.75,582.05,497.70,548.85,548.85,375.30,31344.15,228.50,375,315,22,9911339.25,16,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147883,,PAGEIND,,2026-04-28,2026-04-28,35000.00,PE,PAGEIND26APR35000PE,0.00,0.00,0.00,3200.00,3200.00,3200.00,31344.15,3552.80,75,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,137623,,PAGEIND,,2026-05-26,2026-05-26,26000.00,PE,PAGEIND26MAY26000PE,0.00,0.00,0.00,45.55,0.00,45.55,31344.15,24.30,0,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,137631,,PAGEIND,,2026-05-26,2026-05-26,28000.00,PE,PAGEIND26MAY28000PE,0.00,0.00,0.00,169.85,0.00,169.85,31344.15,149.90,0,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147621,,PAGEIND,,2026-03-30,2026-03-30,29000.00,CE,PAGEIND26MAR29000CE,0.00,0.00,0.00,1475.00,1475.00,1475.00,31344.15,2377.30,75,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147637,,PAGEIND,,2026-03-30,2026-03-30,37000.00,CE,PAGEIND26MAR37000CE,0.00,0.00,0.00,22.05,22.05,22.05,31344.15,0.05,1170,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,147639,,PAGEIND,,2026-03-30,2026-03-30,38000.00,CE,PAGEIND26MAR38000CE,0.00,0.00,0.00,14.00,14.00,14.00,31344.15,0.05,1080,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,137309,,PAGEIND,,2026-04-28,2026-04-28,26500.00,CE,PAGEIND26APR26500CE,0.00,0.00,0.00,6987.30,0.00,6987.30,31344.15,4994.40,0,0,0,0.00,0,F1,15,,,,,
2026-03-23,2026-03-23,FO,NSE,STO,137311,,PAGEIND,,2026-04-28,2026-04-28,27500.00,CE,PAGEIND26APR27500CE,0.00,0.00,0.00,6031.90,0.00,6031.90,31344.15,4020.80,0,0,0,0.00,0,F1,15,,,,,
