TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-24,2026-03-24,FO,NSE,STO,86442,,BANKINDIA,,2026-05-26,2026-05-26,128.00,CE,BANKINDIA26MAY128CE,0.00,0.00,0.00,50.19,0.00,50.19,146.35,21.20,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89569,,BANKINDIA,,2026-04-28,2026-04-28,188.00,CE,BANKINDIA26APR188CE,0.00,0.00,0.00,5.19,0.00,5.19,146.35,0.07,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89563,,BANKINDIA,,2026-04-28,2026-04-28,182.00,CE,BANKINDIA26APR182CE,0.00,0.00,0.00,6.67,0.00,6.67,146.35,0.16,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,86267,,BANKINDIA,,2026-04-28,2026-04-28,179.00,CE,BANKINDIA26APR179CE,0.00,0.00,0.00,10.93,0.00,10.93,146.35,0.23,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89329,,BANKINDIA,,2026-04-28,2026-04-28,148.00,CE,BANKINDIA26APR148CE,0.00,0.00,0.00,22.58,0.00,22.58,146.35,5.86,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89278,,BANKINDIA,,2026-04-28,2026-04-28,124.00,CE,BANKINDIA26APR124CE,0.00,0.00,0.00,41.87,0.00,41.87,146.35,23.34,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,77141,,BANKINDIA,,2026-03-30,2026-03-30,200.00,CE,BANKINDIA26MAR200CE,0.01,0.01,0.01,0.01,0.01,0.01,146.35,0.01,202800,-5200,1,1040052.00,1,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,51346,,BANKINDIA,,2026-03-30,2026-03-30,198.00,CE,BANKINDIA26MAR198CE,0.00,0.00,0.00,0.02,0.02,0.02,146.35,0.01,62400,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,76840,,BANKINDIA,,2026-03-30,2026-03-30,154.00,CE,BANKINDIA26MAR154CE,0.96,1.16,0.66,0.75,0.75,0.82,146.35,0.75,202800,-31200,96,77315784.00,88,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,76836,,BANKINDIA,,2026-03-30,2026-03-30,150.00,CE,BANKINDIA26MAR150CE,1.80,2.59,1.36,1.73,1.81,1.51,146.35,1.73,1487200,-182000,787,621548720.00,648,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,76826,,BANKINDIA,,2026-03-30,2026-03-30,140.00,CE,BANKINDIA26MAR140CE,7.11,9.02,6.69,7.63,7.90,5.84,146.35,7.63,322400,-83200,37,28389504.00,33,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,86539,,BANKINDIA,,2026-05-26,2026-05-26,188.00,CE,BANKINDIA26MAY188CE,0.00,0.00,0.00,10.08,0.00,10.08,146.35,0.46,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,86446,,BANKINDIA,,2026-05-26,2026-05-26,136.00,CE,BANKINDIA26MAY136CE,0.00,0.00,0.00,42.95,0.00,42.95,146.35,15.18,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89600,,BANKINDIA,,2026-04-28,2026-04-28,200.00,CE,BANKINDIA26APR200CE,0.00,0.00,0.00,3.03,0.00,3.03,146.35,0.01,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89565,,BANKINDIA,,2026-04-28,2026-04-28,184.00,CE,BANKINDIA26APR184CE,0.00,0.00,0.00,6.14,0.00,6.14,146.35,0.12,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89541,,BANKINDIA,,2026-04-28,2026-04-28,172.00,CE,BANKINDIA26APR172CE,0.00,0.00,0.00,1.19,1.19,1.19,146.35,0.55,15600,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89284,,BANKINDIA,,2026-04-28,2026-04-28,132.00,CE,BANKINDIA26APR132CE,0.00,0.00,0.00,34.85,0.00,34.85,146.35,16.26,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89280,,BANKINDIA,,2026-04-28,2026-04-28,128.00,CE,BANKINDIA26APR128CE,0.00,0.00,0.00,38.30,0.00,38.30,146.35,19.69,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,41653,,BANKINDIA,,2026-04-28,2026-04-28,126.00,CE,BANKINDIA26APR126CE,0.00,0.00,0.00,28.59,0.00,28.59,146.35,21.50,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,38939,,BANKINDIA,,2026-03-30,2026-03-30,186.00,CE,BANKINDIA26MAR186CE,0.00,0.00,0.00,0.38,0.38,0.38,146.35,0.01,67600,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,88945,,BANKINDIA,,2026-03-30,2026-03-30,151.00,CE,BANKINDIA26MAR151CE,1.58,2.12,1.22,1.39,1.42,1.29,146.35,1.39,1357200,265200,117,92770184.00,83,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,88941,,BANKINDIA,,2026-03-30,2026-03-30,147.00,CE,BANKINDIA26MAR147CE,3.58,4.14,2.32,3.04,3.18,2.39,146.35,3.04,223600,5200,160,124927764.00,149,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,76832,,BANKINDIA,,2026-03-30,2026-03-30,146.00,CE,BANKINDIA26MAR146CE,3.68,4.71,2.95,3.60,3.73,2.83,146.35,3.60,98800,-130000,116,90184796.00,82,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,88939,,BANKINDIA,,2026-03-30,2026-03-30,145.00,CE,BANKINDIA26MAR145CE,4.39,5.48,3.25,4.24,4.34,3.12,146.35,4.24,1289600,15600,268,207838072.00,203,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,76815,,BANKINDIA,,2026-03-30,2026-03-30,130.00,CE,BANKINDIA26MAR130CE,16.45,16.45,16.45,16.45,16.45,14.38,146.35,16.45,15600,10400,2,1523080.00,2,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STF,51822,,BANKINDIA,,2026-03-30,2026-03-30,,,BANKINDIA26MARFUT,145.90,148.88,144.57,146.57,147.23,143.48,146.35,146.57,35505600,-12516400,4062,3098656496.00,3051,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,86535,,BANKINDIA,,2026-05-26,2026-05-26,186.00,PE,BANKINDIA26MAY186PE,0.00,0.00,0.00,18.25,0.00,18.25,146.35,38.44,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,86268,,BANKINDIA,,2026-04-28,2026-04-28,179.00,PE,BANKINDIA26APR179PE,0.00,0.00,0.00,12.38,0.00,12.38,146.35,31.94,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89491,,BANKINDIA,,2026-04-28,2026-04-28,162.00,PE,BANKINDIA26APR162PE,0.00,0.00,0.00,10.68,0.00,10.68,146.35,16.46,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,44390,,BANKINDIA,,2026-04-28,2026-04-28,135.00,PE,BANKINDIA26APR135PE,3.50,3.50,2.57,3.18,3.20,4.00,146.35,3.18,135200,-5200,11,7891832.00,11,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,89291,,BANKINDIA,,2026-04-28,2026-04-28,134.00,PE,BANKINDIA26APR134PE,0.00,0.00,0.00,1.95,0.00,1.95,146.35,1.59,0,0,0,0.00,0,F1,5200,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,44386,,BANKINDIA,,2026-04-28,2026-04-28,133.00,PE,BANKINDIA26APR133PE,0.00,0.00,0.00,0.87,0.00,0.87,146.35,1.39,0,0,0,0.00,0,F1,5200,,,,,
