TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-24,2026-03-24,FO,NSE,STO,166193,,WAAREEENER,,2026-03-30,2026-03-30,3000.00,PE,WAAREEENER26MAR3000PE,30.00,69.95,26.95,33.05,33.25,57.00,3086.70,33.05,142275,-3150,5141,2736953546.25,4217,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,172537,,WAAREEENER,,2026-03-30,2026-03-30,2650.00,PE,WAAREEENER26MAR2650PE,7.65,8.05,2.90,4.05,4.00,8.70,3086.70,4.05,37100,-4725,180,83625421.25,154,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173498,,WAAREEENER,,2026-05-26,2026-05-26,2800.00,CE,WAAREEENER26MAY2800CE,0.00,0.00,0.00,449.15,0.00,449.15,3086.70,408.20,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173494,,WAAREEENER,,2026-05-26,2026-05-26,2600.00,CE,WAAREEENER26MAY2600CE,0.00,0.00,0.00,576.55,0.00,576.55,3086.70,556.85,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,172532,,WAAREEENER,,2026-03-30,2026-03-30,2450.00,CE,WAAREEENER26MAR2450CE,0.00,0.00,0.00,597.45,597.45,597.45,3086.70,638.90,19250,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,172536,,WAAREEENER,,2026-03-30,2026-03-30,2650.00,CE,WAAREEENER26MAR2650CE,447.65,447.65,447.65,447.65,447.65,447.55,3086.70,439.30,26075,-175,1,542088.75,1,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,172542,,WAAREEENER,,2026-03-30,2026-03-30,2950.00,CE,WAAREEENER26MAR2950CE,193.50,198.45,116.60,161.20,160.70,156.30,3086.70,161.20,58975,-6125,695,378646170.00,410,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,172570,,WAAREEENER,,2026-04-28,2026-04-28,2200.00,CE,WAAREEENER26APR2200CE,0.00,0.00,0.00,540.85,540.85,540.85,3086.70,899.05,525,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,172592,,WAAREEENER,,2026-04-28,2026-04-28,3300.00,CE,WAAREEENER26APR3300CE,142.00,149.10,112.90,125.00,124.15,126.05,3086.70,125.00,79100,9800,583,349506972.50,471,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173512,,WAAREEENER,,2026-05-26,2026-05-26,3500.00,CE,WAAREEENER26MAY3500CE,0.00,0.00,0.00,161.85,0.00,161.85,3086.70,98.05,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,166181,,WAAREEENER,,2026-03-30,2026-03-30,2400.00,PE,WAAREEENER26MAR2400PE,2.00,3.30,0.70,1.30,1.30,2.85,3086.70,1.30,61425,-7000,387,162629538.75,303,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173449,,WAAREEENER,,2026-04-28,2026-04-28,2550.00,PE,WAAREEENER26APR2550PE,0.00,0.00,0.00,116.85,116.85,116.85,3086.70,13.60,175,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173469,,WAAREEENER,,2026-04-28,2026-04-28,3550.00,PE,WAAREEENER26APR3550PE,0.00,0.00,0.00,585.70,0.00,585.70,3086.70,484.70,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STF,67042,,WAAREEENER,,2026-04-28,2026-04-28,,,WAAREEENER26APRFUT,3149.90,3150.80,3035.00,3107.00,3105.00,3081.40,3086.70,3107.00,1193500,409325,5929,3211964857.50,4986,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173503,,WAAREEENER,,2026-05-26,2026-05-26,3000.00,PE,WAAREEENER26MAY3000PE,0.00,0.00,0.00,270.10,0.00,270.10,3086.70,171.25,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,172595,,WAAREEENER,,2026-04-28,2026-04-28,3400.00,PE,WAAREEENER26APR3400PE,0.00,0.00,0.00,733.20,0.00,733.20,3086.70,363.65,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,166174,,WAAREEENER,,2026-03-30,2026-03-30,2100.00,CE,WAAREEENER26MAR2100CE,0.00,0.00,0.00,952.90,952.90,952.90,3086.70,988.60,525,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173452,,WAAREEENER,,2026-04-28,2026-04-28,2750.00,CE,WAAREEENER26APR2750CE,0.00,0.00,0.00,206.85,206.80,206.85,3086.70,393.55,1050,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173464,,WAAREEENER,,2026-04-28,2026-04-28,3350.00,CE,WAAREEENER26APR3350CE,0.00,0.00,0.00,129.00,129.00,129.00,3086.70,80.65,350,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173466,,WAAREEENER,,2026-04-28,2026-04-28,3450.00,CE,WAAREEENER26APR3450CE,0.00,0.00,0.00,122.50,0.00,122.50,3086.70,57.40,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173493,,WAAREEENER,,2026-05-26,2026-05-26,2500.00,PE,WAAREEENER26MAY2500PE,0.00,0.00,0.00,83.20,0.00,83.20,3086.70,29.55,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173488,,WAAREEENER,,2026-05-26,2026-05-26,2300.00,CE,WAAREEENER26MAY2300CE,0.00,0.00,0.00,804.75,0.00,804.75,3086.70,818.90,0,0,0,0.00,0,F1,175,,,,,
2026-03-24,2026-03-24,FO,NSE,STO,173496,,WAAREEENER,,2026-05-26,2026-05-26,2700.00,CE,WAAREEENER26MAY2700CE,0.00,0.00,0.00,510.10,0.00,510.10,3086.70,479.40,0,0,0,0.00,0,F1,175,,,,,
