TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-25,2026-03-25,FO,NSE,STO,85045,,AXISBANK,,2026-04-28,2026-04-28,1160.00,CE,AXISBANK26APR1160CE,0.00,0.00,0.00,185.30,0.00,185.30,1222.15,78.55,0,0,0,0.00,0,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,85047,,AXISBANK,,2026-04-28,2026-04-28,1180.00,CE,AXISBANK26APR1180CE,68.55,81.50,68.55,76.35,76.35,59.20,1222.15,63.85,40000,-1250,15,11753437.50,13,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,82967,,AXISBANK,,2026-04-28,2026-04-28,1250.00,CE,AXISBANK26APR1250CE,29.00,42.65,29.00,35.30,35.25,25.70,1222.15,35.30,346875,196875,996,799682875.00,898,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,82969,,AXISBANK,,2026-04-28,2026-04-28,1270.00,CE,AXISBANK26APR1270CE,22.75,32.65,22.75,26.85,27.05,19.55,1222.15,26.85,54375,4375,52,42163312.50,48,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,85079,,AXISBANK,,2026-04-28,2026-04-28,1280.00,CE,AXISBANK26APR1280CE,19.80,28.40,19.60,23.35,23.40,17.10,1222.15,23.35,113125,36875,163,132725812.50,151,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,82979,,AXISBANK,,2026-04-28,2026-04-28,1370.00,CE,AXISBANK26APR1370CE,7.00,7.00,5.95,6.15,6.10,8.00,1222.15,6.15,11250,9375,25,21505031.25,22,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,85017,,AXISBANK,,2026-04-28,2026-04-28,980.00,PE,AXISBANK26APR980PE,0.00,0.00,0.00,6.00,6.00,6.00,1222.15,0.05,1250,0,0,0.00,0,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,85029,,AXISBANK,,2026-04-28,2026-04-28,1060.00,PE,AXISBANK26APR1060PE,9.70,10.85,7.75,8.90,8.90,13.55,1222.15,8.90,106875,-1250,47,31404750.00,42,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,82930,,AXISBANK,,2026-04-28,2026-04-28,1070.00,PE,AXISBANK26APR1070PE,11.05,11.50,10.60,11.40,11.40,15.25,1222.15,0.90,3750,625,5,3378593.75,5,F1,625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,85031,,AXISBANK,,2026-04-28,2026-04-28,1080.00,PE,AXISBANK26APR1080PE,12.10,12.10,9.80,11.10,11.00,16.65,1222.15,11.10,26875,7500,30,20451718.75,29,F1,625,,,,,
