TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-25,2026-03-25,FO,NSE,STO,88131,,BHEL,,2026-04-28,2026-04-28,222.50,PE,BHEL26APR222.5PE,0.00,0.00,0.00,3.55,3.55,3.55,262.05,1.00,2625,0,0,0.00,0,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,88129,,BHEL,,2026-04-28,2026-04-28,217.50,PE,BHEL26APR217.5PE,0.00,0.00,0.00,3.50,0.00,3.50,262.05,0.60,0,0,0,0.00,0,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,88446,,BHEL,,2026-05-26,2026-05-26,275.00,PE,BHEL26MAY275PE,0.00,0.00,0.00,28.80,0.00,28.80,262.05,22.70,0,0,0,0.00,0,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,88285,,BHEL,,2026-04-28,2026-04-28,282.50,CE,BHEL26APR282.5CE,5.40,5.40,4.50,4.90,4.90,4.10,262.05,4.90,21000,21000,8,6035925.00,6,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,88283,,BHEL,,2026-04-28,2026-04-28,277.50,CE,BHEL26APR277.5CE,7.75,7.75,5.85,6.00,6.00,14.65,262.05,6.00,7875,7875,4,2983968.75,4,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,88222,,BHEL,,2026-04-28,2026-04-28,262.50,CE,BHEL26APR262.5CE,12.00,12.65,12.00,12.40,12.55,20.90,262.05,12.40,18375,18375,16,11539237.50,12,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,88138,,BHEL,,2026-04-28,2026-04-28,242.50,CE,BHEL26APR242.5CE,0.00,0.00,0.00,32.05,0.00,32.05,262.05,25.05,0,0,0,0.00,0,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,91758,,BHEL,,2026-04-28,2026-04-28,230.00,CE,BHEL26APR230CE,0.00,0.00,0.00,32.65,32.65,32.65,262.05,35.05,63000,0,0,0.00,0,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,88145,,BHEL,,2026-04-28,2026-04-28,257.50,PE,BHEL26APR257.5PE,8.10,8.10,7.75,8.10,8.10,12.25,262.05,9.50,31500,5250,4,2787881.25,4,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,91761,,BHEL,,2026-04-28,2026-04-28,235.00,PE,BHEL26APR235PE,3.35,3.45,2.90,3.45,3.45,4.35,262.05,3.45,76125,-39375,38,23739581.25,21,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,91748,,BHEL,,2026-04-28,2026-04-28,210.00,PE,BHEL26APR210PE,1.10,1.15,0.95,1.15,1.15,1.45,262.05,1.15,178500,15750,17,9418500.00,16,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,91587,,BHEL,,2026-03-30,2026-03-30,297.50,PE,BHEL26MAR297.5PE,0.00,0.00,0.00,51.60,0.00,51.60,262.05,35.25,0,0,0,0.00,0,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,78994,,BHEL,,2026-03-30,2026-03-30,270.00,PE,BHEL26MAR270PE,9.30,9.75,6.10,9.55,8.95,13.20,262.05,9.55,414750,-89250,297,216464456.25,272,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,78915,,BHEL,,2026-03-30,2026-03-30,225.00,PE,BHEL26MAR225PE,0.20,0.20,0.15,0.15,0.15,0.30,262.05,0.15,118125,-15750,45,26597943.75,35,F1,2625,,,,,
2026-03-25,2026-03-25,FO,NSE,STO,78908,,BHEL,,2026-03-30,2026-03-30,220.00,PE,BHEL26MAR220PE,0.15,0.15,0.05,0.10,0.05,0.20,262.05,0.10,427875,-136500,204,117867225.00,49,F1,2625,,,,,
