TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-27,2026-03-27,FO,NSE,STO,95693,,CROMPTON,,2026-04-28,2026-04-28,242.50,CE,CROMPTON26APR242.5CE,8.00,8.00,8.00,8.00,8.00,27.69,232.30,8.00,3600,3600,2,901800.00,2,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,101546,,CROMPTON,,2026-03-30,2026-03-30,252.50,CE,CROMPTON26MAR252.5CE,0.15,0.20,0.05,0.15,0.15,0.50,232.30,0.15,77400,-32400,45,20462580.00,27,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95913,,CROMPTON,,2026-05-26,2026-05-26,230.00,PE,CROMPTON26MAY230PE,0.00,0.00,0.00,3.76,0.00,3.76,232.30,8.25,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96009,,CROMPTON,,2026-05-26,2026-05-26,275.00,CE,CROMPTON26MAY275CE,0.00,0.00,0.00,13.33,0.00,13.33,232.30,1.00,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95999,,CROMPTON,,2026-05-26,2026-05-26,255.00,CE,CROMPTON26MAY255CE,0.00,0.00,0.00,22.89,0.00,22.89,232.30,3.55,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95891,,CROMPTON,,2026-05-26,2026-05-26,210.00,CE,CROMPTON26MAY210CE,0.00,0.00,0.00,57.01,0.00,57.01,232.30,26.30,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95880,,CROMPTON,,2026-05-26,2026-05-26,200.00,CE,CROMPTON26MAY200CE,0.00,0.00,0.00,52.00,52.00,52.00,232.30,34.95,1800,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,89247,,CROMPTON,,2026-03-30,2026-03-30,255.00,CE,CROMPTON26MAR255CE,0.20,0.20,0.05,0.10,0.05,0.35,232.30,0.10,250200,-37800,77,35357130.00,36,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,89267,,CROMPTON,,2026-03-30,2026-03-30,300.00,CE,CROMPTON26MAR300CE,0.05,0.05,0.05,0.05,0.05,0.05,232.30,0.05,849600,-25200,15,8101350.00,14,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95721,,CROMPTON,,2026-04-28,2026-04-28,277.50,CE,CROMPTON26APR277.5CE,0.00,0.00,0.00,2.65,2.65,2.65,232.30,0.15,3600,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,101745,,CROMPTON,,2026-04-28,2026-04-28,295.00,CE,CROMPTON26APR295CE,0.00,0.00,0.00,0.65,0.00,0.65,232.30,0.05,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,89260,,CROMPTON,,2026-03-30,2026-03-30,285.00,PE,CROMPTON26MAR285PE,52.00,52.00,52.00,52.00,52.00,22.42,232.30,52.55,10800,-1800,1,606600.00,1,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95663,,CROMPTON,,2026-04-28,2026-04-28,222.50,PE,CROMPTON26APR222.5PE,0.00,0.00,0.00,3.25,3.25,3.25,232.30,3.20,14400,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95712,,CROMPTON,,2026-04-28,2026-04-28,262.50,PE,CROMPTON26APR262.5PE,0.00,0.00,0.00,12.49,0.00,12.49,232.30,29.60,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95825,,CROMPTON,,2026-05-26,2026-05-26,190.00,PE,CROMPTON26MAY190PE,0.00,0.00,0.00,0.22,0.00,0.22,232.30,0.30,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95991,,CROMPTON,,2026-05-26,2026-05-26,240.00,PE,CROMPTON26MAY240PE,0.00,0.00,0.00,6.12,0.00,6.12,232.30,13.50,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95986,,CROMPTON,,2026-05-26,2026-05-26,240.00,CE,CROMPTON26MAY240CE,0.00,0.00,0.00,32.50,0.00,32.50,232.30,7.95,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95908,,CROMPTON,,2026-05-26,2026-05-26,220.00,CE,CROMPTON26MAY220CE,0.00,0.00,0.00,48.20,0.00,48.20,232.30,18.75,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95711,,CROMPTON,,2026-04-28,2026-04-28,262.50,CE,CROMPTON26APR262.5CE,0.00,0.00,0.00,4.25,4.25,4.25,232.30,0.70,3600,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,101719,,CROMPTON,,2026-04-28,2026-04-28,235.00,CE,CROMPTON26APR235CE,12.35,12.35,9.65,9.80,9.65,15.50,232.30,9.80,99000,3600,71,31462650.00,64,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,89257,,CROMPTON,,2026-03-30,2026-03-30,280.00,CE,CROMPTON26MAR280CE,0.05,0.05,0.05,0.05,0.05,0.05,232.30,0.05,784800,-14400,8,4032720.00,8,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STF,66781,,CROMPTON,,2026-04-28,2026-04-28,,,CROMPTON26APRFUT,245.00,245.00,232.55,233.35,232.95,243.80,232.30,233.35,43768800,12454200,9305,3950361450.00,7821,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,89237,,CROMPTON,,2026-03-30,2026-03-30,240.00,CE,CROMPTON26MAR240CE,3.55,3.55,0.55,0.70,0.75,4.80,232.30,0.70,165600,9000,316,137418030.00,250,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,101492,,CROMPTON,,2026-03-30,2026-03-30,247.50,CE,CROMPTON26MAR247.5CE,0.80,0.80,0.15,0.15,0.15,1.20,232.30,0.15,205200,-50400,90,40127130.00,45,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96017,,CROMPTON,,2026-05-26,2026-05-26,290.00,PE,CROMPTON26MAY290PE,0.00,0.00,0.00,31.22,0.00,31.22,232.30,55.40,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,96000,,CROMPTON,,2026-05-26,2026-05-26,255.00,PE,CROMPTON26MAY255PE,0.00,0.00,0.00,11.26,0.00,11.26,232.30,23.95,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,95996,,CROMPTON,,2026-05-26,2026-05-26,250.00,PE,CROMPTON26MAY250PE,0.00,0.00,0.00,9.31,0.00,9.31,232.30,20.15,0,0,0,0.00,0,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,101732,,CROMPTON,,2026-04-28,2026-04-28,260.00,PE,CROMPTON26APR260PE,26.75,26.75,26.35,26.50,26.50,20.00,232.30,27.35,55800,12600,8,4127580.00,6,F1,1800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,101491,,CROMPTON,,2026-03-30,2026-03-30,242.50,PE,CROMPTON26MAR242.5PE,5.95,10.65,5.85,10.65,10.65,3.60,232.30,10.20,99000,-32400,25,11314170.00,22,F1,1800,,,,,
