TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-27,2026-03-27,FO,NSE,STO,40871,,TATATECH,,2026-03-30,2026-03-30,465.00,CE,TATATECH26MAR465CE,0.00,0.00,0.00,185.65,0.00,185.65,539.35,74.55,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,159258,,TATATECH,,2026-04-28,2026-04-28,525.00,PE,TATATECH26APR525PE,0.00,0.00,0.00,8.45,0.00,8.45,539.35,9.45,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169755,,TATATECH,,2026-04-28,2026-04-28,550.00,PE,TATATECH26APR550PE,23.00,32.20,20.00,26.55,26.30,22.80,539.35,26.55,80800,27200,127,58474760.00,117,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,159268,,TATATECH,,2026-04-28,2026-04-28,575.00,PE,TATATECH26APR575PE,0.00,0.00,0.00,26.55,0.00,26.55,539.35,38.50,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,159274,,TATATECH,,2026-04-28,2026-04-28,605.00,PE,TATATECH26APR605PE,0.00,0.00,0.00,43.85,0.00,43.85,539.35,64.35,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,159284,,TATATECH,,2026-04-28,2026-04-28,645.00,PE,TATATECH26APR645PE,0.00,0.00,0.00,73.50,0.00,73.50,539.35,102.75,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162121,,TATATECH,,2026-03-30,2026-03-30,540.00,PE,TATATECH26MAR540PE,6.00,9.30,2.75,5.25,5.65,5.50,539.35,5.25,102400,-11200,119,51994840.00,100,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162111,,TATATECH,,2026-03-30,2026-03-30,490.00,PE,TATATECH26MAR490PE,0.45,0.80,0.45,0.65,0.80,0.55,539.35,0.65,61600,0,3,1177400.00,3,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162105,,TATATECH,,2026-03-30,2026-03-30,460.00,PE,TATATECH26MAR460PE,0.00,0.00,0.00,0.20,0.00,0.20,539.35,0.05,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169754,,TATATECH,,2026-04-28,2026-04-28,550.00,CE,TATATECH26APR550CE,24.05,26.00,17.50,18.80,19.50,21.30,539.35,18.80,161600,48800,233,106467200.00,211,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169752,,TATATECH,,2026-04-28,2026-04-28,540.00,CE,TATATECH26APR540CE,32.00,32.00,22.05,24.50,24.30,28.85,539.35,24.50,127200,69600,206,93088760.00,139,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,159253,,TATATECH,,2026-04-28,2026-04-28,505.00,CE,TATATECH26APR505CE,0.00,0.00,0.00,77.55,0.00,77.55,539.35,40.85,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169678,,TATATECH,,2026-03-30,2026-03-30,645.00,CE,TATATECH26MAR645CE,0.05,0.05,0.05,0.05,0.05,3.70,539.35,0.05,2400,-1600,2,1032080.00,1,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169648,,TATATECH,,2026-03-30,2026-03-30,495.00,CE,TATATECH26MAR495CE,0.00,0.00,0.00,45.00,45.00,45.00,539.35,44.55,4000,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169663,,TATATECH,,2026-03-30,2026-03-30,565.00,PE,TATATECH26MAR565PE,15.80,27.95,14.70,27.95,27.95,29.95,539.35,25.55,35200,-5600,12,5629240.00,12,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169677,,TATATECH,,2026-03-30,2026-03-30,635.00,PE,TATATECH26MAR635PE,0.00,0.00,0.00,98.30,98.30,98.30,539.35,95.35,1600,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162143,,TATATECH,,2026-03-30,2026-03-30,650.00,PE,TATATECH26MAR650PE,102.35,118.10,97.50,112.80,112.00,102.35,539.35,112.80,79200,-24800,55,33505880.00,27,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162155,,TATATECH,,2026-03-30,2026-03-30,710.00,PE,TATATECH26MAR710PE,0.00,0.00,0.00,181.65,181.65,181.65,539.35,170.35,4800,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162157,,TATATECH,,2026-03-30,2026-03-30,720.00,PE,TATATECH26MAR720PE,0.00,0.00,0.00,172.50,172.50,172.50,539.35,180.30,35200,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169737,,TATATECH,,2026-04-28,2026-04-28,460.00,PE,TATATECH26APR460PE,4.95,4.95,2.70,3.70,4.05,5.00,539.35,3.70,81600,75200,118,43775880.00,101,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,39583,,TATATECH,,2026-04-28,2026-04-28,470.00,PE,TATATECH26APR470PE,4.10,4.85,4.10,4.70,4.85,6.00,539.35,4.70,4800,3200,6,2278400.00,6,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162127,,TATATECH,,2026-03-30,2026-03-30,570.00,PE,TATATECH26MAR570PE,19.50,37.05,19.50,31.00,31.00,25.00,539.35,31.00,107200,-12800,27,12938920.00,24,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,54064,,TATATECH,,2026-03-30,2026-03-30,445.00,PE,TATATECH26MAR445PE,0.00,0.00,0.00,0.05,0.00,0.05,539.35,0.05,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169769,,TATATECH,,2026-04-28,2026-04-28,620.00,PE,TATATECH26APR620PE,71.50,85.00,71.50,85.00,85.00,71.50,539.35,78.45,22400,20800,26,14614200.00,10,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,159271,,TATATECH,,2026-04-28,2026-04-28,595.00,CE,TATATECH26APR595CE,0.00,0.00,0.00,21.50,0.00,21.50,539.35,2.50,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,159269,,TATATECH,,2026-04-28,2026-04-28,585.00,CE,TATATECH26APR585CE,0.00,0.00,0.00,25.60,0.00,25.60,539.35,3.80,0,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,169736,,TATATECH,,2026-04-28,2026-04-28,460.00,CE,TATATECH26APR460CE,0.00,0.00,0.00,96.40,96.40,96.40,539.35,81.80,800,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,54106,,TATATECH,,2026-04-28,2026-04-28,450.00,CE,TATATECH26APR450CE,0.00,0.00,0.00,106.10,106.10,106.10,539.35,91.65,800,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162152,,TATATECH,,2026-03-30,2026-03-30,700.00,CE,TATATECH26MAR700CE,0.05,0.10,0.05,0.05,0.05,0.05,539.35,0.05,443200,-16800,108,60484480.00,52,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162146,,TATATECH,,2026-03-30,2026-03-30,670.00,CE,TATATECH26MAR670CE,0.00,0.00,0.00,0.05,0.05,0.05,539.35,0.05,22400,0,0,0.00,0,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162142,,TATATECH,,2026-03-30,2026-03-30,650.00,CE,TATATECH26MAR650CE,0.05,0.10,0.05,0.10,0.10,0.10,539.35,0.10,260800,-16000,66,34323200.00,35,F1,800,,,,,
2026-03-27,2026-03-27,FO,NSE,STO,162102,,TATATECH,,2026-03-30,2026-03-30,440.00,CE,TATATECH26MAR440CE,0.00,0.00,0.00,205.35,0.00,205.35,539.35,99.55,0,0,0,0.00,0,F1,800,,,,,
