TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-30,2026-03-30,FO,NSE,STO,99555,,COFORGE,,2026-03-30,2026-03-30,1860.00,PE,COFORGE26MAR1860PE,0.00,0.00,0.00,610.00,610.00,610.00,1114.70,1114.70,1500,0,0,0.00,0,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94667,,COFORGE,,2026-05-26,2026-05-26,920.00,PE,COFORGE26MAY920PE,0.00,0.00,0.00,8.80,0.00,8.80,1114.70,5.00,0,0,0,0.00,0,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,86929,,COFORGE,,2026-03-30,2026-03-30,1560.00,CE,COFORGE26MAR1560CE,0.10,0.10,0.10,0.10,0.10,0.10,1114.70,1114.70,34125,-750,2,1170075.00,1,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94715,,COFORGE,,2026-05-26,2026-05-26,1320.00,PE,COFORGE26MAY1320PE,0.00,0.00,0.00,155.25,0.00,155.25,1114.70,204.90,0,0,0,0.00,0,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94671,,COFORGE,,2026-05-26,2026-05-26,1000.00,PE,COFORGE26MAY1000PE,0.00,0.00,0.00,20.25,0.00,20.25,1114.70,16.95,0,0,0,0.00,0,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94360,,COFORGE,,2026-04-28,2026-04-28,940.00,PE,COFORGE26APR940PE,10.35,11.10,9.25,10.70,10.85,10.20,1114.70,10.70,16875,9750,48,17104612.50,45,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99609,,COFORGE,,2026-04-28,2026-04-28,880.00,PE,COFORGE26APR880PE,5.55,6.75,4.80,4.80,4.80,5.60,1114.70,0.30,36750,750,14,4648425.00,13,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,86946,,COFORGE,,2026-03-30,2026-03-30,1760.00,PE,COFORGE26MAR1760PE,631.35,635.00,631.35,635.00,635.00,676.00,1114.70,1114.70,1875,-375,2,1794881.25,2,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,86857,,COFORGE,,2026-03-30,2026-03-30,1480.00,PE,COFORGE26MAR1480PE,0.00,0.00,0.00,325.00,325.00,325.00,1114.70,1114.70,5625,0,0,0.00,0,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99475,,COFORGE,,2026-03-30,2026-03-30,1180.00,PE,COFORGE26MAR1180PE,58.50,69.20,48.25,66.60,69.20,40.25,1114.70,1114.70,60750,-17250,88,40764956.25,77,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99779,,COFORGE,,2026-04-28,2026-04-28,1440.00,CE,COFORGE26APR1440CE,3.70,3.70,1.75,1.90,2.10,4.55,1114.70,1.90,7125,0,32,17318081.25,23,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99738,,COFORGE,,2026-04-28,2026-04-28,1160.00,CE,COFORGE26APR1160CE,50.45,50.60,36.45,37.90,37.80,58.05,1114.70,37.90,486000,-16875,1115,503312025.00,817,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94385,,COFORGE,,2026-04-28,2026-04-28,1100.00,CE,COFORGE26APR1100CE,75.05,82.25,65.00,66.40,66.65,92.40,1114.70,66.40,612000,-19125,635,279738393.75,570,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99734,,COFORGE,,2026-04-28,2026-04-28,1080.00,CE,COFORGE26APR1080CE,88.80,90.65,77.45,79.15,77.45,114.80,1114.70,79.15,31875,2250,87,37997343.75,71,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94363,,COFORGE,,2026-04-28,2026-04-28,1020.00,CE,COFORGE26APR1020CE,0.00,0.00,0.00,144.00,144.00,144.00,1114.70,109.45,3000,0,0,0.00,0,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94484,,COFORGE,,2026-04-28,2026-04-28,1180.00,CE,COFORGE26APR1180CE,41.05,42.80,30.00,30.85,30.90,49.35,1114.70,30.85,153750,36375,468,213394087.50,450,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99773,,COFORGE,,2026-04-28,2026-04-28,1320.00,CE,COFORGE26APR1320CE,11.35,11.35,6.45,6.55,6.55,13.30,1114.70,6.55,20625,1875,39,19428281.25,33,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99781,,COFORGE,,2026-04-28,2026-04-28,1480.00,CE,COFORGE26APR1480CE,2.20,2.20,1.70,1.70,1.70,3.35,1114.70,0.10,7125,2250,12,6668793.75,9,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94553,,COFORGE,,2026-04-28,2026-04-28,1300.00,CE,COFORGE26APR1300CE,13.05,13.75,7.95,8.30,8.80,16.15,1114.70,8.30,402375,18000,811,398585981.25,564,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94381,,COFORGE,,2026-04-28,2026-04-28,1060.00,CE,COFORGE26APR1060CE,102.00,102.00,90.65,91.85,90.65,146.00,1114.70,91.85,12000,2625,19,8222381.25,19,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99735,,COFORGE,,2026-04-28,2026-04-28,1080.00,PE,COFORGE26APR1080PE,39.00,41.70,34.00,39.95,39.40,35.00,1114.70,39.95,102375,22500,311,130385606.25,297,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,99732,,COFORGE,,2026-04-28,2026-04-28,1040.00,PE,COFORGE26APR1040PE,29.55,29.60,24.00,27.80,28.25,24.60,1114.70,27.80,61500,13500,204,81575400.00,175,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,94743,,COFORGE,,2026-05-26,2026-05-26,1520.00,CE,COFORGE26MAY1520CE,11.00,11.00,9.00,9.00,9.00,11.00,1114.70,1.10,4500,750,2,1147500.00,2,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,86842,,COFORGE,,2026-03-30,2026-03-30,1200.00,PE,COFORGE26MAR1200PE,79.00,89.75,69.00,87.40,87.00,57.60,1114.70,1114.70,99375,-80625,278,133068750.00,196,F1,375,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,86936,,COFORGE,,2026-03-30,2026-03-30,1680.00,PE,COFORGE26MAR1680PE,0.00,0.00,0.00,537.90,537.90,537.90,1114.70,1114.70,4875,0,0,0.00,0,F1,375,,,,,
