TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-30,2026-03-30,FO,NSE,STO,113372,,INDHOTEL,,2026-03-30,2026-03-30,820.00,CE,INDHOTEL26MAR820CE,0.00,0.00,0.00,0.10,0.10,0.10,570.95,570.95,26000,0,0,0.00,0,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,124091,,INDHOTEL,,2026-03-30,2026-03-30,745.00,CE,INDHOTEL26MAR745CE,0.00,0.00,0.00,1.50,1.50,1.50,570.95,570.95,3000,0,0,0.00,0,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,113693,,INDHOTEL,,2026-05-26,2026-05-26,760.00,CE,INDHOTEL26MAY760CE,0.00,0.00,0.00,19.10,0.00,19.10,570.95,0.20,0,0,0,0.00,0,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,113179,,INDHOTEL,,2026-03-30,2026-03-30,500.00,PE,INDHOTEL26MAR500PE,0.05,0.05,0.05,0.05,0.05,0.05,570.95,570.95,52000,0,1,500050.00,1,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,123684,,INDHOTEL,,2026-03-30,2026-03-30,505.00,PE,INDHOTEL26MAR505PE,0.00,0.00,0.00,0.85,0.00,0.85,570.95,570.95,0,0,0,0.00,0,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,123756,,INDHOTEL,,2026-03-30,2026-03-30,565.00,PE,INDHOTEL26MAR565PE,0.70,3.60,0.20,0.30,0.30,0.95,570.95,570.95,8000,-1000,34,19236050.00,29,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,123971,,INDHOTEL,,2026-03-30,2026-03-30,635.00,PE,INDHOTEL26MAR635PE,55.00,65.70,54.50,65.15,64.70,41.05,570.95,570.95,202000,-2000,5,3480450.00,5,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,113167,,INDHOTEL,,2026-04-28,2026-04-28,515.00,PE,INDHOTEL26APR515PE,0.00,0.00,0.00,0.55,0.00,0.55,570.95,1.95,0,0,0,0.00,0,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,113210,,INDHOTEL,,2026-04-28,2026-04-28,595.00,PE,INDHOTEL26APR595PE,27.65,36.80,27.65,35.80,36.10,24.30,570.95,35.80,155000,101000,148,92521700.00,112,F1,1000,,,,,
2026-03-30,2026-03-30,FO,NSE,STO,124319,,INDHOTEL,,2026-04-28,2026-04-28,630.00,PE,INDHOTEL26APR630PE,54.50,61.35,51.25,61.35,61.35,44.35,570.95,61.35,92000,17000,20,13727000.00,10,F1,1000,,,,,
