TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,NSE,STO,87192,,BEL,,2026-04-28,2026-04-28,455.00,PE,BEL26APR455PE,0.00,0.00,0.00,50.55,50.55,50.55,418.70,38.05,18525,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87176,,BEL,,2026-04-28,2026-04-28,375.00,PE,BEL26APR375PE,3.60,3.85,2.70,3.60,3.65,8.15,418.70,3.60,219450,88350,675,363789532.50,389,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90038,,BEL,,2026-04-28,2026-04-28,350.00,PE,BEL26APR350PE,1.75,1.95,1.20,1.65,1.70,3.80,418.70,1.65,404700,-65550,1078,540024127.50,651,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94342,,BEL,,2026-06-30,2026-06-30,360.00,CE,BEL26JUN360CE,0.00,0.00,0.00,57.60,0.00,57.60,418.70,68.05,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87448,,BEL,,2026-05-26,2026-05-26,430.00,CE,BEL26MAY430CE,0.00,0.00,0.00,37.85,0.00,37.85,418.70,16.95,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90139,,BEL,,2026-04-28,2026-04-28,530.00,CE,BEL26APR530CE,0.30,0.70,0.30,0.40,0.40,0.45,418.70,0.40,198075,85500,177,133811988.75,85,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87197,,BEL,,2026-04-28,2026-04-28,485.00,CE,BEL26APR485CE,1.45,2.70,1.35,1.45,1.50,1.05,418.70,1.45,242250,165300,437,303193402.50,310,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90094,,BEL,,2026-04-28,2026-04-28,460.00,CE,BEL26APR460CE,3.50,6.60,2.80,3.70,3.90,2.25,418.70,3.70,1444950,178125,3553,2352316256.25,2657,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94345,,BEL,,2026-06-30,2026-06-30,360.00,PE,BEL26JUN360PE,0.00,0.00,0.00,10.50,0.00,10.50,418.70,4.50,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90068,,BEL,,2026-04-28,2026-04-28,410.00,CE,BEL26APR410CE,18.00,30.60,18.00,22.10,22.45,14.10,418.70,22.10,2338425,-155325,2497,1545675341.25,2062,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90064,,BEL,,2026-04-28,2026-04-28,400.00,CE,BEL26APR400CE,26.85,38.20,23.25,28.95,29.35,19.25,418.70,28.95,1554675,-133950,1815,1115117576.25,1321,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90043,,BEL,,2026-04-28,2026-04-28,380.00,CE,BEL26APR380CE,47.75,55.35,43.20,44.75,45.00,32.50,418.70,44.75,356250,88350,173,105912198.75,153,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87175,,BEL,,2026-04-28,2026-04-28,375.00,CE,BEL26APR375CE,0.00,0.00,0.00,69.05,0.00,69.05,418.70,46.65,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90035,,BEL,,2026-04-28,2026-04-28,340.00,CE,BEL26APR340CE,0.00,0.00,0.00,84.55,0.00,84.55,418.70,80.15,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87478,,BEL,,2026-05-26,2026-05-26,510.00,PE,BEL26MAY510PE,0.00,0.00,0.00,77.35,0.00,77.35,418.70,88.55,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94107,,BEL,,2026-05-26,2026-05-26,385.00,CE,BEL26MAY385CE,0.00,0.00,0.00,34.05,0.00,34.05,418.70,43.20,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87438,,BEL,,2026-05-26,2026-05-26,400.00,CE,BEL26MAY400CE,41.75,45.00,37.00,37.00,37.00,55.55,418.70,32.75,14250,14250,24,15113336.25,9,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94383,,BEL,,2026-06-30,2026-06-30,450.00,CE,BEL26JUN450CE,0.00,0.00,0.00,14.80,0.00,14.80,418.70,16.10,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90042,,BEL,,2026-04-28,2026-04-28,370.00,PE,BEL26APR370PE,3.55,3.60,2.20,3.00,3.05,7.05,418.70,3.00,495900,-102600,1000,531176730.00,664,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87190,,BEL,,2026-04-28,2026-04-28,445.00,PE,BEL26APR445PE,27.00,32.05,25.05,30.35,30.70,40.85,418.70,30.35,102600,49875,94,63383145.00,88,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90093,,BEL,,2026-04-28,2026-04-28,450.00,PE,BEL26APR450PE,32.20,35.90,26.65,34.20,34.45,49.30,418.70,34.20,1162800,102600,359,245429032.50,312,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87198,,BEL,,2026-04-28,2026-04-28,485.00,PE,BEL26APR485PE,63.00,63.00,63.00,63.00,63.00,78.00,418.70,65.10,15675,-1425,1,780900.00,1,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87320,,BEL,,2026-05-26,2026-05-26,350.00,PE,BEL26MAY350PE,0.00,0.00,0.00,3.45,0.00,3.45,418.70,1.25,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94138,,BEL,,2026-05-26,2026-05-26,425.00,PE,BEL26MAY425PE,0.00,0.00,0.00,35.00,0.00,35.00,418.70,21.90,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87476,,BEL,,2026-05-26,2026-05-26,500.00,PE,BEL26MAY500PE,0.00,0.00,0.00,69.55,0.00,69.55,418.70,79.30,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94384,,BEL,,2026-06-30,2026-06-30,450.00,PE,BEL26JUN450PE,0.00,0.00,0.00,56.10,0.00,56.10,418.70,41.35,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94395,,BEL,,2026-06-30,2026-06-30,480.00,PE,BEL26JUN480PE,0.00,0.00,0.00,79.25,0.00,79.25,418.70,63.35,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90137,,BEL,,2026-04-28,2026-04-28,520.00,CE,BEL26APR520CE,0.40,0.90,0.40,0.50,0.50,0.50,418.70,0.50,458850,-8550,588,436261398.75,353,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87319,,BEL,,2026-05-26,2026-05-26,350.00,CE,BEL26MAY350CE,0.00,0.00,0.00,94.25,0.00,94.25,418.70,72.85,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94392,,BEL,,2026-06-30,2026-06-30,470.00,CE,BEL26JUN470CE,0.00,0.00,0.00,10.30,0.00,10.30,418.70,10.60,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87452,,BEL,,2026-05-26,2026-05-26,440.00,CE,BEL26MAY440CE,17.20,18.90,15.00,15.25,15.00,11.00,418.70,15.25,57000,-4275,50,32566380.00,36,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94352,,BEL,,2026-06-30,2026-06-30,380.00,PE,BEL26JUN380PE,0.00,0.00,0.00,17.00,0.00,17.00,418.70,8.70,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87480,,BEL,,2026-05-26,2026-05-26,520.00,PE,BEL26MAY520PE,0.00,0.00,0.00,85.40,0.00,85.40,418.70,98.05,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87396,,BEL,,2026-05-26,2026-05-26,390.00,PE,BEL26MAY390PE,0.00,0.00,0.00,11.00,0.00,11.00,418.70,7.65,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87173,,BEL,,2026-04-28,2026-04-28,365.00,CE,BEL26APR365CE,0.00,0.00,0.00,60.10,60.10,60.10,418.70,55.85,1425,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87187,,BEL,,2026-04-28,2026-04-28,435.00,CE,BEL26APR435CE,9.00,15.50,7.50,9.85,10.10,5.70,418.70,9.85,890625,511575,3337,2125655257.50,2922,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87395,,BEL,,2026-05-26,2026-05-26,390.00,CE,BEL26MAY390CE,0.00,0.00,0.00,62.45,0.00,62.45,418.70,39.55,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94104,,BEL,,2026-05-26,2026-05-26,365.00,PE,BEL26MAY365PE,0.00,0.00,0.00,7.75,0.00,7.75,418.70,2.70,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94372,,BEL,,2026-06-30,2026-06-30,410.00,CE,BEL26JUN410CE,0.00,0.00,0.00,28.80,0.00,28.80,418.70,33.35,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90116,,BEL,,2026-04-28,2026-04-28,490.00,PE,BEL26APR490PE,66.00,66.75,59.20,66.00,66.00,76.00,418.70,69.90,223725,205200,171,134809132.50,165,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94119,,BEL,,2026-05-26,2026-05-26,405.00,PE,BEL26MAY405PE,0.00,0.00,0.00,23.25,0.00,23.25,418.70,12.60,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87454,,BEL,,2026-05-26,2026-05-26,440.00,PE,BEL26MAY440PE,0.00,0.00,0.00,30.65,0.00,30.65,418.70,30.85,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94375,,BEL,,2026-06-30,2026-06-30,420.00,PE,BEL26JUN420PE,0.00,0.00,0.00,36.40,0.00,36.40,418.70,23.80,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94391,,BEL,,2026-06-30,2026-06-30,460.00,PE,BEL26JUN460PE,0.00,0.00,0.00,63.50,0.00,63.50,418.70,48.25,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90080,,BEL,,2026-04-28,2026-04-28,440.00,CE,BEL26APR440CE,6.80,13.20,6.45,8.20,8.45,4.75,418.70,8.20,1962225,427500,6208,3980281785.00,4744,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90115,,BEL,,2026-04-28,2026-04-28,490.00,CE,BEL26APR490CE,0.90,2.30,0.90,1.25,1.20,0.90,418.70,1.25,652650,173850,906,634694216.25,653,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87201,,BEL,,2026-04-28,2026-04-28,505.00,CE,BEL26APR505CE,1.30,1.35,0.75,0.80,0.80,0.70,418.70,0.80,64125,51300,73,52646553.75,46,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94110,,BEL,,2026-05-26,2026-05-26,395.00,CE,BEL26MAY395CE,0.00,0.00,0.00,28.40,0.00,28.40,418.70,36.05,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94103,,BEL,,2026-05-26,2026-05-26,365.00,CE,BEL26MAY365CE,0.00,0.00,0.00,47.45,0.00,47.45,418.70,59.40,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87440,,BEL,,2026-05-26,2026-05-26,410.00,CE,BEL26MAY410CE,0.00,0.00,0.00,49.15,0.00,49.15,418.70,26.70,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87467,,BEL,,2026-05-26,2026-05-26,460.00,CE,BEL26MAY460CE,0.00,0.00,0.00,24.55,0.00,24.55,418.70,7.60,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87469,,BEL,,2026-05-26,2026-05-26,470.00,CE,BEL26MAY470CE,0.00,0.00,0.00,28.00,28.00,28.00,418.70,5.65,11400,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87471,,BEL,,2026-05-26,2026-05-26,480.00,CE,BEL26MAY480CE,0.00,0.00,0.00,7.80,7.80,7.80,418.70,4.10,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87182,,BEL,,2026-04-28,2026-04-28,405.00,PE,BEL26APR405PE,10.05,10.85,7.00,9.75,9.70,18.40,418.70,9.75,655500,-19950,1314,773922060.00,1102,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90138,,BEL,,2026-04-28,2026-04-28,520.00,PE,BEL26APR520PE,0.00,0.00,0.00,97.00,97.00,97.00,418.70,99.25,2850,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87318,,BEL,,2026-05-26,2026-05-26,340.00,PE,BEL26MAY340PE,0.00,0.00,0.00,3.90,3.90,3.90,418.70,0.70,5700,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,87439,,BEL,,2026-05-26,2026-05-26,400.00,PE,BEL26MAY400PE,11.00,12.85,10.00,12.40,12.00,21.10,418.70,12.40,125400,48450,85,49832891.25,82,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94144,,BEL,,2026-05-26,2026-05-26,455.00,PE,BEL26MAY455PE,0.00,0.00,0.00,56.85,0.00,56.85,418.70,41.30,0,0,0,0.00,0,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90072,,BEL,,2026-04-28,2026-04-28,430.00,CE,BEL26APR430CE,11.10,18.10,9.50,11.80,12.10,6.90,418.70,11.80,2372625,974700,10415,6595634088.75,8428,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90092,,BEL,,2026-04-28,2026-04-28,450.00,CE,BEL26APR450CE,5.35,9.40,4.20,5.50,5.70,3.20,418.70,5.50,3216225,417525,8425,5484744202.50,6177,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,90133,,BEL,,2026-04-28,2026-04-28,500.00,CE,BEL26APR500CE,1.00,1.70,0.75,0.95,1.00,0.75,418.70,0.95,4113975,698250,3660,2613697665.00,1843,F1,1425,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,94354,,BEL,,2026-06-30,2026-06-30,390.00,PE,BEL26JUN390PE,0.00,0.00,0.00,21.10,0.00,21.10,418.70,11.60,0,0,0,0.00,0,F1,1425,,,,,
