TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,NSE,STO,122621,,HYUNDAI,,2026-05-26,2026-05-26,1480.00,PE,HYUNDAI26MAY1480PE,0.00,0.00,0.00,5.85,0.00,5.85,1716.15,5.45,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122336,,HYUNDAI,,2026-04-28,2026-04-28,1700.00,PE,HYUNDAI26APR1700PE,25.00,84.95,25.00,68.00,65.00,28.40,1716.15,68.00,43175,43175,353,172033977.50,310,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,123000,,HYUNDAI,,2026-06-30,2026-06-30,1680.00,CE,HYUNDAI26JUN1680CE,0.00,0.00,0.00,187.10,0.00,187.10,1716.15,124.50,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122996,,HYUNDAI,,2026-06-30,2026-06-30,1600.00,CE,HYUNDAI26JUN1600CE,0.00,0.00,0.00,242.10,0.00,242.10,1716.15,175.05,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122355,,HYUNDAI,,2026-04-28,2026-04-28,1900.00,CE,HYUNDAI26APR1900CE,25.55,38.25,18.60,21.20,21.45,25.05,1716.15,21.20,11275,11275,111,58799537.50,109,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122695,,HYUNDAI,,2026-05-26,2026-05-26,1960.00,CE,HYUNDAI26MAY1960CE,0.00,0.00,0.00,35.60,0.00,35.60,1716.15,11.85,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122363,,HYUNDAI,,2026-04-28,2026-04-28,1940.00,CE,HYUNDAI26APR1940CE,16.00,16.00,16.00,16.00,16.00,16.90,1716.15,3.35,275,275,1,537900.00,1,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122624,,HYUNDAI,,2026-05-26,2026-05-26,1520.00,CE,HYUNDAI26MAY1520CE,0.00,0.00,0.00,284.20,0.00,284.20,1716.15,218.15,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122681,,HYUNDAI,,2026-05-26,2026-05-26,1820.00,CE,HYUNDAI26MAY1820CE,0.00,0.00,0.00,80.90,0.00,80.90,1716.15,39.00,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,123002,,HYUNDAI,,2026-06-30,2026-06-30,1720.00,CE,HYUNDAI26JUN1720CE,0.00,0.00,0.00,162.80,0.00,162.80,1716.15,103.20,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122684,,HYUNDAI,,2026-05-26,2026-05-26,1840.00,PE,HYUNDAI26MAY1840PE,0.00,0.00,0.00,114.25,0.00,114.25,1716.15,142.05,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122997,,HYUNDAI,,2026-06-30,2026-06-30,1600.00,PE,HYUNDAI26JUN1600PE,0.00,0.00,0.00,35.45,0.00,35.45,1716.15,37.35,0,0,0,0.00,0,F1,275,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,122237,,HYUNDAI,,2026-04-28,2026-04-28,1520.00,CE,HYUNDAI26APR1520CE,0.00,0.00,0.00,268.70,0.00,268.70,1716.15,204.70,0,0,0,0.00,0,F1,275,,,,,
