TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,NSE,STO,135605,,KFINTECH,,2026-04-28,2026-04-28,1010.00,CE,KFINTECH26APR1010CE,0.00,0.00,0.00,10.90,0.00,10.90,903.00,9.65,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135904,,KFINTECH,,2026-05-26,2026-05-26,820.00,CE,KFINTECH26MAY820CE,0.00,0.00,0.00,103.15,0.00,103.15,903.00,111.10,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,136025,,KFINTECH,,2026-06-30,2026-06-30,960.00,CE,KFINTECH26JUN960CE,0.00,0.00,0.00,60.20,0.00,60.20,903.00,55.75,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,136026,,KFINTECH,,2026-06-30,2026-06-30,960.00,PE,KFINTECH26JUN960PE,0.00,0.00,0.00,126.45,0.00,126.45,903.00,99.80,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135910,,KFINTECH,,2026-05-26,2026-05-26,860.00,CE,KFINTECH26MAY860CE,0.00,0.00,0.00,80.55,0.00,80.55,903.00,84.80,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121257,,KFINTECH,,2026-05-26,2026-05-26,920.00,CE,KFINTECH26MAY920CE,0.00,0.00,0.00,149.70,0.00,149.70,903.00,53.55,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121282,,KFINTECH,,2026-05-26,2026-05-26,1000.00,CE,KFINTECH26MAY1000CE,0.00,0.00,0.00,22.60,22.60,22.60,903.00,26.30,500,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121292,,KFINTECH,,2026-05-26,2026-05-26,1120.00,CE,KFINTECH26MAY1120CE,0.00,0.00,0.00,60.85,0.00,60.85,903.00,7.50,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,136012,,KFINTECH,,2026-06-30,2026-06-30,820.00,PE,KFINTECH26JUN820PE,0.00,0.00,0.00,51.90,0.00,51.90,903.00,32.80,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121062,,KFINTECH,,2026-04-28,2026-04-28,820.00,PE,KFINTECH26APR820PE,19.10,19.35,15.25,16.90,17.10,29.95,903.00,16.90,40500,10500,34,14231025.00,30,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135558,,KFINTECH,,2026-04-28,2026-04-28,950.00,PE,KFINTECH26APR950PE,0.00,0.00,0.00,91.10,0.00,91.10,903.00,66.60,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135913,,KFINTECH,,2026-05-26,2026-05-26,870.00,PE,KFINTECH26MAY870PE,0.00,0.00,0.00,59.30,0.00,59.30,903.00,38.70,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135918,,KFINTECH,,2026-05-26,2026-05-26,910.00,CE,KFINTECH26MAY910CE,0.00,0.00,0.00,57.55,0.00,57.55,903.00,58.10,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135930,,KFINTECH,,2026-05-26,2026-05-26,990.00,CE,KFINTECH26MAY990CE,0.00,0.00,0.00,31.75,0.00,31.75,903.00,28.95,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135938,,KFINTECH,,2026-05-26,2026-05-26,1050.00,CE,KFINTECH26MAY1050CE,0.00,0.00,0.00,19.50,0.00,19.50,903.00,16.00,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135548,,KFINTECH,,2026-04-28,2026-04-28,850.00,PE,KFINTECH26APR850PE,0.00,0.00,0.00,33.05,0.00,33.05,903.00,17.35,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121068,,KFINTECH,,2026-04-28,2026-04-28,940.00,PE,KFINTECH26APR940PE,69.65,72.20,65.80,71.35,71.85,87.55,903.00,71.35,8500,1000,18,9089150.00,18,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,136034,,KFINTECH,,2026-06-30,2026-06-30,1040.00,PE,KFINTECH26JUN1040PE,0.00,0.00,0.00,183.00,0.00,183.00,903.00,155.15,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,136030,,KFINTECH,,2026-06-30,2026-06-30,1000.00,PE,KFINTECH26JUN1000PE,0.00,0.00,0.00,153.65,0.00,153.65,903.00,126.15,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121231,,KFINTECH,,2026-05-26,2026-05-26,840.00,PE,KFINTECH26MAY840PE,0.00,0.00,0.00,28.05,0.00,28.05,903.00,27.45,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135905,,KFINTECH,,2026-05-26,2026-05-26,820.00,PE,KFINTECH26MAY820PE,0.00,0.00,0.00,37.55,0.00,37.55,903.00,21.30,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,133854,,KFINTECH,,2026-04-28,2026-04-28,1120.00,PE,KFINTECH26APR1120PE,0.00,0.00,0.00,203.00,203.00,203.00,903.00,213.80,500,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,133776,,KFINTECH,,2026-04-28,2026-04-28,960.00,PE,KFINTECH26APR960PE,82.50,82.50,80.40,80.50,80.50,110.00,903.00,73.55,12500,-500,6,3122500.00,6,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121057,,KFINTECH,,2026-04-28,2026-04-28,740.00,CE,KFINTECH26APR740CE,0.00,0.00,0.00,274.65,0.00,274.65,903.00,167.30,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135522,,KFINTECH,,2026-04-28,2026-04-28,810.00,CE,KFINTECH26APR810CE,0.00,0.00,0.00,90.00,0.00,90.00,903.00,104.25,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,133763,,KFINTECH,,2026-04-28,2026-04-28,840.00,CE,KFINTECH26APR840CE,71.00,71.00,67.40,67.40,67.40,86.75,903.00,67.40,500,0,3,1364675.00,3,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121063,,KFINTECH,,2026-04-28,2026-04-28,860.00,CE,KFINTECH26APR860CE,61.95,63.20,58.20,58.20,58.20,63.20,903.00,67.00,20000,-8000,26,11969950.00,26,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135683,,KFINTECH,,2026-04-28,2026-04-28,1030.00,CE,KFINTECH26APR1030CE,0.00,0.00,0.00,8.35,0.00,8.35,903.00,6.95,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121225,,KFINTECH,,2026-05-26,2026-05-26,800.00,PE,KFINTECH26MAY800PE,0.00,0.00,0.00,19.10,0.00,19.10,903.00,16.20,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,121283,,KFINTECH,,2026-05-26,2026-05-26,1000.00,PE,KFINTECH26MAY1000PE,130.00,130.00,130.00,130.00,130.00,140.00,903.00,115.05,0,-500,1,565000.00,1,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135919,,KFINTECH,,2026-05-26,2026-05-26,910.00,PE,KFINTECH26MAY910PE,0.00,0.00,0.00,80.95,0.00,80.95,903.00,57.55,0,0,0,0.00,0,F1,500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,135603,,KFINTECH,,2026-04-28,2026-04-28,990.00,CE,KFINTECH26APR990CE,0.00,0.00,0.00,14.10,0.00,14.10,903.00,13.20,0,0,0,0.00,0,F1,500,,,,,
