TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,NSE,STO,137572,,LTF,,2026-04-28,2026-04-28,280.00,PE,LTF26APR280PE,34.47,36.32,31.55,35.91,36.00,41.00,244.65,35.91,195750,24750,88,62248477.50,59,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,137564,,LTF,,2026-04-28,2026-04-28,240.00,PE,LTF26APR240PE,9.97,10.00,6.76,9.11,9.20,12.85,244.65,9.11,884250,72000,839,469035697.50,739,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,140024,,LTF,,2026-06-30,2026-06-30,220.00,CE,LTF26JUN220CE,0.00,0.00,0.00,32.65,0.00,32.65,244.65,32.84,0,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,124729,,LTF,,2026-05-26,2026-05-26,270.00,CE,LTF26MAY270CE,7.80,7.80,7.80,7.80,7.80,5.50,244.65,4.74,2250,-11250,5,3125250.00,1,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,139978,,LTF,,2026-05-26,2026-05-26,265.00,CE,LTF26MAY265CE,0.00,0.00,0.00,7.05,0.00,7.05,244.65,5.96,0,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,139972,,LTF,,2026-05-26,2026-05-26,235.00,CE,LTF26MAY235CE,0.00,0.00,0.00,18.95,0.00,18.95,244.65,18.97,0,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,137573,,LTF,,2026-04-28,2026-04-28,290.00,CE,LTF26APR290CE,1.56,1.57,1.01,1.04,1.01,1.20,244.65,1.04,526500,-4500,158,103548015.00,142,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,137565,,LTF,,2026-04-28,2026-04-28,250.00,CE,LTF26APR250CE,12.00,13.61,9.10,9.49,9.55,8.90,244.65,9.49,1977750,213750,1814,1063186560.00,1627,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,137576,,LTF,,2026-04-28,2026-04-28,300.00,PE,LTF26APR300PE,52.00,54.26,49.95,50.15,50.15,59.75,244.65,54.25,2835000,-22500,53,42015262.50,22,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,124543,,LTF,,2026-04-28,2026-04-28,295.00,PE,LTF26APR295PE,0.00,0.00,0.00,55.05,55.05,55.05,244.65,49.35,9000,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,137557,,LTF,,2026-04-28,2026-04-28,210.00,CE,LTF26APR210CE,39.54,40.95,36.45,40.95,40.95,35.10,244.65,35.85,76500,38250,43,24073042.50,34,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,124779,,LTF,,2026-05-26,2026-05-26,330.00,PE,LTF26MAY330PE,0.00,0.00,0.00,39.20,0.00,39.20,244.65,82.78,0,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,140023,,LTF,,2026-06-30,2026-06-30,210.00,PE,LTF26JUN210PE,0.00,0.00,0.00,5.65,0.00,5.65,244.65,3.07,0,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,137575,,LTF,,2026-04-28,2026-04-28,300.00,CE,LTF26APR300CE,1.00,1.20,0.63,0.64,0.64,0.85,244.65,0.64,6988500,-105750,1251,846716760.00,838,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,124708,,LTF,,2026-05-26,2026-05-26,250.00,CE,LTF26MAY250CE,0.00,0.00,0.00,55.65,0.00,55.65,244.65,11.13,0,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,140121,,LTF,,2026-06-30,2026-06-30,270.00,PE,LTF26JUN270PE,0.00,0.00,0.00,34.95,0.00,34.95,244.65,29.88,0,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,140120,,LTF,,2026-06-30,2026-06-30,270.00,CE,LTF26JUN270CE,0.00,0.00,0.00,9.95,0.00,9.95,244.65,8.17,0,0,0,0.00,0,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,137568,,LTF,,2026-04-28,2026-04-28,260.00,PE,LTF26APR260PE,19.43,20.66,17.88,19.92,19.92,24.80,244.65,19.92,1320750,-58500,219,137649420.00,88,F1,2250,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,124551,,LTF,,2026-04-28,2026-04-28,335.00,PE,LTF26APR335PE,0.00,0.00,0.00,79.50,79.50,79.50,244.65,88.99,11250,0,0,0.00,0,F1,2250,,,,,
