TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-01,2026-04-01,FO,NSE,STO,175043,,TATASTEEL,,2026-06-30,2026-06-30,195.00,PE,TATASTEEL26JUN195PE,0.00,0.00,0.00,13.81,0.00,13.81,194.60,10.63,0,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,158467,,TATASTEEL,,2026-04-28,2026-04-28,225.00,CE,TATASTEEL26APR225CE,0.80,0.83,0.55,0.56,0.57,0.58,194.60,0.56,1045000,412500,294,364997380.00,253,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,158749,,TATASTEEL,,2026-05-26,2026-05-26,156.00,CE,TATASTEEL26MAY156CE,0.00,0.00,0.00,56.08,0.00,56.08,194.60,40.10,0,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,174956,,TATASTEEL,,2026-05-26,2026-05-26,165.00,CE,TATASTEEL26MAY165CE,0.00,0.00,0.00,30.34,0.00,30.34,194.60,31.64,0,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,174970,,TATASTEEL,,2026-05-26,2026-05-26,187.50,CE,TATASTEEL26MAY187.5CE,0.00,0.00,0.00,14.32,0.00,14.32,194.60,13.98,0,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,174972,,TATASTEEL,,2026-05-26,2026-05-26,192.50,CE,TATASTEEL26MAY192.5CE,0.00,0.00,0.00,11.70,0.00,11.70,194.60,11.09,0,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,47833,,TATASTEEL,,2026-04-28,2026-04-28,161.00,PE,TATASTEEL26APR161PE,0.00,0.00,0.00,1.33,1.33,1.33,194.60,0.05,225500,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,169575,,TATASTEEL,,2026-04-28,2026-04-28,190.00,PE,TATASTEEL26APR190PE,4.39,4.99,3.24,4.80,4.89,6.81,194.60,4.80,6121500,-192500,1246,1331497310.00,1092,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,47900,,TATASTEEL,,2026-05-26,2026-05-26,162.00,PE,TATASTEEL26MAY162PE,0.00,0.00,0.00,1.44,0.00,1.44,194.60,0.47,0,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,174971,,TATASTEEL,,2026-05-26,2026-05-26,187.50,PE,TATASTEEL26MAY187.5PE,0.00,0.00,0.00,7.89,0.00,7.89,194.60,5.33,0,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,158778,,TATASTEEL,,2026-05-26,2026-05-26,192.00,PE,TATASTEEL26MAY192PE,0.00,0.00,0.00,5.55,0.00,5.55,194.60,7.17,0,0,0,0.00,0,F1,5500,,,,,
2026-04-01,2026-04-01,FO,NSE,STO,158786,,TATASTEEL,,2026-05-26,2026-05-26,200.00,PE,TATASTEEL26MAY200PE,13.23,13.23,11.05,12.03,12.03,8.25,194.60,11.29,22000,22000,8,9313040.00,8,F1,5500,,,,,
