TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-02,2026-04-02,FO,NSE,STO,89731,,BDL,,2026-04-28,2026-04-28,1040.00,CE,BDL26APR1040CE,0.00,0.00,0.00,172.10,172.10,172.10,1185.60,158.05,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86785,,BDL,,2026-04-28,2026-04-28,1180.00,PE,BDL26APR1180PE,62.00,71.10,57.05,61.40,62.35,50.45,1185.60,61.40,59850,-35000,755,328854242.50,571,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89740,,BDL,,2026-04-28,2026-04-28,1200.00,PE,BDL26APR1200PE,65.00,82.30,65.00,71.65,72.60,58.60,1185.60,71.65,257250,-9100,1075,479717000.00,910,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86884,,BDL,,2026-04-28,2026-04-28,1420.00,PE,BDL26APR1420PE,0.00,0.00,0.00,300.40,300.40,300.40,1185.60,233.50,350,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,87020,,BDL,,2026-05-26,2026-05-26,1240.00,PE,BDL26MAY1240PE,0.00,0.00,0.00,114.90,0.00,114.90,1185.60,106.40,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,87110,,BDL,,2026-05-26,2026-05-26,1400.00,PE,BDL26MAY1400PE,0.00,0.00,0.00,212.25,0.00,212.25,1185.60,224.10,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93856,,BDL,,2026-06-30,2026-06-30,1080.00,PE,BDL26JUN1080PE,0.00,0.00,0.00,93.70,0.00,93.70,1185.60,49.75,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93879,,BDL,,2026-06-30,2026-06-30,1200.00,PE,BDL26JUN1200PE,0.00,0.00,0.00,162.25,0.00,162.25,1185.60,102.80,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89746,,BDL,,2026-04-28,2026-04-28,1320.00,PE,BDL26APR1320PE,0.00,0.00,0.00,223.00,223.00,223.00,1185.60,144.90,350,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,87073,,BDL,,2026-05-26,2026-05-26,1360.00,PE,BDL26MAY1360PE,0.00,0.00,0.00,185.35,0.00,185.35,1185.60,191.45,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93749,,BDL,,2026-05-26,2026-05-26,1300.00,PE,BDL26MAY1300PE,0.00,0.00,0.00,218.65,0.00,218.65,1185.60,146.20,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,87018,,BDL,,2026-05-26,2026-05-26,1200.00,PE,BDL26MAY1200PE,0.00,0.00,0.00,95.30,0.00,95.30,1185.60,83.35,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93713,,BDL,,2026-05-26,2026-05-26,1180.00,PE,BDL26MAY1180PE,0.00,0.00,0.00,130.70,0.00,130.70,1185.60,72.95,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89725,,BDL,,2026-04-28,2026-04-28,880.00,CE,BDL26APR880CE,0.00,0.00,0.00,318.45,318.45,318.45,1185.60,309.25,2100,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,41707,,BDL,,2026-04-28,2026-04-28,1000.00,CE,BDL26APR1000CE,203.90,203.90,203.90,203.90,203.90,206.95,1185.60,203.90,9450,350,1,421365.00,1,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89751,,BDL,,2026-04-28,2026-04-28,1440.00,CE,BDL26APR1440CE,5.80,5.80,3.30,5.35,5.35,6.65,1185.60,5.35,31500,2100,36,18197445.00,36,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93708,,BDL,,2026-05-26,2026-05-26,1100.00,CE,BDL26MAY1100CE,0.00,0.00,0.00,92.50,0.00,92.50,1185.60,133.80,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,87006,,BDL,,2026-05-26,2026-05-26,1120.00,CE,BDL26MAY1120CE,0.00,0.00,0.00,200.70,0.00,200.70,1185.60,121.20,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,87109,,BDL,,2026-05-26,2026-05-26,1400.00,CE,BDL26MAY1400CE,0.00,0.00,0.00,75.45,0.00,75.45,1185.60,21.05,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93880,,BDL,,2026-06-30,2026-06-30,1240.00,CE,BDL26JUN1240CE,0.00,0.00,0.00,67.85,0.00,67.85,1185.60,87.45,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86771,,BDL,,2026-04-28,2026-04-28,1020.00,PE,BDL26APR1020PE,14.50,16.60,12.55,13.40,12.75,10.40,1185.60,13.40,24500,-18900,172,62307087.50,172,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89749,,BDL,,2026-04-28,2026-04-28,1400.00,CE,BDL26APR1400CE,6.80,8.60,4.85,8.30,7.65,10.00,1185.60,8.30,341950,10500,1097,539954695.00,684,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86973,,BDL,,2026-05-26,2026-05-26,1040.00,CE,BDL26MAY1040CE,0.00,0.00,0.00,254.60,0.00,254.60,1185.60,176.20,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93706,,BDL,,2026-05-26,2026-05-26,1060.00,CE,BDL26MAY1060CE,0.00,0.00,0.00,112.75,0.00,112.75,1185.60,161.30,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93710,,BDL,,2026-05-26,2026-05-26,1140.00,CE,BDL26MAY1140CE,0.00,0.00,0.00,75.10,0.00,75.10,1185.60,109.35,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93882,,BDL,,2026-06-30,2026-06-30,1280.00,CE,BDL26JUN1280CE,0.00,0.00,0.00,57.00,0.00,57.00,1185.60,72.75,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,41708,,BDL,,2026-04-28,2026-04-28,1000.00,PE,BDL26APR1000PE,8.15,13.25,8.15,10.40,9.95,8.25,1185.60,10.40,233800,36050,445,157553742.50,336,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89744,,BDL,,2026-04-28,2026-04-28,1280.00,PE,BDL26APR1280PE,124.25,132.50,118.30,122.65,124.30,102.65,1185.60,122.65,37450,11900,86,42259595.00,70,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93707,,BDL,,2026-05-26,2026-05-26,1060.00,PE,BDL26MAY1060PE,0.00,0.00,0.00,64.45,0.00,64.45,1185.60,27.15,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93717,,BDL,,2026-05-26,2026-05-26,1260.00,PE,BDL26MAY1260PE,0.00,0.00,0.00,187.35,0.00,187.35,1185.60,119.00,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,87067,,BDL,,2026-05-26,2026-05-26,1320.00,PE,BDL26MAY1320PE,0.00,0.00,0.00,160.05,0.00,160.05,1185.60,160.75,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93883,,BDL,,2026-06-30,2026-06-30,1280.00,PE,BDL26JUN1280PE,0.00,0.00,0.00,217.50,0.00,217.50,1185.60,150.10,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86866,,BDL,,2026-04-28,2026-04-28,1380.00,CE,BDL26APR1380CE,8.00,10.30,6.55,9.70,9.10,12.55,1185.60,9.70,12600,-2450,54,26239412.50,48,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93709,,BDL,,2026-05-26,2026-05-26,1100.00,PE,BDL26MAY1100PE,0.00,0.00,0.00,83.75,0.00,83.75,1185.60,39.30,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93887,,BDL,,2026-06-30,2026-06-30,1360.00,PE,BDL26JUN1360PE,0.00,0.00,0.00,278.95,0.00,278.95,1185.60,205.65,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86972,,BDL,,2026-05-26,2026-05-26,1000.00,PE,BDL26MAY1000PE,0.00,0.00,0.00,27.85,0.00,27.85,1185.60,14.20,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86788,,BDL,,2026-04-28,2026-04-28,1220.00,PE,BDL26APR1220PE,85.00,94.25,78.90,83.45,85.90,68.30,1185.60,83.45,46550,14350,232,106004500.00,219,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89736,,BDL,,2026-04-28,2026-04-28,1120.00,PE,BDL26APR1120PE,35.05,43.70,33.95,37.20,37.10,28.85,1185.60,37.20,35700,-700,335,135862632.50,304,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86971,,BDL,,2026-05-26,2026-05-26,1000.00,CE,BDL26MAY1000CE,0.00,0.00,0.00,284.40,0.00,284.40,1185.60,207.90,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86871,,BDL,,2026-04-28,2026-04-28,1420.00,CE,BDL26APR1420CE,0.00,0.00,0.00,8.15,8.10,8.15,1185.60,4.65,4200,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86789,,BDL,,2026-04-28,2026-04-28,1260.00,CE,BDL26APR1260CE,30.60,34.65,25.00,32.75,30.95,41.35,1185.60,32.75,74900,-15750,555,250485392.50,417,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89737,,BDL,,2026-04-28,2026-04-28,1160.00,CE,BDL26APR1160CE,73.65,78.60,64.40,75.30,72.65,90.35,1185.60,75.30,54600,11200,397,171147760.00,359,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89735,,BDL,,2026-04-28,2026-04-28,1120.00,CE,BDL26APR1120CE,93.20,102.60,87.90,100.65,100.55,117.50,1185.60,100.65,46900,-3150,103,43804110.00,75,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93865,,BDL,,2026-06-30,2026-06-30,1120.00,PE,BDL26JUN1120PE,0.00,0.00,0.00,114.45,0.00,114.45,1185.60,64.95,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,87010,,BDL,,2026-05-26,2026-05-26,1160.00,CE,BDL26MAY1160CE,0.00,0.00,0.00,176.90,0.00,176.90,1185.60,98.35,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,89768,,BDL,,2026-04-28,2026-04-28,1560.00,PE,BDL26APR1560PE,0.00,0.00,0.00,430.00,430.00,430.00,1185.60,368.95,1400,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,93715,,BDL,,2026-05-26,2026-05-26,1220.00,PE,BDL26MAY1220PE,0.00,0.00,0.00,157.90,0.00,157.90,1185.60,94.50,0,0,0,0.00,0,F1,350,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,86925,,BDL,,2026-04-28,2026-04-28,1500.00,PE,BDL26APR1500PE,0.00,0.00,0.00,298.00,298.00,298.00,1185.60,310.05,33250,0,0,0.00,0,F1,350,,,,,
