TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-02,2026-04-02,FO,NSE,STO,91960,,CANBK,,2026-05-26,2026-05-26,142.00,PE,CANBK26MAY142PE,0.00,0.00,0.00,4.05,0.00,4.05,127.05,15.65,0,0,0,0.00,0,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,99082,,CANBK,,2026-06-30,2026-06-30,132.00,PE,CANBK26JUN132PE,0.00,0.00,0.00,13.06,0.00,13.06,127.05,9.81,0,0,0,0.00,0,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,91633,,CANBK,,2026-04-28,2026-04-28,135.00,CE,CANBK26APR135CE,1.80,2.95,1.63,2.77,2.81,2.99,127.05,2.77,5832000,364500,781,722534580.00,655,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,91651,,CANBK,,2026-04-28,2026-04-28,143.00,CE,CANBK26APR143CE,0.72,1.16,0.63,1.09,1.12,1.20,127.05,1.09,668250,-13500,39,37846102.50,38,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,91883,,CANBK,,2026-05-26,2026-05-26,122.00,CE,CANBK26MAY122CE,0.00,0.00,0.00,37.74,0.00,37.74,127.05,9.58,0,0,0,0.00,0,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,99050,,CANBK,,2026-06-30,2026-06-30,124.00,PE,CANBK26JUN124PE,0.00,0.00,0.00,8.54,0.00,8.54,127.05,5.73,0,0,0,0.00,0,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,91943,,CANBK,,2026-05-26,2026-05-26,136.00,CE,CANBK26MAY136CE,0.00,0.00,0.00,25.86,0.00,25.86,127.05,3.26,0,0,0,0.00,0,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,99043,,CANBK,,2026-06-30,2026-06-30,118.00,CE,CANBK26JUN118CE,0.00,0.00,0.00,13.40,0.00,13.40,127.05,14.12,0,0,0,0.00,0,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,41858,,CANBK,,2026-04-28,2026-04-28,110.00,PE,CANBK26APR110PE,1.60,2.20,1.12,1.20,1.20,1.09,127.05,1.20,1599750,121500,343,258638940.00,292,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,36816,,CANBK,,2026-04-28,2026-04-28,114.00,PE,CANBK26APR114PE,3.00,3.04,1.67,1.76,1.80,3.03,127.05,1.76,128250,27000,39,30658027.50,39,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,91613,,CANBK,,2026-04-28,2026-04-28,123.00,PE,CANBK26APR123PE,6.24,6.62,3.80,4.02,4.10,3.78,127.05,4.02,378000,216000,153,132807802.50,147,F1,6750,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,96238,,CANBK,,2026-04-28,2026-04-28,158.00,PE,CANBK26APR158PE,0.00,0.00,0.00,17.80,17.80,17.80,127.05,30.36,33750,0,0,0.00,0,F1,6750,,,,,
