TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-02,2026-04-02,FO,NSE,STO,53883,,POWERINDIA,,2026-04-28,2026-04-28,27500.00,PE,POWERINDIA26APR27500PE,0.00,0.00,0.00,6117.05,0.00,6117.05,25325.80,2632.80,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146223,,POWERINDIA,,2026-05-26,2026-05-26,22500.00,PE,POWERINDIA26MAY22500PE,0.00,0.00,0.00,1601.50,0.00,1601.50,25325.80,652.90,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146225,,POWERINDIA,,2026-05-26,2026-05-26,23000.00,PE,POWERINDIA26MAY23000PE,0.00,0.00,0.00,1806.00,0.00,1806.00,25325.80,801.25,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146442,,POWERINDIA,,2026-05-26,2026-05-26,27500.00,PE,POWERINDIA26MAY27500PE,0.00,0.00,0.00,4252.30,0.00,4252.30,25325.80,3078.15,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,152896,,POWERINDIA,,2026-04-28,2026-04-28,21000.00,CE,POWERINDIA26APR21000CE,0.00,0.00,0.00,4176.10,4176.10,4176.10,25325.80,4498.75,750,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146226,,POWERINDIA,,2026-05-26,2026-05-26,23500.00,CE,POWERINDIA26MAY23500CE,0.00,0.00,0.00,3814.65,0.00,3814.65,25325.80,2986.55,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146455,,POWERINDIA,,2026-05-26,2026-05-26,28000.00,CE,POWERINDIA26MAY28000CE,0.00,0.00,0.00,1948.95,0.00,1948.95,25325.80,980.75,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,152897,,POWERINDIA,,2026-04-28,2026-04-28,21000.00,PE,POWERINDIA26APR21000PE,170.00,248.00,121.10,130.00,141.75,137.00,25325.80,130.00,2800,100,95,100569360.00,86,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,153011,,POWERINDIA,,2026-04-28,2026-04-28,23000.00,PE,POWERINDIA26APR23000PE,542.15,650.00,340.10,360.75,391.80,379.00,25325.80,360.75,6450,1200,152,178465502.50,119,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,164000,,POWERINDIA,,2026-06-30,2026-06-30,25000.00,PE,POWERINDIA26JUN25000PE,0.00,0.00,0.00,2962.20,0.00,2962.20,25325.80,2061.85,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146114,,POWERINDIA,,2026-05-26,2026-05-26,21000.00,CE,POWERINDIA26MAY21000CE,0.00,0.00,0.00,5323.55,0.00,5323.55,25325.80,4818.45,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STF,66988,,POWERINDIA,,2026-04-28,2026-04-28,,,POWERINDIA26APRFUT,24900.00,25545.00,24220.00,25450.00,25515.00,25120.00,25325.80,25450.00,284400,4650,1890,2340078250.00,1663,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,153012,,POWERINDIA,,2026-04-28,2026-04-28,24000.00,CE,POWERINDIA26APR24000CE,1400.00,2100.00,1267.00,2069.05,2045.00,1756.55,25325.80,2069.05,10350,300,65,83280487.50,45,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146224,,POWERINDIA,,2026-05-26,2026-05-26,23000.00,CE,POWERINDIA26MAY23000CE,0.00,0.00,0.00,4087.75,0.00,4087.75,25325.80,3313.45,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,47887,,POWERINDIA,,2026-04-28,2026-04-28,29000.00,PE,POWERINDIA26APR29000PE,0.00,0.00,0.00,9153.50,0.00,9153.50,25325.80,3841.20,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146432,,POWERINDIA,,2026-05-26,2026-05-26,26500.00,PE,POWERINDIA26MAY26500PE,0.00,0.00,0.00,3620.65,0.00,3620.65,25325.80,2430.85,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146438,,POWERINDIA,,2026-05-26,2026-05-26,27000.00,PE,POWERINDIA26MAY27000PE,0.00,0.00,0.00,3930.75,0.00,3930.75,25325.80,2745.35,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STF,66342,,POWERINDIA,,2026-05-26,2026-05-26,,,POWERINDIA26MAYFUT,24810.00,25590.00,24320.00,25495.00,25530.00,25190.00,25325.80,25495.00,9600,500,183,227433500.00,172,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,152894,,POWERINDIA,,2026-04-28,2026-04-28,20500.00,CE,POWERINDIA26APR20500CE,4249.95,5084.00,4249.95,5081.50,5084.00,5123.70,25325.80,5081.50,250,-250,8,10051152.50,4,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,37523,,POWERINDIA,,2026-04-28,2026-04-28,23500.00,CE,POWERINDIA26APR23500CE,0.00,0.00,0.00,1900.00,1900.00,1900.00,25325.80,2439.05,400,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,145969,,POWERINDIA,,2026-04-28,2026-04-28,24750.00,PE,POWERINDIA26APR24750PE,1332.30,1332.30,846.45,866.35,875.00,950.05,25325.80,866.35,9650,8300,299,386895710.00,156,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146431,,POWERINDIA,,2026-05-26,2026-05-26,26500.00,CE,POWERINDIA26MAY26500CE,0.00,0.00,0.00,2460.05,0.00,2460.05,25325.80,1471.40,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146118,,POWERINDIA,,2026-05-26,2026-05-26,22000.00,CE,POWERINDIA26MAY22000CE,0.00,0.00,0.00,4676.50,0.00,4676.50,25325.80,4028.50,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,164004,,POWERINDIA,,2026-06-30,2026-06-30,27000.00,PE,POWERINDIA26JUN27000PE,0.00,0.00,0.00,4193.35,0.00,4193.35,25325.80,3182.90,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,164002,,POWERINDIA,,2026-06-30,2026-06-30,26000.00,PE,POWERINDIA26JUN26000PE,0.00,0.00,0.00,3553.05,0.00,3553.05,25325.80,2591.20,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,47886,,POWERINDIA,,2026-04-28,2026-04-28,29000.00,CE,POWERINDIA26APR29000CE,120.00,222.10,84.30,206.05,215.55,152.15,25325.80,206.05,11700,400,589,857984432.50,508,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,163999,,POWERINDIA,,2026-06-30,2026-06-30,25000.00,CE,POWERINDIA26JUN25000CE,0.00,0.00,0.00,2645.00,0.00,2645.00,25325.80,2720.70,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,163995,,POWERINDIA,,2026-06-30,2026-06-30,23000.00,CE,POWERINDIA26JUN23000CE,0.00,0.00,0.00,3590.45,0.00,3590.45,25325.80,3834.45,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,145904,,POWERINDIA,,2026-04-28,2026-04-28,22750.00,CE,POWERINDIA26APR22750CE,0.00,0.00,0.00,2935.05,2935.05,2935.05,25325.80,2997.90,100,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,145978,,POWERINDIA,,2026-04-28,2026-04-28,25750.00,CE,POWERINDIA26APR25750CE,901.75,1051.85,805.15,1039.20,1030.00,889.45,25325.80,1039.20,450,0,9,12014065.00,8,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,152905,,POWERINDIA,,2026-04-28,2026-04-28,22500.00,PE,POWERINDIA26APR22500PE,444.00,510.00,261.00,280.35,261.00,295.20,25325.80,280.35,6000,-250,71,81253350.00,63,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,37526,,POWERINDIA,,2026-04-28,2026-04-28,27000.00,PE,POWERINDIA26APR27000PE,0.00,0.00,0.00,2950.00,2950.00,2950.00,25325.80,2271.25,400,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146347,,POWERINDIA,,2026-05-26,2026-05-26,24500.00,PE,POWERINDIA26MAY24500PE,0.00,0.00,0.00,2503.70,0.00,2503.70,25325.80,1372.40,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146456,,POWERINDIA,,2026-05-26,2026-05-26,28000.00,PE,POWERINDIA26MAY28000PE,0.00,0.00,0.00,4584.85,0.00,4584.85,25325.80,3428.00,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,40721,,POWERINDIA,,2026-04-28,2026-04-28,28000.00,CE,POWERINDIA26APR28000CE,225.00,369.50,152.30,345.15,369.50,269.00,25325.80,345.15,7700,750,328,462996775.00,276,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,53877,,POWERINDIA,,2026-04-28,2026-04-28,27500.00,CE,POWERINDIA26APR27500CE,255.00,470.40,213.25,446.60,470.40,351.70,25325.80,446.60,3300,1600,207,288886020.00,143,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,152900,,POWERINDIA,,2026-04-28,2026-04-28,21500.00,CE,POWERINDIA26APR21500CE,0.00,0.00,0.00,3500.00,3500.00,3500.00,25325.80,4047.00,100,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146181,,POWERINDIA,,2026-05-26,2026-05-26,22000.00,PE,POWERINDIA26MAY22000PE,0.00,0.00,0.00,1411.20,0.00,1411.20,25325.80,524.40,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,40722,,POWERINDIA,,2026-04-28,2026-04-28,28000.00,PE,POWERINDIA26APR28000PE,0.00,0.00,0.00,8980.25,0.00,8980.25,25325.80,3016.70,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,153017,,POWERINDIA,,2026-04-28,2026-04-28,26000.00,PE,POWERINDIA26APR26000PE,2079.70,2224.05,1387.70,1429.45,1400.00,1614.00,25325.80,1429.45,4100,150,16,22113025.00,16,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,164006,,POWERINDIA,,2026-06-30,2026-06-30,28000.00,PE,POWERINDIA26JUN28000PE,0.00,0.00,0.00,4878.95,0.00,4878.95,25325.80,3832.30,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,39279,,POWERINDIA,,2026-04-28,2026-04-28,24500.00,PE,POWERINDIA26APR24500PE,1200.00,1270.00,715.00,767.40,790.00,1230.60,25325.80,767.40,1750,1500,63,80064450.00,46,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,145816,,POWERINDIA,,2026-04-28,2026-04-28,21250.00,PE,POWERINDIA26APR21250PE,0.00,0.00,0.00,222.30,222.30,222.30,25325.80,112.10,100,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,152895,,POWERINDIA,,2026-04-28,2026-04-28,20500.00,PE,POWERINDIA26APR20500PE,156.00,156.00,108.25,108.25,108.25,197.00,25325.80,58.05,500,250,10,10314470.00,10,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,163993,,POWERINDIA,,2026-06-30,2026-06-30,22000.00,CE,POWERINDIA26JUN22000CE,0.00,0.00,0.00,4149.90,0.00,4149.90,25325.80,4492.50,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146429,,POWERINDIA,,2026-05-26,2026-05-26,26000.00,CE,POWERINDIA26MAY26000CE,0.00,0.00,0.00,2653.60,0.00,2653.60,25325.80,1672.00,0,0,0,0.00,0,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146348,,POWERINDIA,,2026-05-26,2026-05-26,25000.00,CE,POWERINDIA26MAY25000CE,1400.00,1970.00,1350.00,1970.00,1970.00,1750.00,25325.80,1970.00,450,300,7,9277250.00,7,F1,50,,,,,
2026-04-02,2026-04-02,FO,NSE,STO,146461,,POWERINDIA,,2026-05-26,2026-05-26,29000.00,PE,POWERINDIA26MAY29000PE,0.00,0.00,0.00,5280.90,0.00,5280.90,25325.80,4174.45,0,0,0,0.00,0,F1,50,,,,,
