TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-06,2026-04-06,FO,NSE,STO,117407,,IRFC,,2026-05-26,2026-05-26,110.00,CE,IRFC26MAY110CE,1.00,1.25,1.00,1.25,1.25,1.25,92.72,1.40,119000,4250,2,944562.50,2,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,131089,,IRFC,,2026-06-30,2026-06-30,108.00,CE,IRFC26JUN108CE,0.00,0.00,0.00,2.16,0.00,2.16,92.72,3.35,0,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,117286,,IRFC,,2026-04-28,2026-04-28,93.00,PE,IRFC26APR93PE,5.74,5.74,3.79,3.85,3.83,4.77,92.72,3.85,548250,55250,70,28962390.00,66,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,129351,,IRFC,,2026-04-28,2026-04-28,116.00,PE,IRFC26APR116PE,0.00,0.00,0.00,26.03,26.03,26.03,92.72,22.95,17000,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,117394,,IRFC,,2026-05-26,2026-05-26,96.00,PE,IRFC26MAY96PE,0.00,0.00,0.00,3.15,3.15,3.15,92.72,7.45,4250,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,129188,,IRFC,,2026-04-28,2026-04-28,100.00,CE,IRFC26APR100CE,1.11,1.42,0.94,1.38,1.41,1.27,92.72,1.40,4173500,34000,743,319591245.00,581,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,117295,,IRFC,,2026-04-28,2026-04-28,103.00,CE,IRFC26APR103CE,0.50,0.87,0.50,0.85,0.85,0.82,92.72,0.85,233750,-8500,56,24698875.00,55,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STF,66228,,IRFC,,2026-05-26,2026-05-26,,,IRFC26MAYFUT,89.99,92.88,89.20,92.53,92.52,90.94,92.72,92.53,5427250,340000,372,144531025.00,348,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,129048,,IRFC,,2026-04-28,2026-04-28,84.00,CE,IRFC26APR84CE,0.00,0.00,0.00,32.50,0.00,32.50,92.72,9.95,0,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,131072,,IRFC,,2026-06-30,2026-06-30,90.00,PE,IRFC26JUN90PE,0.00,0.00,0.00,8.28,0.00,8.28,92.72,5.85,0,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,117402,,IRFC,,2026-05-26,2026-05-26,104.00,PE,IRFC26MAY104PE,0.00,0.00,0.00,5.83,0.00,5.83,92.72,12.90,0,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,129365,,IRFC,,2026-04-28,2026-04-28,130.00,PE,IRFC26APR130PE,0.00,0.00,0.00,40.28,40.28,40.28,92.72,36.85,1972000,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,117284,,IRFC,,2026-04-28,2026-04-28,91.00,PE,IRFC26APR91PE,3.84,4.70,2.91,2.97,2.95,3.84,92.72,3.00,612000,21250,208,83757895.00,197,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,117276,,IRFC,,2026-04-28,2026-04-28,83.00,PE,IRFC26APR83PE,0.00,0.00,0.00,2.60,2.55,2.60,92.72,0.75,12750,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,131041,,IRFC,,2026-06-30,2026-06-30,84.00,CE,IRFC26JUN84CE,0.00,0.00,0.00,10.03,0.00,10.03,92.72,13.50,0,0,0,0.00,0,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,117307,,IRFC,,2026-04-28,2026-04-28,113.00,CE,IRFC26APR113CE,0.92,0.92,0.92,0.92,0.92,0.06,92.72,0.20,153000,4250,1,484160.00,1,F1,4250,,,,,
2026-04-06,2026-04-06,FO,NSE,STO,117283,,IRFC,,2026-04-28,2026-04-28,91.00,CE,IRFC26APR91CE,4.38,5.14,3.50,4.99,5.10,4.38,92.72,5.00,1470500,-463250,577,233472475.00,547,F1,4250,,,,,
