TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-08,2026-04-08,FO,NSE,IDO,69547,,FINNIFTY,,2026-05-26,2026-05-26,24300.00,CE,FINNIFTY26MAY24300CE,0.00,0.00,0.00,4412.10,0.00,4412.10,26053.05,2121.75,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69665,,FINNIFTY,,2026-05-26,2026-05-26,26600.00,CE,FINNIFTY26MAY26600CE,0.00,0.00,0.00,2342.75,0.00,2342.75,26053.05,669.45,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69675,,FINNIFTY,,2026-05-26,2026-05-26,27100.00,CE,FINNIFTY26MAY27100CE,0.00,0.00,0.00,1956.80,0.00,1956.80,26053.05,482.95,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69691,,FINNIFTY,,2026-05-26,2026-05-26,27900.00,CE,FINNIFTY26MAY27900CE,0.00,0.00,0.00,1412.40,0.00,1412.40,26053.05,270.20,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69697,,FINNIFTY,,2026-05-26,2026-05-26,28200.00,CE,FINNIFTY26MAY28200CE,0.00,0.00,0.00,1234.30,0.00,1234.30,26053.05,213.20,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69701,,FINNIFTY,,2026-05-26,2026-05-26,28400.00,CE,FINNIFTY26MAY28400CE,0.00,0.00,0.00,1123.70,0.00,1123.70,26053.05,181.00,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69784,,FINNIFTY,,2026-05-26,2026-05-26,30100.00,CE,FINNIFTY26MAY30100CE,0.00,0.00,0.00,442.80,0.00,442.80,26053.05,37.45,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,77311,,FINNIFTY,,2026-06-30,2026-06-30,21900.00,CE,FINNIFTY26JUN21900CE,0.00,0.00,0.00,2250.90,0.00,2250.90,26053.05,4499.65,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,77331,,FINNIFTY,,2026-06-30,2026-06-30,22800.00,CE,FINNIFTY26JUN22800CE,0.00,0.00,0.00,1600.80,0.00,1600.80,26053.05,3665.35,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,77482,,FINNIFTY,,2026-06-30,2026-06-30,24300.00,CE,FINNIFTY26JUN24300CE,0.00,0.00,0.00,796.45,0.00,796.45,26053.05,2404.45,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,77627,,FINNIFTY,,2026-06-30,2026-06-30,28300.00,CE,FINNIFTY26JUN28300CE,0.00,0.00,0.00,54.30,0.00,54.30,26053.05,426.65,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69427,,FINNIFTY,,2026-04-28,2026-04-28,21200.00,PE,FINNIFTY26APR21200PE,0.00,0.00,0.00,0.35,0.00,0.35,26053.05,0.00,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69715,,FINNIFTY,,2026-04-28,2026-04-28,23100.00,PE,FINNIFTY26APR23100PE,0.00,0.00,0.00,11.05,0.00,11.05,26053.05,3.10,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,76787,,FINNIFTY,,2026-04-28,2026-04-28,24250.00,PE,FINNIFTY26APR24250PE,0.00,0.00,0.00,882.30,0.00,882.30,26053.05,39.60,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69747,,FINNIFTY,,2026-04-28,2026-04-28,24700.00,PE,FINNIFTY26APR24700PE,0.00,0.00,0.00,1325.00,1325.00,1325.00,26053.05,86.10,660,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,76813,,FINNIFTY,,2026-04-28,2026-04-28,24850.00,PE,FINNIFTY26APR24850PE,0.00,0.00,0.00,1331.75,0.00,1331.75,26053.05,108.85,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69791,,FINNIFTY,,2026-04-28,2026-04-28,25400.00,PE,FINNIFTY26APR25400PE,0.00,0.00,0.00,182.15,0.00,182.15,26053.05,233.30,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,77000,,FINNIFTY,,2026-04-28,2026-04-28,26450.00,PE,FINNIFTY26APR26450PE,0.00,0.00,0.00,2792.90,0.00,2792.90,26053.05,701.10,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,77023,,FINNIFTY,,2026-04-28,2026-04-28,26850.00,PE,FINNIFTY26APR26850PE,0.00,0.00,0.00,3184.20,0.00,3184.20,26053.05,963.30,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,70071,,FINNIFTY,,2026-04-28,2026-04-28,27100.00,PE,FINNIFTY26APR27100PE,0.00,0.00,0.00,688.40,0.00,688.40,26053.05,1148.15,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,70254,,FINNIFTY,,2026-04-28,2026-04-28,29200.00,PE,FINNIFTY26APR29200PE,0.00,0.00,0.00,1986.70,0.00,1986.70,26053.05,3059.95,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69807,,FINNIFTY,,2026-05-26,2026-05-26,31000.00,CE,FINNIFTY26MAY31000CE,0.00,0.00,0.00,245.50,0.00,245.50,26053.05,14.30,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69774,,FINNIFTY,,2026-05-26,2026-05-26,29600.00,CE,FINNIFTY26MAY29600CE,0.00,0.00,0.00,597.15,0.00,597.15,26053.05,61.55,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69762,,FINNIFTY,,2026-05-26,2026-05-26,29100.00,CE,FINNIFTY26MAY29100CE,0.00,0.00,0.00,788.50,0.00,788.50,26053.05,98.45,0,0,0,0.00,0,F1,60,,,,,
2026-04-08,2026-04-08,FO,NSE,IDO,69782,,FINNIFTY,,2026-05-26,2026-05-26,30000.00,CE,FINNIFTY26MAY30000CE,0.00,0.00,0.00,470.90,0.00,470.90,26053.05,41.45,0,0,0,0.00,0,F1,60,,,,,
