TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-08,2026-04-08,FO,NSE,STO,123371,,ICICIBANK,,2026-05-26,2026-05-26,1170.00,PE,ICICIBANK26MAY1170PE,0.00,0.00,0.00,21.95,0.00,21.95,1309.20,3.75,0,0,0,0.00,0,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,120651,,ICICIBANK,,2026-04-28,2026-04-28,1320.00,CE,ICICIBANK26APR1320CE,16.60,27.95,16.60,26.20,25.95,8.50,1309.20,26.20,872900,542500,4323,4065189240.00,3341,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,110994,,ICICIBANK,,2026-04-28,2026-04-28,1390.00,CE,ICICIBANK26APR1390CE,3.50,5.70,3.15,5.40,5.05,1.90,1309.20,5.40,136500,58100,754,736020775.00,595,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,110996,,ICICIBANK,,2026-04-28,2026-04-28,1410.00,CE,ICICIBANK26APR1410CE,2.05,3.45,1.80,3.10,2.95,1.25,1309.20,3.10,233800,21000,554,547862000.00,504,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,120664,,ICICIBANK,,2026-04-28,2026-04-28,1440.00,CE,ICICIBANK26APR1440CE,0.65,1.65,0.65,1.55,1.50,0.85,1309.20,1.55,209300,28700,299,301695975.00,247,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,110961,,ICICIBANK,,2026-04-28,2026-04-28,1150.00,CE,ICICIBANK26APR1150CE,161.90,166.05,160.50,165.70,164.50,109.05,1309.20,165.70,234500,-10500,25,23009735.00,24,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,110980,,ICICIBANK,,2026-04-28,2026-04-28,1250.00,CE,ICICIBANK26APR1250CE,69.95,75.60,55.10,73.80,73.25,34.15,1309.20,73.80,595000,-314300,1050,967964935.00,884,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,110988,,ICICIBANK,,2026-04-28,2026-04-28,1330.00,CE,ICICIBANK26APR1330CE,14.60,22.60,13.00,21.60,21.35,6.85,1309.20,21.60,484400,242200,2077,1961478645.00,1847,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,111000,,ICICIBANK,,2026-04-28,2026-04-28,1450.00,CE,ICICIBANK26APR1450CE,1.00,1.45,0.80,1.25,1.30,0.60,1309.20,1.25,179900,91000,374,379938265.00,279,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,123362,,ICICIBANK,,2026-05-26,2026-05-26,1090.00,CE,ICICIBANK26MAY1090CE,0.00,0.00,0.00,133.00,0.00,133.00,1309.20,228.70,0,0,0,0.00,0,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,123372,,ICICIBANK,,2026-05-26,2026-05-26,1190.00,CE,ICICIBANK26MAY1190CE,0.00,0.00,0.00,58.40,0.00,58.40,1309.20,134.85,0,0,0,0.00,0,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,111155,,ICICIBANK,,2026-05-26,2026-05-26,1200.00,CE,ICICIBANK26MAY1200CE,0.00,0.00,0.00,208.30,0.00,208.30,1309.20,126.20,0,0,0,0.00,0,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,123625,,ICICIBANK,,2026-06-30,2026-06-30,1100.00,CE,ICICIBANK26JUN1100CE,0.00,0.00,0.00,137.05,0.00,137.05,1309.20,227.50,0,0,0,0.00,0,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,123663,,ICICIBANK,,2026-06-30,2026-06-30,1160.00,CE,ICICIBANK26JUN1160CE,0.00,0.00,0.00,92.90,0.00,92.90,1309.20,173.40,0,0,0,0.00,0,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,120629,,ICICIBANK,,2026-04-28,2026-04-28,1140.00,PE,ICICIBANK26APR1140PE,2.75,5.05,1.50,2.40,2.40,7.65,1309.20,2.40,98000,-34300,225,179883095.00,178,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,110987,,ICICIBANK,,2026-04-28,2026-04-28,1310.00,PE,ICICIBANK26APR1310PE,36.00,36.00,26.20,27.45,27.60,94.60,1309.20,27.45,353500,317800,2088,1956926230.00,1741,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,110993,,ICICIBANK,,2026-04-28,2026-04-28,1370.00,PE,ICICIBANK26APR1370PE,65.35,68.90,65.35,68.90,68.90,139.80,1309.20,65.80,24500,-1400,6,6037640.00,6,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,110995,,ICICIBANK,,2026-04-28,2026-04-28,1390.00,PE,ICICIBANK26APR1390PE,80.20,95.25,80.20,82.05,82.05,195.65,1309.20,82.15,32200,3500,21,21665385.00,21,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,120663,,ICICIBANK,,2026-04-28,2026-04-28,1420.00,PE,ICICIBANK26APR1420PE,0.00,0.00,0.00,222.35,222.35,222.35,1309.20,108.90,205100,0,0,0.00,0,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,120816,,ICICIBANK,,2026-04-28,2026-04-28,1600.00,PE,ICICIBANK26APR1600PE,0.00,0.00,0.00,340.00,340.00,340.00,1309.20,285.65,2100,0,0,0.00,0,F1,700,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,111098,,ICICIBANK,,2026-05-26,2026-05-26,1040.00,PE,ICICIBANK26MAY1040PE,0.00,0.00,0.00,0.10,0.00,0.10,1309.20,0.10,0,0,0,0.00,0,F1,700,,,,,
