TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-08,2026-04-08,FO,NSE,STO,165295,,RELIANCE,,2026-06-30,2026-06-30,1280.00,CE,RELIANCE26JUN1280CE,0.00,0.00,0.00,118.65,0.00,118.65,1347.80,117.00,0,0,0,0.00,0,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,165313,,RELIANCE,,2026-06-30,2026-06-30,1460.00,CE,RELIANCE26JUN1460CE,0.00,0.00,0.00,34.80,0.00,34.80,1347.80,33.15,0,0,0,0.00,0,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,149341,,RELIANCE,,2026-05-26,2026-05-26,1600.00,CE,RELIANCE26MAY1600CE,4.05,4.45,3.00,3.40,3.25,3.30,1347.80,3.40,956000,181500,972,779375775.00,616,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,149315,,RELIANCE,,2026-05-26,2026-05-26,1500.00,CE,RELIANCE26MAY1500CE,7.85,9.25,7.65,8.75,8.70,7.30,1347.80,8.75,880000,-96500,1891,1426302000.00,996,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,165105,,RELIANCE,,2026-05-26,2026-05-26,1450.00,CE,RELIANCE26MAY1450CE,15.65,16.80,13.65,16.15,16.20,12.20,1347.80,16.15,205000,-5000,531,389131450.00,386,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,149268,,RELIANCE,,2026-05-26,2026-05-26,1420.00,CE,RELIANCE26MAY1420CE,22.00,24.45,21.40,23.60,23.80,17.45,1347.80,23.60,7500,3000,17,12261325.00,16,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,149262,,RELIANCE,,2026-05-26,2026-05-26,1360.00,CE,RELIANCE26MAY1360CE,40.05,47.75,38.75,46.40,45.35,33.50,1347.80,46.40,62500,20000,138,96883375.00,94,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,149256,,RELIANCE,,2026-05-26,2026-05-26,1300.00,CE,RELIANCE26MAY1300CE,75.00,83.50,68.90,82.20,83.20,61.10,1347.80,82.20,457500,-36500,1005,691859600.00,579,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,165087,,RELIANCE,,2026-05-26,2026-05-26,1290.00,CE,RELIANCE26MAY1290CE,82.00,82.95,81.45,82.95,82.95,66.75,1347.80,91.40,3500,500,4,2743925.00,4,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,165043,,RELIANCE,,2026-05-26,2026-05-26,1270.00,CE,RELIANCE26MAY1270CE,0.00,0.00,0.00,75.40,75.40,75.40,1347.80,105.70,10000,0,0,0.00,0,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,149016,,RELIANCE,,2026-04-28,2026-04-28,1210.00,CE,RELIANCE26APR1210CE,131.55,132.80,131.55,132.80,132.80,95.55,1347.80,142.80,1000,0,2,1342175.00,2,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,161586,,RELIANCE,,2026-04-28,2026-04-28,1200.00,CE,RELIANCE26APR1200CE,129.80,154.35,129.80,151.00,152.00,114.90,1347.80,151.00,504000,-23000,277,186209375.00,241,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,161410,,RELIANCE,,2026-04-28,2026-04-28,1120.00,CE,RELIANCE26APR1120CE,0.00,0.00,0.00,279.40,0.00,279.40,1347.80,231.45,0,0,0,0.00,0,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,165316,,RELIANCE,,2026-06-30,2026-06-30,1480.00,PE,RELIANCE26JUN1480PE,0.00,0.00,0.00,139.20,0.00,139.20,1347.80,139.15,0,0,0,0.00,0,F1,500,,,,,
2026-04-08,2026-04-08,FO,NSE,STO,165298,,RELIANCE,,2026-06-30,2026-06-30,1300.00,PE,RELIANCE26JUN1300PE,36.20,36.20,30.35,32.90,34.00,53.05,1347.80,32.90,46000,-3000,65,43317700.00,58,F1,500,,,,,
