TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-15,2026-04-15,FO,NSE,STO,86742,,AMBUJACEM,,2026-06-30,2026-06-30,450.00,PE,AMBUJACEM26JUN450PE,0.00,0.00,0.00,54.05,0.00,54.05,453.90,25.30,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STF,66708,,AMBUJACEM,,2026-04-28,2026-04-28,,,AMBUJACEM26APRFUT,447.00,459.05,447.00,455.15,453.50,442.30,453.90,455.15,51881550,654150,5650,2698933492.50,3886,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80266,,AMBUJACEM,,2026-04-28,2026-04-28,360.00,CE,AMBUJACEM26APR360CE,0.00,0.00,0.00,91.70,91.70,91.70,453.90,94.65,1050,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,78877,,AMBUJACEM,,2026-04-28,2026-04-28,495.00,CE,AMBUJACEM26APR495CE,2.40,2.45,1.50,1.70,1.70,1.35,453.90,1.70,54600,24150,78,40691752.50,61,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,79112,,AMBUJACEM,,2026-05-26,2026-05-26,360.00,CE,AMBUJACEM26MAY360CE,0.00,0.00,0.00,160.65,0.00,160.65,453.90,96.90,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,86675,,AMBUJACEM,,2026-05-26,2026-05-26,485.00,CE,AMBUJACEM26MAY485CE,0.00,0.00,0.00,7.50,7.50,7.50,453.90,11.65,2100,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,86737,,AMBUJACEM,,2026-06-30,2026-06-30,430.00,CE,AMBUJACEM26JUN430CE,0.00,0.00,0.00,19.35,0.00,19.35,453.90,46.30,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80320,,AMBUJACEM,,2026-04-28,2026-04-28,400.00,PE,AMBUJACEM26APR400PE,2.10,2.10,1.20,1.25,1.20,3.05,453.90,1.25,729750,17850,309,130230397.50,235,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80358,,AMBUJACEM,,2026-04-28,2026-04-28,430.00,PE,AMBUJACEM26APR430PE,4.00,5.85,3.50,4.20,4.20,9.15,453.90,4.20,468300,154350,717,327173962.50,476,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,78865,,AMBUJACEM,,2026-04-28,2026-04-28,445.00,PE,AMBUJACEM26APR445PE,8.95,10.60,7.70,8.20,8.40,15.40,453.90,8.20,191100,21000,437,208277685.00,410,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,79011,,AMBUJACEM,,2026-04-28,2026-04-28,525.00,PE,AMBUJACEM26APR525PE,0.00,0.00,0.00,104.00,104.00,104.00,453.90,70.25,1050,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,79302,,AMBUJACEM,,2026-05-26,2026-05-26,500.00,PE,AMBUJACEM26MAY500PE,45.85,46.85,45.85,46.85,46.85,57.00,453.90,50.55,19950,14700,14,8033025.00,12,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,86738,,AMBUJACEM,,2026-06-30,2026-06-30,430.00,PE,AMBUJACEM26JUN430PE,0.00,0.00,0.00,40.40,0.00,40.40,453.90,16.85,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,86803,,AMBUJACEM,,2026-06-30,2026-06-30,500.00,PE,AMBUJACEM26JUN500PE,0.00,0.00,0.00,94.55,0.00,94.55,453.90,55.25,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STF,66082,,AMBUJACEM,,2026-05-26,2026-05-26,,,AMBUJACEM26MAYFUT,455.00,462.40,453.10,457.50,456.50,444.80,453.90,457.50,7676550,59850,322,154609455.00,292,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,39878,,AMBUJACEM,,2026-04-28,2026-04-28,330.00,CE,AMBUJACEM26APR330CE,0.00,0.00,0.00,110.00,110.00,110.00,453.90,124.60,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,78862,,AMBUJACEM,,2026-04-28,2026-04-28,435.00,CE,AMBUJACEM26APR435CE,27.70,28.75,23.40,25.45,25.45,18.25,453.90,25.45,161700,-13650,86,41645520.00,74,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80355,,AMBUJACEM,,2026-04-28,2026-04-28,420.00,CE,AMBUJACEM26APR420CE,39.35,41.20,35.75,37.20,37.20,29.05,453.90,37.20,835800,-11550,41,19737637.50,39,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80447,,AMBUJACEM,,2026-04-28,2026-04-28,570.00,PE,AMBUJACEM26APR570PE,0.00,0.00,0.00,117.80,117.80,117.80,453.90,114.95,241500,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80370,,AMBUJACEM,,2026-04-28,2026-04-28,490.00,PE,AMBUJACEM26APR490PE,0.00,0.00,0.00,42.55,42.55,42.55,453.90,37.45,4200,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,78771,,AMBUJACEM,,2026-04-28,2026-04-28,415.00,CE,AMBUJACEM26APR415CE,41.95,45.60,39.35,42.50,42.50,32.35,453.90,41.05,322350,-35700,62,29830762.50,58,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,78875,,AMBUJACEM,,2026-04-28,2026-04-28,485.00,PE,AMBUJACEM26APR485PE,0.00,0.00,0.00,12.45,0.00,12.45,453.90,33.20,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80304,,AMBUJACEM,,2026-04-28,2026-04-28,380.00,PE,AMBUJACEM26APR380PE,0.80,0.85,0.60,0.65,0.65,1.40,453.90,0.65,246750,-3150,35,13991985.00,31,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,86475,,AMBUJACEM,,2026-05-26,2026-05-26,415.00,CE,AMBUJACEM26MAY415CE,0.00,0.00,0.00,17.90,0.00,17.90,453.90,48.35,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,79306,,AMBUJACEM,,2026-05-26,2026-05-26,510.00,PE,AMBUJACEM26MAY510PE,0.00,0.00,0.00,26.30,0.00,26.30,453.90,58.55,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80309,,AMBUJACEM,,2026-04-28,2026-04-28,400.00,CE,AMBUJACEM26APR400CE,57.00,59.60,53.50,55.25,55.40,45.65,453.90,55.25,706650,35700,145,69519660.00,100,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,86471,,AMBUJACEM,,2026-05-26,2026-05-26,395.00,CE,AMBUJACEM26MAY395CE,0.00,0.00,0.00,27.35,0.00,27.35,453.90,64.65,0,0,0,0.00,0,F1,1050,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,80454,,AMBUJACEM,,2026-04-28,2026-04-28,590.00,CE,AMBUJACEM26APR590CE,0.05,0.05,0.05,0.05,0.05,0.05,453.90,0.00,121800,2100,2,1239105.00,1,F1,1050,,,,,
