TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-15,2026-04-15,FO,NSE,STO,112264,,IDEA,,2026-05-26,2026-05-26,12.00,PE,IDEA26MAY12PE,2.50,2.60,2.50,2.55,2.57,2.72,9.44,2.55,5932425,1500975,30,31221709.50,24,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,125026,,IDEA,,2026-06-30,2026-06-30,14.00,CE,IDEA26JUN14CE,0.16,0.17,0.14,0.15,0.15,0.11,9.44,0.15,1500975,1500975,25,25289284.50,17,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,112212,,IDEA,,2026-04-28,2026-04-28,7.00,PE,IDEA26APR7PE,0.01,0.02,0.01,0.01,0.01,0.01,9.44,0.05,47530875,-3573750,172,86197420.50,66,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,122455,,IDEA,,2026-04-28,2026-04-28,14.00,PE,IDEA26APR14PE,0.00,0.00,0.00,4.67,4.67,4.67,9.44,4.55,4288500,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,112262,,IDEA,,2026-05-26,2026-05-26,10.00,PE,IDEA26MAY10PE,0.98,0.98,0.85,0.88,0.87,1.05,9.44,0.90,16796625,3216375,82,63835037.25,76,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,125023,,IDEA,,2026-06-30,2026-06-30,10.00,PE,IDEA26JUN10PE,0.00,0.00,0.00,1.95,0.00,1.95,9.44,1.40,0,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,112233,,IDEA,,2026-04-28,2026-04-28,11.00,CE,IDEA26APR11CE,0.05,0.06,0.03,0.05,0.05,0.04,9.44,0.05,209779125,-3430800,3178,2508233578.50,734,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,122451,,IDEA,,2026-04-28,2026-04-28,10.00,PE,IDEA26APR10PE,0.76,0.79,0.66,0.67,0.67,0.85,9.44,0.70,77836275,-5718000,474,362734910.25,346,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,112234,,IDEA,,2026-04-28,2026-04-28,11.00,PE,IDEA26APR11PE,1.62,1.64,1.51,1.53,1.51,1.76,9.44,1.55,56465250,-2358675,58,52236789.00,47,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,125016,,IDEA,,2026-06-30,2026-06-30,6.00,PE,IDEA26JUN6PE,0.00,0.00,0.00,0.15,0.00,0.15,9.44,0.05,0,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,124774,,IDEA,,2026-05-26,2026-05-26,7.00,CE,IDEA26MAY7CE,0.00,0.00,0.00,1.84,0.00,1.84,9.44,2.55,0,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,122275,,IDEA,,2026-04-28,2026-04-28,8.00,CE,IDEA26APR8CE,1.42,1.54,1.38,1.49,1.53,1.33,9.44,1.50,46244325,-1929825,402,272319035.25,169,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,125025,,IDEA,,2026-06-30,2026-06-30,12.00,PE,IDEA26JUN12PE,0.00,0.00,0.00,3.53,0.00,3.53,9.44,2.80,0,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,124864,,IDEA,,2026-06-30,2026-06-30,2.00,PE,IDEA26JUN2PE,0.00,0.00,0.00,0.01,0.00,0.01,9.44,0.00,0,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STF,66857,,IDEA,,2026-04-28,2026-04-28,,,IDEA26APRFUT,9.37,9.52,9.34,9.46,9.50,9.27,9.44,9.46,6212749950,-76764150,4608,3107332740.00,3437,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,125027,,IDEA,,2026-06-30,2026-06-30,14.00,PE,IDEA26JUN14PE,0.00,0.00,0.00,5.33,0.00,5.33,9.44,4.55,0,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,122235,,IDEA,,2026-04-28,2026-04-28,6.00,CE,IDEA26APR6CE,0.00,0.00,0.00,3.25,3.25,3.25,9.44,3.45,5360625,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,112257,,IDEA,,2026-05-26,2026-05-26,6.00,CE,IDEA26MAY6CE,0.00,0.00,0.00,5.04,0.00,5.04,9.44,3.50,0,0,0,0.00,0,F1,71475,,,,,
2026-04-15,2026-04-15,FO,NSE,STO,122454,,IDEA,,2026-04-28,2026-04-28,14.00,CE,IDEA26APR14CE,0.01,0.01,0.01,0.01,0.01,0.01,9.44,0.00,46101375,0,11,11015012.25,6,F1,71475,,,,,
