TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-17,2026-04-17,FO,NSE,STO,133252,,KAYNES,,2026-04-28,2026-04-28,4800.00,PE,KAYNES26APR4800PE,605.10,637.00,605.10,610.00,610.00,1467.20,4214.40,603.10,1000,1000,13,7050855.00,11,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,133073,,KAYNES,,2026-04-28,2026-04-28,3100.00,PE,KAYNES26APR3100PE,1.60,3.70,1.50,3.70,3.70,2.30,4214.40,0.20,10400,-4200,66,20472490.00,44,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134995,,KAYNES,,2026-06-30,2026-06-30,4400.00,CE,KAYNES26JUN4400CE,0.00,0.00,0.00,151.55,0.00,151.55,4214.40,403.80,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134939,,KAYNES,,2026-05-26,2026-05-26,4450.00,CE,KAYNES26MAY4450CE,0.00,0.00,0.00,71.45,0.00,71.45,4214.40,248.65,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134929,,KAYNES,,2026-05-26,2026-05-26,3950.00,CE,KAYNES26MAY3950CE,0.00,0.00,0.00,161.40,0.00,161.40,4214.40,488.05,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120570,,KAYNES,,2026-05-26,2026-05-26,3000.00,CE,KAYNES26MAY3000CE,0.00,0.00,0.00,996.65,0.00,996.65,4214.40,1245.90,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120535,,KAYNES,,2026-04-28,2026-04-28,4550.00,CE,KAYNES26APR4550CE,0.00,0.00,0.00,168.95,0.00,168.95,4214.40,65.25,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120525,,KAYNES,,2026-04-28,2026-04-28,4050.00,CE,KAYNES26APR4050CE,245.00,255.00,189.90,217.00,227.00,233.75,4214.40,217.00,23900,-4300,92,39285500.00,71,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134972,,KAYNES,,2026-06-30,2026-06-30,3400.00,PE,KAYNES26JUN3400PE,0.00,0.00,0.00,366.80,0.00,366.80,4214.40,117.00,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120614,,KAYNES,,2026-05-26,2026-05-26,4100.00,PE,KAYNES26MAY4100PE,235.00,274.55,235.00,246.45,245.25,249.65,4214.40,246.45,7100,800,35,15240865.00,20,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134932,,KAYNES,,2026-05-26,2026-05-26,4050.00,PE,KAYNES26MAY4050PE,0.00,0.00,0.00,713.60,0.00,713.60,4214.40,239.40,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,133228,,KAYNES,,2026-04-28,2026-04-28,3600.00,CE,KAYNES26APR3600CE,610.00,631.15,576.55,612.10,618.60,619.00,4214.40,612.10,49400,-1400,24,10101570.00,23,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,133245,,KAYNES,,2026-04-28,2026-04-28,4400.00,PE,KAYNES26APR4400PE,239.00,292.95,239.00,245.00,245.00,250.10,4214.40,245.00,6600,-700,22,10267865.00,22,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134968,,KAYNES,,2026-06-30,2026-06-30,3200.00,PE,KAYNES26JUN3200PE,0.00,0.00,0.00,271.20,0.00,271.20,4214.40,75.20,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120655,,KAYNES,,2026-05-26,2026-05-26,4700.00,PE,KAYNES26MAY4700PE,0.00,0.00,0.00,994.65,0.00,994.65,4214.40,624.45,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120616,,KAYNES,,2026-05-26,2026-05-26,4200.00,PE,KAYNES26MAY4200PE,285.00,323.95,279.85,279.90,279.85,294.60,4214.40,279.90,2400,1200,20,9008185.00,20,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,133072,,KAYNES,,2026-04-28,2026-04-28,3100.00,CE,KAYNES26APR3100CE,1120.00,1120.00,1120.00,1120.00,1120.00,1019.20,4214.40,1120.00,2700,0,1,422000.00,1,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120529,,KAYNES,,2026-04-28,2026-04-28,4250.00,CE,KAYNES26APR4250CE,123.00,138.50,90.40,109.85,105.00,118.20,4214.40,109.85,45500,7600,2995,1306576780.00,2597,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134909,,KAYNES,,2026-05-26,2026-05-26,3450.00,CE,KAYNES26MAY3450CE,0.00,0.00,0.00,334.90,0.00,334.90,4214.40,845.55,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120588,,KAYNES,,2026-05-26,2026-05-26,3800.00,CE,KAYNES26MAY3800CE,475.00,484.40,464.00,484.40,484.40,500.00,4214.40,484.40,5700,200,6,2565780.00,5,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134931,,KAYNES,,2026-05-26,2026-05-26,4050.00,CE,KAYNES26MAY4050CE,0.00,0.00,0.00,322.00,322.00,322.00,4214.40,430.65,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120615,,KAYNES,,2026-05-26,2026-05-26,4200.00,CE,KAYNES26MAY4200CE,278.55,289.95,240.10,262.55,266.00,278.50,4214.40,262.55,8800,2400,87,38851275.00,64,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,36981,,KAYNES,,2026-05-26,2026-05-26,4550.00,CE,KAYNES26MAY4550CE,0.00,0.00,0.00,77.00,0.00,77.00,4214.40,214.25,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120642,,KAYNES,,2026-05-26,2026-05-26,4600.00,CE,KAYNES26MAY4600CE,0.00,0.00,0.00,233.50,0.00,233.50,4214.40,198.55,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134963,,KAYNES,,2026-06-30,2026-06-30,3000.00,CE,KAYNES26JUN3000CE,0.00,0.00,0.00,674.80,0.00,674.80,4214.40,1297.20,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134973,,KAYNES,,2026-06-30,2026-06-30,3500.00,CE,KAYNES26JUN3500CE,0.00,0.00,0.00,412.60,0.00,412.60,4214.40,901.15,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,133069,,KAYNES,,2026-04-28,2026-04-28,2900.00,PE,KAYNES26APR2900PE,0.00,0.00,0.00,0.95,0.95,0.95,4214.40,0.05,6800,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120507,,KAYNES,,2026-04-28,2026-04-28,3250.00,PE,KAYNES26APR3250PE,3.40,3.40,3.40,3.40,3.40,3.40,4214.40,0.85,7900,-400,4,1301360.00,1,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,133227,,KAYNES,,2026-04-28,2026-04-28,3500.00,PE,KAYNES26APR3500PE,4.85,9.65,4.85,6.75,6.15,7.60,4214.40,6.75,61400,-1300,290,101713580.00,164,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,120520,,KAYNES,,2026-04-28,2026-04-28,3750.00,PE,KAYNES26APR3750PE,17.30,22.75,13.60,14.80,13.70,20.00,4214.40,14.80,45900,-1000,67,25253760.00,63,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,133241,,KAYNES,,2026-04-28,2026-04-28,4200.00,PE,KAYNES26APR4200PE,133.95,159.05,115.00,126.35,115.65,134.30,4214.40,126.35,72900,10900,2166,939676675.00,1773,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,39907,,KAYNES,,2026-04-28,2026-04-28,4750.00,PE,KAYNES26APR4750PE,0.00,0.00,0.00,1040.00,0.00,1040.00,4214.40,558.75,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134998,,KAYNES,,2026-06-30,2026-06-30,4500.00,PE,KAYNES26JUN4500PE,0.00,0.00,0.00,1124.35,0.00,1124.35,4214.40,594.90,0,0,0,0.00,0,F1,100,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,134992,,KAYNES,,2026-06-30,2026-06-30,4200.00,PE,KAYNES26JUN4200PE,0.00,0.00,0.00,886.30,0.00,886.30,4214.40,422.70,0,0,0,0.00,0,F1,100,,,,,
