TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-17,2026-04-17,FO,NSE,STO,143590,,PNBHOUSING,,2026-04-28,2026-04-28,770.00,CE,PNBHOUSING26APR770CE,0.00,0.00,0.00,62.75,62.75,62.75,923.70,155.35,13000,0,0,0.00,0,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,151730,,PNBHOUSING,,2026-04-28,2026-04-28,680.00,CE,PNBHOUSING26APR680CE,0.00,0.00,0.00,221.75,221.75,221.75,923.70,244.90,3900,0,0,0.00,0,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,162784,,PNBHOUSING,,2026-06-30,2026-06-30,700.00,PE,PNBHOUSING26JUN700PE,0.00,0.00,0.00,37.95,0.00,37.95,923.70,6.60,0,0,0,0.00,0,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,162782,,PNBHOUSING,,2026-06-30,2026-06-30,680.00,PE,PNBHOUSING26JUN680PE,0.00,0.00,0.00,30.85,0.00,30.85,923.70,4.80,0,0,0,0.00,0,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,151866,,PNBHOUSING,,2026-04-28,2026-04-28,880.00,PE,PNBHOUSING26APR880PE,17.50,17.55,10.25,12.00,10.25,22.35,923.70,12.00,68900,18850,208,120888137.50,189,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,143650,,PNBHOUSING,,2026-04-28,2026-04-28,830.00,PE,PNBHOUSING26APR830PE,5.70,5.75,2.80,3.40,2.80,7.25,923.70,3.40,250900,-1950,213,115491350.00,123,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,143595,,PNBHOUSING,,2026-04-28,2026-04-28,810.00,PE,PNBHOUSING26APR810PE,0.00,0.00,0.00,14.00,14.00,14.00,923.70,1.55,650,0,0,0.00,0,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,143868,,PNBHOUSING,,2026-05-26,2026-05-26,1000.00,CE,PNBHOUSING26MAY1000CE,12.00,21.00,12.00,20.15,20.25,12.85,923.70,20.15,18850,11700,36,23844567.50,35,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,151869,,PNBHOUSING,,2026-04-28,2026-04-28,920.00,CE,PNBHOUSING26APR920CE,22.15,34.90,22.10,33.45,34.90,21.00,923.70,33.45,352950,263900,3864,2388698942.50,2967,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,151867,,PNBHOUSING,,2026-04-28,2026-04-28,900.00,CE,PNBHOUSING26APR900CE,27.15,45.30,25.35,44.10,44.60,28.90,923.70,44.10,317200,-141700,2077,1268181135.00,1661,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,151857,,PNBHOUSING,,2026-04-28,2026-04-28,800.00,CE,PNBHOUSING26APR800CE,118.80,124.00,118.80,123.00,123.00,98.95,923.70,126.15,141700,-4550,16,9580610.00,15,F1,650,,,,,
2026-04-17,2026-04-17,FO,NSE,STO,143856,,PNBHOUSING,,2026-05-26,2026-05-26,880.00,CE,PNBHOUSING26MAY880CE,0.00,0.00,0.00,60.85,0.00,60.85,923.70,83.25,0,0,0,0.00,0,F1,650,,,,,
