TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-20,2026-04-20,FO,NSE,STO,83560,,BAJAJ-AUTO,,2026-04-28,2026-04-28,10700.00,CE,BAJAJ-AUTO26APR10700CE,6.00,6.40,2.60,3.25,2.60,6.00,9803.00,3.25,19350,600,272,218377462.50,181,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,83519,,BAJAJ-AUTO,,2026-04-28,2026-04-28,9100.00,CE,BAJAJ-AUTO26APR9100CE,662.15,729.30,662.15,729.25,729.25,691.55,9803.00,721.70,39900,75,13,9540626.25,13,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,83824,,BAJAJ-AUTO,,2026-05-26,2026-05-26,8800.00,PE,BAJAJ-AUTO26MAY8800PE,0.00,0.00,0.00,69.35,69.35,69.35,9803.00,45.90,225,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,83557,,BAJAJ-AUTO,,2026-04-28,2026-04-28,10300.00,PE,BAJAJ-AUTO26APR10300PE,0.00,0.00,0.00,550.00,550.00,550.00,9803.00,514.25,300,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,85596,,BAJAJ-AUTO,,2026-04-28,2026-04-28,10800.00,CE,BAJAJ-AUTO26APR10800CE,4.15,4.70,2.50,2.75,2.65,4.85,9803.00,2.75,13875,-2925,164,132881261.25,110,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90651,,BAJAJ-AUTO,,2026-05-26,2026-05-26,9900.00,CE,BAJAJ-AUTO26MAY9900CE,360.00,362.00,350.00,362.00,362.00,415.90,9803.00,346.25,600,450,8,6151650.00,6,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90785,,BAJAJ-AUTO,,2026-06-30,2026-06-30,10400.00,CE,BAJAJ-AUTO26JUN10400CE,0.00,0.00,0.00,109.55,0.00,109.55,9803.00,320.10,0,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,83527,,BAJAJ-AUTO,,2026-04-28,2026-04-28,9700.00,PE,BAJAJ-AUTO26APR9700PE,153.05,180.60,97.40,116.25,132.65,153.05,9803.00,116.25,40575,600,1437,1058790326.25,1117,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90613,,BAJAJ-AUTO,,2026-05-26,2026-05-26,7900.00,PE,BAJAJ-AUTO26MAY7900PE,0.00,0.00,0.00,77.25,0.00,77.25,9803.00,2.35,0,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,83559,,BAJAJ-AUTO,,2026-04-28,2026-04-28,10500.00,PE,BAJAJ-AUTO26APR10500PE,751.95,791.30,626.90,626.90,626.90,694.35,9803.00,695.65,4275,1800,51,42963003.75,25,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90648,,BAJAJ-AUTO,,2026-05-26,2026-05-26,9500.00,PE,BAJAJ-AUTO26MAY9500PE,229.95,229.95,192.60,215.05,220.25,239.70,9803.00,215.05,7800,1650,48,34958602.50,43,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90714,,BAJAJ-AUTO,,2026-06-30,2026-06-30,8000.00,PE,BAJAJ-AUTO26JUN8000PE,0.00,0.00,0.00,157.60,0.00,157.60,9803.00,23.90,0,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90715,,BAJAJ-AUTO,,2026-06-30,2026-06-30,8200.00,CE,BAJAJ-AUTO26JUN8200CE,0.00,0.00,0.00,940.00,0.00,940.00,9803.00,1738.95,0,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90790,,BAJAJ-AUTO,,2026-06-30,2026-06-30,10600.00,PE,BAJAJ-AUTO26JUN10600PE,0.00,0.00,0.00,1714.25,0.00,1714.25,9803.00,928.70,0,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90718,,BAJAJ-AUTO,,2026-06-30,2026-06-30,8400.00,PE,BAJAJ-AUTO26JUN8400PE,0.00,0.00,0.00,276.50,0.00,276.50,9803.00,56.65,0,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,85560,,BAJAJ-AUTO,,2026-04-28,2026-04-28,8400.00,CE,BAJAJ-AUTO26APR8400CE,0.00,0.00,0.00,594.05,594.05,594.05,9803.00,1413.70,375,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,85562,,BAJAJ-AUTO,,2026-04-28,2026-04-28,8600.00,CE,BAJAJ-AUTO26APR8600CE,0.00,0.00,0.00,905.35,905.35,905.35,9803.00,1214.10,7350,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,83558,,BAJAJ-AUTO,,2026-04-28,2026-04-28,10500.00,CE,BAJAJ-AUTO26APR10500CE,9.05,14.05,6.25,8.50,6.25,11.15,9803.00,8.50,96075,5925,1188,936457455.00,890,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,90614,,BAJAJ-AUTO,,2026-05-26,2026-05-26,8100.00,CE,BAJAJ-AUTO26MAY8100CE,0.00,0.00,0.00,887.60,0.00,887.60,9803.00,1757.60,0,0,0,0.00,0,F1,75,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,83815,,BAJAJ-AUTO,,2026-05-26,2026-05-26,8200.00,CE,BAJAJ-AUTO26MAY8200CE,0.00,0.00,0.00,1654.95,1654.95,1654.95,9803.00,1660.45,150,0,0,0.00,0,F1,75,,,,,
