TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-20,2026-04-20,FO,NSE,STO,130424,,IREDA,,2026-05-26,2026-05-26,133.00,CE,IREDA26MAY133CE,0.00,0.00,0.00,1.65,0.00,1.65,130.14,6.60,0,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128642,,IREDA,,2026-04-28,2026-04-28,104.00,PE,IREDA26APR104PE,0.00,0.00,0.00,0.74,0.74,0.74,130.14,0.00,79350,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128623,,IREDA,,2026-04-28,2026-04-28,98.00,PE,IREDA26APR98PE,0.00,0.00,0.00,0.10,0.10,0.10,130.14,0.00,37950,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128580,,IREDA,,2026-04-28,2026-04-28,92.00,PE,IREDA26APR92PE,0.00,0.00,0.00,0.05,0.05,0.05,130.14,0.00,51750,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,130597,,IREDA,,2026-06-30,2026-06-30,138.00,CE,IREDA26JUN138CE,0.00,0.00,0.00,2.55,0.00,2.55,130.14,8.00,0,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,130591,,IREDA,,2026-06-30,2026-06-30,136.00,CE,IREDA26JUN136CE,0.00,0.00,0.00,2.84,0.00,2.84,130.14,8.75,0,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,130571,,IREDA,,2026-06-30,2026-06-30,116.00,CE,IREDA26JUN116CE,0.00,0.00,0.00,7.03,7.03,7.03,130.14,19.55,3450,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,116814,,IREDA,,2026-04-28,2026-04-28,119.00,PE,IREDA26APR119PE,0.00,0.00,0.00,0.35,0.35,0.35,130.14,0.40,162150,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,43028,,IREDA,,2026-04-28,2026-04-28,94.00,PE,IREDA26APR94PE,0.00,0.00,0.00,0.03,0.03,0.03,130.14,0.00,117300,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128702,,IREDA,,2026-04-28,2026-04-28,142.00,CE,IREDA26APR142CE,0.96,0.96,0.43,0.49,0.48,0.93,130.14,0.50,1324800,-24150,53,26082931.50,46,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128733,,IREDA,,2026-04-28,2026-04-28,146.00,CE,IREDA26APR146CE,0.25,0.33,0.13,0.20,0.20,0.45,130.14,0.20,1166100,-196650,202,101923384.50,121,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128731,,IREDA,,2026-04-28,2026-04-28,144.00,CE,IREDA26APR144CE,0.56,0.56,0.23,0.27,0.32,0.66,130.14,0.30,134550,0,15,7472182.50,15,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,130335,,IREDA,,2026-05-26,2026-05-26,117.00,PE,IREDA26MAY117PE,0.00,0.00,0.00,11.86,0.00,11.86,130.14,2.25,0,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,116986,,IREDA,,2026-05-26,2026-05-26,140.00,PE,IREDA26MAY140PE,12.75,13.70,12.55,12.55,12.55,11.86,130.14,13.10,479550,24150,17,8975554.50,17,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,130488,,IREDA,,2026-05-26,2026-05-26,145.00,PE,IREDA26MAY145PE,0.00,0.00,0.00,35.04,0.00,35.04,130.14,16.80,0,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128639,,IREDA,,2026-04-28,2026-04-28,102.00,CE,IREDA26APR102CE,0.00,0.00,0.00,29.02,29.02,29.02,130.14,28.30,20700,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128668,,IREDA,,2026-04-28,2026-04-28,120.00,CE,IREDA26APR120CE,12.00,12.80,10.50,10.95,10.79,13.73,130.14,10.95,1107450,-141450,72,32775828.00,56,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,116817,,IREDA,,2026-04-28,2026-04-28,123.00,CE,IREDA26APR123CE,8.70,9.80,8.70,8.92,8.92,10.91,130.14,8.95,251850,0,6,2738437.50,6,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128688,,IREDA,,2026-04-28,2026-04-28,128.00,CE,IREDA26APR128CE,6.36,6.36,4.84,4.93,4.84,6.93,130.14,4.95,348450,3450,5,2304358.50,5,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,116833,,IREDA,,2026-04-28,2026-04-28,135.00,PE,IREDA26APR135PE,4.70,6.83,4.70,6.76,6.61,4.64,130.14,6.80,510600,-34500,60,29097196.50,53,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,128687,,IREDA,,2026-04-28,2026-04-28,126.00,PE,IREDA26APR126PE,2.73,2.73,1.31,1.88,1.90,1.24,130.14,1.90,834900,-13800,47,20690374.50,46,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,130557,,IREDA,,2026-06-30,2026-06-30,106.00,CE,IREDA26JUN106CE,0.00,0.00,0.00,12.36,0.00,12.36,130.14,27.15,0,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,116965,,IREDA,,2026-05-26,2026-05-26,136.00,CE,IREDA26MAY136CE,0.00,0.00,0.00,8.17,0.00,8.17,130.14,5.40,0,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,130407,,IREDA,,2026-05-26,2026-05-26,129.00,CE,IREDA26MAY129CE,6.71,6.92,6.71,6.92,6.92,2.23,130.14,8.50,0,0,4,1874247.00,3,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,116941,,IREDA,,2026-05-26,2026-05-26,126.00,CE,IREDA26MAY126CE,0.00,0.00,0.00,12.27,0.00,12.27,130.14,10.10,0,0,0,0.00,0,F1,3450,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,130330,,IREDA,,2026-05-26,2026-05-26,115.00,CE,IREDA26MAY115CE,0.00,0.00,0.00,10.00,10.00,10.00,130.14,17.65,44850,0,0,0.00,0,F1,3450,,,,,
