TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-20,2026-04-20,FO,NSE,STO,150119,,NAM-INDIA,,2026-06-30,2026-06-30,1080.00,PE,NAM-INDIA26JUN1080PE,0.00,0.00,0.00,271.30,0.00,271.30,1002.95,126.30,0,0,0,0.00,0,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,150113,,NAM-INDIA,,2026-06-30,2026-06-30,960.00,PE,NAM-INDIA26JUN960PE,0.00,0.00,0.00,170.65,0.00,170.65,1002.95,61.00,0,0,0,0.00,0,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,149877,,NAM-INDIA,,2026-05-26,2026-05-26,760.00,PE,NAM-INDIA26MAY760PE,0.00,0.00,0.00,35.35,0.00,35.35,1002.95,1.95,0,0,0,0.00,0,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,47160,,NAM-INDIA,,2026-04-28,2026-04-28,1140.00,PE,NAM-INDIA26APR1140PE,0.00,0.00,0.00,234.15,0.00,234.15,1002.95,137.00,0,0,0,0.00,0,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,149762,,NAM-INDIA,,2026-04-28,2026-04-28,940.00,PE,NAM-INDIA26APR940PE,10.90,10.90,8.45,9.90,9.55,10.90,1002.95,9.90,45000,-625,25,14834375.00,22,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,149674,,NAM-INDIA,,2026-04-28,2026-04-28,760.00,PE,NAM-INDIA26APR760PE,0.00,0.00,0.00,21.50,0.00,21.50,1002.95,0.00,0,0,0,0.00,0,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,149941,,NAM-INDIA,,2026-05-26,2026-05-26,960.00,CE,NAM-INDIA26MAY960CE,0.00,0.00,0.00,15.55,0.00,15.55,1002.95,88.60,0,0,0,0.00,0,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,149935,,NAM-INDIA,,2026-05-26,2026-05-26,900.00,CE,NAM-INDIA26MAY900CE,0.00,0.00,0.00,27.50,0.00,27.50,1002.95,128.65,0,0,0,0.00,0,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,149880,,NAM-INDIA,,2026-05-26,2026-05-26,800.00,CE,NAM-INDIA26MAY800CE,0.00,0.00,0.00,63.75,0.00,63.75,1002.95,212.15,0,0,0,0.00,0,F1,625,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,149675,,NAM-INDIA,,2026-04-28,2026-04-28,780.00,CE,NAM-INDIA26APR780CE,0.00,0.00,0.00,55.20,0.00,55.20,1002.95,223.95,0,0,0,0.00,0,F1,625,,,,,
