TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-20,2026-04-20,FO,NSE,STO,152713,,POWERGRID,,2026-04-28,2026-04-28,285.00,CE,POWERGRID26APR285CE,36.20,36.20,35.50,35.70,35.70,29.30,319.70,35.10,269800,-17100,9,5484540.00,6,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145291,,POWERGRID,,2026-04-28,2026-04-28,332.50,PE,POWERGRID26APR332.5PE,0.00,0.00,0.00,30.40,0.00,30.40,319.70,13.85,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152732,,POWERGRID,,2026-04-28,2026-04-28,330.00,PE,POWERGRID26APR330PE,15.40,15.40,10.45,12.35,12.75,13.60,319.70,12.35,190000,36100,84,54654735.00,66,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152718,,POWERGRID,,2026-04-28,2026-04-28,295.00,PE,POWERGRID26APR295PE,0.55,0.55,0.30,0.30,0.30,0.55,319.70,0.30,805600,-72200,224,125705805.00,157,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152714,,POWERGRID,,2026-04-28,2026-04-28,285.00,PE,POWERGRID26APR285PE,0.20,0.25,0.15,0.20,0.15,0.25,319.70,0.20,516800,-39900,33,17882895.00,27,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163893,,POWERGRID,,2026-06-30,2026-06-30,285.00,CE,POWERGRID26JUN285CE,0.00,0.00,0.00,26.00,0.00,26.00,319.70,41.40,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145622,,POWERGRID,,2026-05-26,2026-05-26,360.00,CE,POWERGRID26MAY360CE,0.00,0.00,0.00,4.05,0.00,4.05,319.70,1.60,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145601,,POWERGRID,,2026-05-26,2026-05-26,340.00,CE,POWERGRID26MAY340CE,8.00,8.00,2.45,4.55,4.50,4.35,319.70,4.55,551000,112100,290,190089205.00,205,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163619,,POWERGRID,,2026-05-26,2026-05-26,332.50,CE,POWERGRID26MAY332.5CE,0.00,0.00,0.00,5.80,5.80,5.80,319.70,7.20,1900,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163611,,POWERGRID,,2026-05-26,2026-05-26,312.50,CE,POWERGRID26MAY312.5CE,0.00,0.00,0.00,8.20,0.00,8.20,319.70,16.60,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152737,,POWERGRID,,2026-04-28,2026-04-28,360.00,CE,POWERGRID26APR360CE,0.00,0.00,0.00,0.10,0.00,0.10,319.70,0.05,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152711,,POWERGRID,,2026-04-28,2026-04-28,280.00,CE,POWERGRID26APR280CE,40.50,40.50,38.95,38.95,38.95,35.30,319.70,40.10,560500,0,4,2430955.00,4,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152709,,POWERGRID,,2026-04-28,2026-04-28,275.00,CE,POWERGRID26APR275CE,0.00,0.00,0.00,36.55,36.55,36.55,319.70,45.05,45600,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163597,,POWERGRID,,2026-05-26,2026-05-26,277.50,CE,POWERGRID26MAY277.5CE,0.00,0.00,0.00,26.60,0.00,26.60,319.70,44.50,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145515,,POWERGRID,,2026-05-26,2026-05-26,280.00,CE,POWERGRID26MAY280CE,0.00,0.00,0.00,38.50,38.50,38.50,319.70,42.20,7600,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145597,,POWERGRID,,2026-05-26,2026-05-26,330.00,CE,POWERGRID26MAY330CE,7.40,8.90,6.60,7.35,7.25,7.20,319.70,7.35,646000,-83600,523,335652765.00,410,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145609,,POWERGRID,,2026-05-26,2026-05-26,355.00,CE,POWERGRID26MAY355CE,2.25,2.65,2.10,2.15,2.10,2.20,319.70,2.15,96900,30400,28,19010735.00,24,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163905,,POWERGRID,,2026-06-30,2026-06-30,315.00,CE,POWERGRID26JUN315CE,0.00,0.00,0.00,11.65,0.00,11.65,319.70,20.70,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163911,,POWERGRID,,2026-06-30,2026-06-30,320.00,CE,POWERGRID26JUN320CE,0.00,0.00,0.00,10.05,0.00,10.05,319.70,18.05,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163929,,POWERGRID,,2026-06-30,2026-06-30,360.00,CE,POWERGRID26JUN360CE,0.00,0.00,0.00,2.55,0.00,2.55,319.70,4.90,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152722,,POWERGRID,,2026-04-28,2026-04-28,305.00,PE,POWERGRID26APR305PE,1.40,1.55,0.70,0.85,0.85,1.35,319.70,0.85,1086800,-30400,892,518422885.00,590,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145266,,POWERGRID,,2026-04-28,2026-04-28,307.50,PE,POWERGRID26APR307.5PE,1.70,1.70,0.85,1.10,1.15,1.75,319.70,1.10,395200,28500,436,255684140.00,351,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163592,,POWERGRID,,2026-05-26,2026-05-26,262.50,PE,POWERGRID26MAY262.5PE,0.00,0.00,0.00,2.15,2.15,2.15,319.70,0.15,3800,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163598,,POWERGRID,,2026-05-26,2026-05-26,277.50,PE,POWERGRID26MAY277.5PE,0.00,0.00,0.00,4.90,0.00,4.90,319.70,0.60,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163606,,POWERGRID,,2026-05-26,2026-05-26,297.50,PE,POWERGRID26MAY297.5PE,3.60,3.60,2.50,2.50,2.50,3.60,319.70,3.05,74100,3800,4,2283990.00,3,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163618,,POWERGRID,,2026-05-26,2026-05-26,327.50,PE,POWERGRID26MAY327.5PE,0.00,0.00,0.00,32.10,0.00,32.10,319.70,14.85,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145604,,POWERGRID,,2026-05-26,2026-05-26,345.00,PE,POWERGRID26MAY345PE,0.00,0.00,0.00,41.15,0.00,41.15,319.70,27.05,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145623,,POWERGRID,,2026-05-26,2026-05-26,360.00,PE,POWERGRID26MAY360PE,0.00,0.00,0.00,53.30,0.00,53.30,319.70,39.70,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163916,,POWERGRID,,2026-06-30,2026-06-30,325.00,PE,POWERGRID26JUN325PE,0.00,0.00,0.00,31.65,0.00,31.65,319.70,17.05,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145217,,POWERGRID,,2026-04-28,2026-04-28,282.50,CE,POWERGRID26APR282.5CE,0.00,0.00,0.00,20.25,20.25,20.25,319.70,37.60,138700,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,50933,,POWERGRID,,2026-04-28,2026-04-28,365.00,CE,POWERGRID26APR365CE,0.00,0.00,0.00,1.25,0.00,1.25,319.70,0.00,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145300,,POWERGRID,,2026-04-28,2026-04-28,347.50,CE,POWERGRID26APR347.5CE,0.00,0.00,0.00,3.55,0.00,3.55,319.70,0.15,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152663,,POWERGRID,,2026-04-28,2026-04-28,255.00,CE,POWERGRID26APR255CE,0.00,0.00,0.00,15.35,0.00,15.35,319.70,65.05,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152703,,POWERGRID,,2026-04-28,2026-04-28,270.00,CE,POWERGRID26APR270CE,50.50,50.50,50.50,50.50,50.50,47.50,319.70,50.05,231800,-3800,2,1217900.00,2,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145207,,POWERGRID,,2026-04-28,2026-04-28,272.50,CE,POWERGRID26APR272.5CE,0.00,0.00,0.00,38.40,0.00,38.40,319.70,47.55,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,152717,,POWERGRID,,2026-04-28,2026-04-28,295.00,CE,POWERGRID26APR295CE,22.90,26.80,22.30,24.35,23.50,22.80,319.70,24.35,817000,-36100,34,20607875.00,30,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145471,,POWERGRID,,2026-05-26,2026-05-26,245.00,CE,POWERGRID26MAY245CE,0.00,0.00,0.00,64.85,0.00,64.85,319.70,76.25,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145473,,POWERGRID,,2026-05-26,2026-05-26,250.00,CE,POWERGRID26MAY250CE,0.00,0.00,0.00,38.00,38.00,38.00,319.70,71.25,1900,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145477,,POWERGRID,,2026-05-26,2026-05-26,260.00,CE,POWERGRID26MAY260CE,0.00,0.00,0.00,51.50,0.00,51.50,319.70,61.40,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,145513,,POWERGRID,,2026-05-26,2026-05-26,275.00,CE,POWERGRID26MAY275CE,0.00,0.00,0.00,39.45,0.00,39.45,319.70,46.85,0,0,0,0.00,0,F1,1900,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,163599,,POWERGRID,,2026-05-26,2026-05-26,282.50,CE,POWERGRID26MAY282.5CE,0.00,0.00,0.00,23.10,0.00,23.10,319.70,39.90,0,0,0,0.00,0,F1,1900,,,,,
