TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-20,2026-04-20,FO,NSE,STO,153710,,SRF,,2026-04-28,2026-04-28,2820.00,PE,SRF26APR2820PE,0.00,0.00,0.00,334.50,334.50,334.50,2465.10,351.65,400,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168228,,SRF,,2026-04-28,2026-04-28,2280.00,CE,SRF26APR2280CE,0.00,0.00,0.00,462.70,0.00,462.70,2465.10,192.10,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174088,,SRF,,2026-06-30,2026-06-30,2320.00,CE,SRF26JUN2320CE,0.00,0.00,0.00,259.25,0.00,259.25,2465.10,254.55,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168240,,SRF,,2026-04-28,2026-04-28,2520.00,CE,SRF26APR2520CE,53.10,53.95,29.55,31.20,30.45,45.20,2465.10,31.20,149600,-20800,1585,810671530.00,1258,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153701,,SRF,,2026-04-28,2026-04-28,2700.00,CE,SRF26APR2700CE,6.25,6.30,3.55,3.90,3.85,6.45,2465.10,3.90,239600,1800,309,167157000.00,238,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174093,,SRF,,2026-06-30,2026-06-30,2400.00,PE,SRF26JUN2400PE,0.00,0.00,0.00,132.95,0.00,132.95,2465.10,112.90,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174021,,SRF,,2026-05-26,2026-05-26,2780.00,PE,SRF26MAY2780PE,0.00,0.00,0.00,350.50,0.00,350.50,2465.10,323.20,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174005,,SRF,,2026-05-26,2026-05-26,2460.00,PE,SRF26MAY2460PE,0.00,0.00,0.00,116.00,116.00,116.00,2465.10,102.60,600,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,173995,,SRF,,2026-05-26,2026-05-26,2260.00,PE,SRF26MAY2260PE,0.00,0.00,0.00,53.25,0.00,53.25,2465.10,31.95,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,173985,,SRF,,2026-05-26,2026-05-26,2060.00,PE,SRF26MAY2060PE,0.00,0.00,0.00,14.75,0.00,14.75,2465.10,5.80,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168269,,SRF,,2026-04-28,2026-04-28,3080.00,PE,SRF26APR3080PE,0.00,0.00,0.00,588.50,588.50,588.50,2465.10,611.00,9000,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168255,,SRF,,2026-04-28,2026-04-28,2800.00,PE,SRF26APR2800PE,315.00,315.00,315.00,315.00,315.00,305.00,2465.10,331.85,26200,-400,2,1246000.00,1,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168247,,SRF,,2026-04-28,2026-04-28,2640.00,PE,SRF26APR2640PE,0.00,0.00,0.00,135.65,135.65,135.65,2465.10,178.65,400,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153638,,SRF,,2026-04-28,2026-04-28,2540.00,PE,SRF26APR2540PE,78.60,98.60,76.95,95.75,95.75,81.05,2465.10,97.25,26200,1000,52,27300250.00,52,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153634,,SRF,,2026-04-28,2026-04-28,2460.00,PE,SRF26APR2460PE,42.00,54.70,37.05,50.10,52.65,40.60,2465.10,50.10,58400,400,546,273847440.00,468,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168235,,SRF,,2026-04-28,2026-04-28,2400.00,PE,SRF26APR2400PE,23.90,31.35,19.75,28.45,29.00,23.90,2465.10,28.45,171600,-12000,505,244928540.00,419,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153627,,SRF,,2026-04-28,2026-04-28,2340.00,PE,SRF26APR2340PE,15.00,16.95,11.70,15.80,16.20,13.75,2465.10,15.80,24800,-4400,53,24952380.00,52,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168263,,SRF,,2026-04-28,2026-04-28,2960.00,PE,SRF26APR2960PE,0.00,0.00,0.00,505.00,505.00,505.00,2465.10,491.15,200,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153823,,SRF,,2026-05-26,2026-05-26,2240.00,PE,SRF26MAY2240PE,0.00,0.00,0.00,40.35,40.35,40.35,2465.10,27.70,400,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153825,,SRF,,2026-05-26,2026-05-26,2280.00,PE,SRF26MAY2280PE,0.00,0.00,0.00,43.00,0.00,43.00,2465.10,36.65,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174089,,SRF,,2026-06-30,2026-06-30,2320.00,PE,SRF26JUN2320PE,0.00,0.00,0.00,99.70,0.00,99.70,2465.10,81.60,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174103,,SRF,,2026-06-30,2026-06-30,2600.00,PE,SRF26JUN2600PE,0.00,0.00,0.00,241.00,0.00,241.00,2465.10,218.80,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STF,67015,,SRF,,2026-04-28,2026-04-28,,,SRF26APRFUT,2510.00,2510.00,2460.00,2466.60,2462.60,2495.30,2465.10,2466.60,4016200,-24000,1794,889843700.00,1527,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153612,,SRF,,2026-04-28,2026-04-28,2060.00,CE,SRF26APR2060CE,0.00,0.00,0.00,552.50,0.00,552.50,2465.10,407.75,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168234,,SRF,,2026-04-28,2026-04-28,2400.00,CE,SRF26APR2400CE,110.00,127.40,91.20,96.75,92.00,119.95,2465.10,96.75,97000,-800,207,103657920.00,178,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168244,,SRF,,2026-04-28,2026-04-28,2600.00,CE,SRF26APR2600CE,20.00,20.50,11.25,12.10,11.60,19.15,2465.10,12.10,236200,7400,1516,792972090.00,1069,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168250,,SRF,,2026-04-28,2026-04-28,2720.00,CE,SRF26APR2720CE,3.95,4.15,3.05,3.45,3.45,5.15,2465.10,3.45,7400,-3800,29,15797200.00,29,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168254,,SRF,,2026-04-28,2026-04-28,2800.00,CE,SRF26APR2800CE,3.00,3.00,1.50,1.65,1.55,2.60,2465.10,1.65,47800,2000,51,28579740.00,36,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153769,,SRF,,2026-05-26,2026-05-26,2080.00,CE,SRF26MAY2080CE,0.00,0.00,0.00,551.35,0.00,551.35,2465.10,404.90,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153834,,SRF,,2026-05-26,2026-05-26,2480.00,CE,SRF26MAY2480CE,0.00,0.00,0.00,141.35,141.35,141.35,2465.10,112.95,200,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174104,,SRF,,2026-06-30,2026-06-30,2640.00,CE,SRF26JUN2640CE,0.00,0.00,0.00,111.90,0.00,111.90,2465.10,101.25,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168215,,SRF,,2026-04-28,2026-04-28,2000.00,PE,SRF26APR2000PE,0.60,0.60,0.60,0.60,0.60,0.75,2465.10,0.00,13400,-800,4,1600480.00,2,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168221,,SRF,,2026-04-28,2026-04-28,2120.00,PE,SRF26APR2120PE,0.00,0.00,0.00,2.00,2.00,2.00,2465.10,0.10,8800,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153623,,SRF,,2026-04-28,2026-04-28,2260.00,PE,SRF26APR2260PE,7.20,7.55,6.45,7.40,7.50,6.70,2465.10,7.40,8000,200,12,5440900.00,12,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174082,,SRF,,2026-06-30,2026-06-30,2200.00,CE,SRF26JUN2200CE,0.00,0.00,0.00,338.20,0.00,338.20,2465.10,337.95,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174086,,SRF,,2026-06-30,2026-06-30,2280.00,CE,SRF26JUN2280CE,0.00,0.00,0.00,284.10,0.00,284.10,2465.10,280.80,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153830,,SRF,,2026-05-26,2026-05-26,2400.00,CE,SRF26MAY2400CE,165.00,165.00,165.00,165.00,165.00,297.75,2465.10,155.40,200,200,1,513000.00,1,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153635,,SRF,,2026-04-28,2026-04-28,2500.00,CE,SRF26APR2500CE,49.70,58.80,37.00,39.15,37.00,54.85,2465.10,39.15,417000,39600,2887,1469980900.00,2318,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153613,,SRF,,2026-04-28,2026-04-28,2060.00,PE,SRF26APR2060PE,0.00,0.00,0.00,5.35,0.00,5.35,2465.10,0.05,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153639,,SRF,,2026-04-28,2026-04-28,2580.00,CE,SRF26APR2580CE,22.50,24.95,14.80,15.55,14.90,24.05,2465.10,15.55,26600,2800,120,62381380.00,111,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153709,,SRF,,2026-04-28,2026-04-28,2820.00,CE,SRF26APR2820CE,0.00,0.00,0.00,6.10,6.10,6.10,2465.10,0.35,6600,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168256,,SRF,,2026-04-28,2026-04-28,2840.00,CE,SRF26APR2840CE,0.00,0.00,0.00,25.60,25.60,25.60,2465.10,0.25,1200,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168264,,SRF,,2026-04-28,2026-04-28,3000.00,CE,SRF26APR3000CE,0.55,0.75,0.45,0.65,0.65,0.75,2465.10,0.65,53400,-3400,117,70215290.00,44,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,173986,,SRF,,2026-05-26,2026-05-26,2100.00,CE,SRF26MAY2100CE,0.00,0.00,0.00,381.00,0.00,381.00,2465.10,386.50,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153828,,SRF,,2026-05-26,2026-05-26,2360.00,CE,SRF26MAY2360CE,0.00,0.00,0.00,325.30,0.00,325.30,2465.10,180.00,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,173997,,SRF,,2026-05-26,2026-05-26,2300.00,PE,SRF26MAY2300PE,45.00,45.00,45.00,45.00,45.00,44.00,2465.10,41.95,2600,200,1,469000.00,1,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153813,,SRF,,2026-05-26,2026-05-26,2080.00,PE,SRF26MAY2080PE,0.00,0.00,0.00,15.70,15.70,15.70,2465.10,7.10,1400,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168227,,SRF,,2026-04-28,2026-04-28,2240.00,PE,SRF26APR2240PE,6.00,6.35,6.00,6.20,6.20,5.70,2465.10,1.90,7600,-200,4,1796980.00,4,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153848,,SRF,,2026-05-26,2026-05-26,2760.00,CE,SRF26MAY2760CE,0.00,0.00,0.00,35.20,35.20,35.20,2465.10,28.35,400,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174108,,SRF,,2026-06-30,2026-06-30,2720.00,CE,SRF26JUN2720CE,0.00,0.00,0.00,88.15,0.00,88.15,2465.10,77.50,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174112,,SRF,,2026-06-30,2026-06-30,2800.00,CE,SRF26JUN2800CE,0.00,0.00,0.00,68.85,0.00,68.85,2465.10,58.70,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174120,,SRF,,2026-06-30,2026-06-30,2960.00,CE,SRF26JUN2960CE,0.00,0.00,0.00,40.60,0.00,40.60,2465.10,32.15,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153614,,SRF,,2026-04-28,2026-04-28,2100.00,CE,SRF26APR2100CE,0.00,0.00,0.00,396.00,396.00,396.00,2465.10,367.85,3400,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168236,,SRF,,2026-04-28,2026-04-28,2440.00,CE,SRF26APR2440CE,77.70,90.90,66.80,68.65,67.40,87.50,2465.10,68.65,97200,-1200,120,60361340.00,111,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174087,,SRF,,2026-06-30,2026-06-30,2280.00,PE,SRF26JUN2280PE,0.00,0.00,0.00,85.25,0.00,85.25,2465.10,68.35,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174079,,SRF,,2026-06-30,2026-06-30,2120.00,PE,SRF26JUN2120PE,0.00,0.00,0.00,41.50,0.00,41.50,2465.10,29.95,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153867,,SRF,,2026-05-26,2026-05-26,3120.00,PE,SRF26MAY3120PE,0.00,0.00,0.00,596.00,596.00,596.00,2465.10,638.60,200,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153857,,SRF,,2026-05-26,2026-05-26,2920.00,PE,SRF26MAY2920PE,0.00,0.00,0.00,359.15,0.00,359.15,2465.10,447.85,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153847,,SRF,,2026-05-26,2026-05-26,2720.00,PE,SRF26MAY2720PE,0.00,0.00,0.00,222.45,0.00,222.45,2465.10,273.70,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174013,,SRF,,2026-05-26,2026-05-26,2620.00,PE,SRF26MAY2620PE,0.00,0.00,0.00,229.80,0.00,229.80,2465.10,198.45,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153632,,SRF,,2026-04-28,2026-04-28,2460.00,CE,SRF26APR2460CE,65.05,81.65,55.30,58.15,55.45,77.40,2465.10,58.15,70600,-2200,595,300539860.00,442,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174085,,SRF,,2026-06-30,2026-06-30,2240.00,PE,SRF26JUN2240PE,0.00,0.00,0.00,72.35,0.00,72.35,2465.10,56.75,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168226,,SRF,,2026-04-28,2026-04-28,2240.00,CE,SRF26APR2240CE,0.00,0.00,0.00,496.70,0.00,496.70,2465.10,229.80,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153620,,SRF,,2026-04-28,2026-04-28,2220.00,CE,SRF26APR2220CE,0.00,0.00,0.00,407.75,0.00,407.75,2465.10,249.15,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174083,,SRF,,2026-06-30,2026-06-30,2200.00,PE,SRF26JUN2200PE,0.00,0.00,0.00,60.80,0.00,60.80,2465.10,46.40,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,174011,,SRF,,2026-05-26,2026-05-26,2580.00,PE,SRF26MAY2580PE,0.00,0.00,0.00,203.15,0.00,203.15,2465.10,171.40,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,153829,,SRF,,2026-05-26,2026-05-26,2360.00,PE,SRF26MAY2360PE,0.00,0.00,0.00,62.85,0.00,62.85,2465.10,60.50,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,173999,,SRF,,2026-05-26,2026-05-26,2340.00,PE,SRF26MAY2340PE,0.00,0.00,0.00,79.70,0.00,79.70,2465.10,53.75,0,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168259,,SRF,,2026-04-28,2026-04-28,2880.00,PE,SRF26APR2880PE,0.00,0.00,0.00,385.70,385.70,385.70,2465.10,411.35,200,0,0,0.00,0,F1,200,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168253,,SRF,,2026-04-28,2026-04-28,2760.00,PE,SRF26APR2760PE,0.00,0.00,0.00,278.70,278.70,278.70,2465.10,292.40,800,0,0,0.00,0,F1,200,,,,,
