TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-20,2026-04-20,FO,NSE,STO,168651,,VBL,,2026-04-28,2026-04-28,515.00,PE,VBL26APR515PE,0.00,0.00,0.00,60.55,0.00,60.55,466.55,48.30,0,0,0,0.00,0,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168515,,VBL,,2026-04-28,2026-04-28,465.00,PE,VBL26APR465PE,6.60,10.15,6.10,9.05,9.20,7.40,466.55,9.05,303750,24750,411,218860818.75,352,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,172195,,VBL,,2026-04-28,2026-04-28,450.00,PE,VBL26APR450PE,2.95,4.20,2.40,3.75,3.60,3.15,466.55,3.75,875250,144000,1062,541603743.75,787,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,169844,,VBL,,2026-05-26,2026-05-26,340.00,CE,VBL26MAY340CE,0.00,0.00,0.00,125.85,0.00,125.85,466.55,128.70,0,0,0,0.00,0,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,172176,,VBL,,2026-04-28,2026-04-28,360.00,CE,VBL26APR360CE,0.00,0.00,0.00,109.90,109.90,109.90,466.55,107.05,25875,0,0,0.00,0,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,177401,,VBL,,2026-06-30,2026-06-30,540.00,PE,VBL26JUN540PE,0.00,0.00,0.00,147.70,0.00,147.70,466.55,77.20,0,0,0,0.00,0,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,170048,,VBL,,2026-05-26,2026-05-26,370.00,CE,VBL26MAY370CE,0.00,0.00,0.00,98.65,0.00,98.65,466.55,99.30,0,0,0,0.00,0,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,177386,,VBL,,2026-06-30,2026-06-30,450.00,CE,VBL26JUN450CE,0.00,0.00,0.00,10.05,0.00,10.05,466.55,42.90,0,0,0,0.00,0,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,172171,,VBL,,2026-04-28,2026-04-28,330.00,PE,VBL26APR330PE,0.00,0.00,0.00,0.10,0.10,0.10,466.55,0.00,36000,0,0,0.00,0,F1,1125,,,,,
2026-04-20,2026-04-20,FO,NSE,STO,168121,,VBL,,2026-04-28,2026-04-28,395.00,PE,VBL26APR395PE,0.00,0.00,0.00,0.35,0.35,0.35,466.55,0.05,279000,0,0,0.00,0,F1,1125,,,,,
