TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-21,2026-04-21,FO,NSE,STO,77908,,ADANIPORTS,,2026-05-26,2026-05-26,1560.00,PE,ADANIPORTS26MAY1560PE,43.05,47.90,40.50,47.05,47.90,54.15,1594.10,47.05,57000,3800,137,104370918.75,105,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84692,,ADANIPORTS,,2026-06-30,2026-06-30,1440.00,PE,ADANIPORTS26JUN1440PE,0.00,0.00,0.00,165.60,0.00,165.60,1594.10,41.35,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84685,,ADANIPORTS,,2026-06-30,2026-06-30,1320.00,CE,ADANIPORTS26JUN1320CE,0.00,0.00,0.00,110.95,0.00,110.95,1594.10,305.80,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,78759,,ADANIPORTS,,2026-04-28,2026-04-28,1360.00,PE,ADANIPORTS26APR1360PE,1.45,1.45,1.00,1.10,1.10,1.80,1594.10,1.10,180025,-13300,49,31683331.25,32,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77904,,ADANIPORTS,,2026-05-26,2026-05-26,1480.00,PE,ADANIPORTS26MAY1480PE,22.55,24.60,20.50,24.60,24.60,26.45,1594.10,24.60,22325,11400,47,33541745.00,38,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84748,,ADANIPORTS,,2026-06-30,2026-06-30,1640.00,PE,ADANIPORTS26JUN1640PE,0.00,0.00,0.00,320.35,0.00,320.35,1594.10,126.25,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84607,,ADANIPORTS,,2026-05-26,2026-05-26,1420.00,PE,ADANIPORTS26MAY1420PE,0.00,0.00,0.00,35.35,35.35,35.35,1594.10,16.20,475,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77724,,ADANIPORTS,,2026-05-26,2026-05-26,1160.00,PE,ADANIPORTS26MAY1160PE,0.00,0.00,0.00,5.80,0.00,5.80,1594.10,0.25,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77913,,ADANIPORTS,,2026-05-26,2026-05-26,1680.00,CE,ADANIPORTS26MAY1680CE,35.25,39.20,32.30,32.75,32.50,31.95,1594.10,32.75,34200,5225,47,38303073.75,47,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77557,,ADANIPORTS,,2026-04-28,2026-04-28,1340.00,PE,ADANIPORTS26APR1340PE,1.45,1.45,0.85,1.00,1.00,1.55,1594.10,1.00,194750,-14725,60,38219948.75,29,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84609,,ADANIPORTS,,2026-05-26,2026-05-26,1460.00,PE,ADANIPORTS26MAY1460PE,20.50,20.80,16.95,20.35,20.50,21.35,1594.10,20.35,82175,1900,85,59700185.00,78,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77559,,ADANIPORTS,,2026-04-28,2026-04-28,1380.00,PE,ADANIPORTS26APR1380PE,1.10,1.45,1.10,1.30,1.30,2.05,1594.10,1.30,258875,-5225,75,49208361.25,58,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,78769,,ADANIPORTS,,2026-04-28,2026-04-28,1520.00,PE,ADANIPORTS26APR1520PE,8.05,8.35,5.60,6.55,6.00,11.40,1594.10,6.55,429875,61275,1029,746163511.25,773,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84613,,ADANIPORTS,,2026-05-26,2026-05-26,1500.00,PE,ADANIPORTS26MAY1500PE,27.20,29.70,24.70,29.10,28.50,33.35,1594.10,29.10,484500,119700,893,647660481.25,640,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84586,,ADANIPORTS,,2026-05-26,2026-05-26,1380.00,CE,ADANIPORTS26MAY1380CE,0.00,0.00,0.00,59.20,0.00,59.20,1594.10,232.45,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84502,,ADANIPORTS,,2026-05-26,2026-05-26,1260.00,CE,ADANIPORTS26MAY1260CE,0.00,0.00,0.00,116.70,0.00,116.70,1594.10,343.35,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77725,,ADANIPORTS,,2026-05-26,2026-05-26,1200.00,CE,ADANIPORTS26MAY1200CE,0.00,0.00,0.00,384.00,0.00,384.00,1594.10,401.85,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77909,,ADANIPORTS,,2026-05-26,2026-05-26,1600.00,CE,ADANIPORTS26MAY1600CE,67.95,75.60,62.00,66.80,70.00,59.70,1594.10,66.80,376675,25650,1071,849590723.75,715,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84750,,ADANIPORTS,,2026-06-30,2026-06-30,1680.00,CE,ADANIPORTS26JUN1680CE,0.00,0.00,0.00,17.80,0.00,17.80,1594.10,83.95,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77803,,ADANIPORTS,,2026-05-26,2026-05-26,1320.00,CE,ADANIPORTS26MAY1320CE,0.00,0.00,0.00,282.65,0.00,282.65,1594.10,286.50,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77727,,ADANIPORTS,,2026-05-26,2026-05-26,1240.00,CE,ADANIPORTS26MAY1240CE,0.00,0.00,0.00,348.85,0.00,348.85,1594.10,362.70,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,78766,,ADANIPORTS,,2026-04-28,2026-04-28,1480.00,CE,ADANIPORTS26APR1480CE,123.95,132.00,113.10,116.00,118.85,107.50,1594.10,116.00,523925,-11400,43,32728948.75,40,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84634,,ADANIPORTS,,2026-05-26,2026-05-26,1700.00,CE,ADANIPORTS26MAY1700CE,31.15,33.30,26.65,28.05,28.70,25.60,1594.10,28.05,192375,111625,548,450252737.50,370,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77907,,ADANIPORTS,,2026-05-26,2026-05-26,1560.00,CE,ADANIPORTS26MAY1560CE,91.00,98.50,88.00,88.95,88.00,85.00,1594.10,88.95,41800,10450,39,30618666.25,33,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77544,,ADANIPORTS,,2026-04-28,2026-04-28,1220.00,PE,ADANIPORTS26APR1220PE,0.00,0.00,0.00,1.20,1.20,1.20,1594.10,0.00,44650,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,78728,,ADANIPORTS,,2026-04-28,2026-04-28,1200.00,PE,ADANIPORTS26APR1200PE,0.45,0.60,0.40,0.60,0.60,0.75,1594.10,0.60,174325,-11875,159,90668190.00,115,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77538,,ADANIPORTS,,2026-04-28,2026-04-28,1140.00,PE,ADANIPORTS26APR1140PE,0.00,0.00,0.00,1.50,1.50,1.50,1594.10,0.00,42275,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77916,,ADANIPORTS,,2026-05-26,2026-05-26,1720.00,PE,ADANIPORTS26MAY1720PE,0.00,0.00,0.00,204.15,0.00,204.15,1594.10,152.35,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84688,,ADANIPORTS,,2026-06-30,2026-06-30,1360.00,PE,ADANIPORTS26JUN1360PE,0.00,0.00,0.00,116.10,0.00,116.10,1594.10,22.60,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84690,,ADANIPORTS,,2026-06-30,2026-06-30,1400.00,PE,ADANIPORTS26JUN1400PE,0.00,0.00,0.00,139.80,0.00,139.80,1594.10,31.00,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84753,,ADANIPORTS,,2026-06-30,2026-06-30,1760.00,PE,ADANIPORTS26JUN1760PE,0.00,0.00,0.00,426.95,0.00,426.95,1594.10,203.20,0,0,0,0.00,0,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77553,,ADANIPORTS,,2026-04-28,2026-04-28,1300.00,PE,ADANIPORTS26APR1300PE,1.00,1.00,0.65,0.85,0.80,1.15,1594.10,0.85,313975,-48925,342,211308286.25,173,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,84636,,ADANIPORTS,,2026-05-26,2026-05-26,1700.00,PE,ADANIPORTS26MAY1700PE,112.00,125.00,112.00,125.00,125.00,374.00,1594.10,125.00,9975,9975,23,19842650.00,8,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,77852,,ADANIPORTS,,2026-05-26,2026-05-26,1360.00,CE,ADANIPORTS26MAY1360CE,260.00,260.00,260.00,260.00,260.00,252.05,1594.10,250.10,475,475,1,769500.00,1,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,78758,,ADANIPORTS,,2026-04-28,2026-04-28,1360.00,CE,ADANIPORTS26APR1360CE,245.00,250.00,241.85,249.00,249.00,240.70,1594.10,235.70,157225,-475,6,4578311.25,6,F1,475,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,78756,,ADANIPORTS,,2026-04-28,2026-04-28,1320.00,CE,ADANIPORTS26APR1320CE,0.00,0.00,0.00,258.60,257.15,258.60,1594.10,275.60,149150,0,0,0.00,0,F1,475,,,,,
