TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-04-21,2026-04-21,FO,NSE,STO,114730,,INDUSINDBK,,2026-04-28,2026-04-28,910.00,CE,INDUSINDBK26APR910CE,4.00,4.80,3.00,3.15,3.25,3.30,856.40,3.15,340900,700,255,163114665.00,206,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,126184,,INDUSINDBK,,2026-04-28,2026-04-28,880.00,PE,INDUSINDBK26APR880PE,32.10,33.25,28.75,32.35,31.80,38.90,856.40,32.35,63700,7000,97,61863830.00,95,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,126221,,INDUSINDBK,,2026-04-28,2026-04-28,1080.00,PE,INDUSINDBK26APR1080PE,0.00,0.00,0.00,238.25,238.25,238.25,856.40,222.40,6300,0,0,0.00,0,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,127057,,INDUSINDBK,,2026-05-26,2026-05-26,710.00,PE,INDUSINDBK26MAY710PE,0.00,0.00,0.00,27.60,0.00,27.60,856.40,3.45,0,0,0,0.00,0,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STF,66863,,INDUSINDBK,,2026-04-28,2026-04-28,,,INDUSINDBK26APRFUT,854.90,865.40,854.90,856.85,859.40,850.20,856.40,856.85,33622400,-611100,3358,2021047525.00,2526,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,127214,,INDUSINDBK,,2026-06-30,2026-06-30,740.00,PE,INDUSINDBK26JUN740PE,0.00,0.00,0.00,51.00,0.00,51.00,856.40,16.85,0,0,0,0.00,0,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,127257,,INDUSINDBK,,2026-06-30,2026-06-30,920.00,PE,INDUSINDBK26JUN920PE,0.00,0.00,0.00,170.30,0.00,170.30,856.40,96.10,0,0,0,0.00,0,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,126171,,INDUSINDBK,,2026-04-28,2026-04-28,760.00,CE,INDUSINDBK26APR760CE,104.95,105.20,102.20,105.20,105.20,91.20,856.40,97.65,131600,-4200,7,4232025.00,7,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,114718,,INDUSINDBK,,2026-04-28,2026-04-28,790.00,CE,INDUSINDBK26APR790CE,73.45,74.80,69.95,70.15,71.45,65.50,856.40,70.15,90300,-6300,19,11466245.00,16,F1,700,,,,,
2026-04-21,2026-04-21,FO,NSE,STO,126189,,INDUSINDBK,,2026-04-28,2026-04-28,940.00,CE,INDUSINDBK26APR940CE,1.35,1.50,1.10,1.15,1.15,1.05,856.40,1.15,107800,6300,139,91587650.00,113,F1,700,,,,,
